Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"InMemoryNorthPolarStereographicDataset.java",,,,17,156,37
File,"NcwmsAdminServlet.java",,,,47,307,124
File,"NcwmsApplicationServlet.java",,,,15,131,94
File,"NcwmsCacheInfo.java",,,,13,78,27
File,"NcwmsCatalogue.java",,,,25,131,65
File,"NcwmsConfig.java",,,,33,213,80
File,"NcwmsConfigTest.java",,,,3,45,44
File,"NcwmsContact.java",,,,11,68,27
File,"NcwmsDataset.java",,,,61,293,160
File,"NcwmsDigestAuthServlet.java",,,,24,158,80
File,"NcwmsServerInfo.java",,,,27,158,28
File,"NcwmsServlet.java",,,,4,29,36
File,"NcwmsVariable.java",,,,33,167,28
File,"SLDParserTester.java",,,,5,49,7
File,"package-info.java",,,,0,1,32
File,"package-info.java",,,,0,1,33
Package,"uk",,,,0,0,0
Package,"uk.ac",,,,0,0,0
Package,"uk.ac.rdg",,,,0,0,0
Package,"uk.ac.rdg.resc",,,,0,0,0
Package,"uk.ac.rdg.resc.edal",,,,0,0,0
Package,"uk.ac.rdg.resc.edal.ncwms",,,,115,757,431
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet",40,44,27,47,277,124
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.NcwmsAdminServlet",,,,1,3,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayEditVariablesPage",,,,3,20,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayMainAdminPage",,,,2,15,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayStatusPage",,,,3,19,0
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.doGet",,,,5,20,15
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.doPost",,,,4,18,18
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.init",,,,3,19,6
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.updateConfig",,,,17,112,39
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.updateVariables",,,,9,45,19
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet",31,0,0,15,105,94
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet.doGet",,,,1,17,12
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet.init",,,,14,82,44
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue",20,65,65,25,112,65
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.NcwmsCatalogue",,,,1,7,3
