Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMetadataController.java",,,,40,257,110
File,"AbstractScalarLayer.java",,,,44,163,171
File,"AbstractTimeAggregatedLayer.java",,,,17,98,101
File,"AbstractWmsController.java",,,,130,816,449
File,"AdminController.java",,,,32,221,110
File,"Cache.java",,,,10,58,42
File,"Charting.java",,,,49,370,161
File,"Config.java",,,,56,319,154
File,"Contact.java",,,,9,54,37
File,"CurrentUpdateSequence.java",,,,1,9,40
File,"DataReader.java",,,,29,161,183
File,"Dataset.java",,,,59,361,214
File,"Dataset.java",,,,0,18,97
File,"DefaultDataReader.java",,,,10,130,132
File,"FrontPageController.java",,,,2,25,43
File,"FrontPageController.java",,,,2,25,40
File,"GetFeatureInfoDataRequest.java",,,,11,47,43
File,"GetFeatureInfoRequest.java",,,,5,31,46
File,"GetMapDataRequest.java",,,,12,59,49
File,"GetMapRequest.java",,,,6,37,51
File,"GetMapStyleRequest.java",,,,25,114,89
File,"H2UsageLogger.java",,,,15,148,76
File,"InvalidCrsException.java",,,,1,9,40
File,"InvalidDimensionValueException.java",,,,1,9,40
File,"InvalidFormatException.java",,,,1,8,39
File,"InvalidPointException.java",,,,1,9,40
File,"InvalidUpdateSequence.java",,,,1,8,40
File,"Layer.java",,,,0,33,149
File,"LayerImpl.java",,,,26,159,100
File,"LayerNotDefinedException.java",,,,1,9,37
File,"LayerNotQueryableException.java",,,,1,8,40
File,"MetadataException.java",,,,1,8,35
File,"MissingDimensionValueException.java",,,,1,9,39
File,"NSIDCSnowWaterDataReader.java",,,,21,122,98
File,"NcwmsContext.java",,,,6,52,63
File,"NcwmsController.java",,,,27,189,99
File,"NcwmsCredentialsProvider.java",,,,4,44,40
File,"NcwmsMetadataController.java",,,,13,99,58
File,"OperationNotSupportedException.java",,,,1,9,39
File,"RequestParams.java",,,,26,128,90
File,"ScalarLayer.java",,,,0,21,147
File,"ScreenshotController.java",,,,35,292,78
File,"Server.java",,,,18,95,42
File,"ServerConfig.java",,,,0,21,56
File,"SimpleVectorLayer.java",,,,26,122,45
File,"StyleNotDefinedException.java",,,,1,8,39
File,"TileCache.java",,,,8,84,101
File,"TileCacheKey.java",,,,12,131,104
File,"TiledLayer.java",,,,3,21,38
File,"UsageLogEntry.java",,,,48,259,69
File,"UsageLogger.java",,,,0,5,43
File,"Users.java",,,,11,65,57
File,"Variable.java",,,,32,160,88
