Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"NcwmsAdminServlet.java",,,,83,539,218
File,"NcwmsApiServlet.java",,,,11,74,45
File,"NcwmsApiTest.java",,,,4,98,32
File,"NcwmsApplicationServlet.java",,,,31,219,120
File,"NcwmsCatalogue.java",,,,55,289,86
File,"NcwmsConfig.java",,,,17,123,53
File,"NcwmsConfigTest.java",,,,5,93,39
File,"NcwmsContact.java",,,,11,68,27
File,"NcwmsDynamicCacheInfo.java",,,,8,41,32
File,"NcwmsDynamicService.java",,,,19,88,25
File,"NcwmsEhcacheStatsServlet.java",,,,4,49,38
File,"NcwmsRefreshServlet.java",,,,5,40,35
File,"NcwmsRefreshTest.java",,,,2,59,30
File,"NcwmsServerInfo.java",,,,25,147,28
File,"NcwmsServlet.java",,,,21,119,105
File,"NcwmsSupportedCrsCodes.java",,,,5,27,27
File,"SLDParserTester.java",,,,5,49,7
File,"StandaloneAuthentication.java",,,,3,20,35
File,"package-info.java",,,,0,1,32
File,"package-info.java",,,,0,1,33
Package,"uk",,,,0,0,0
Package,"uk.ac",,,,0,0,0
Package,"uk.ac.rdg",,,,0,0,0
Package,"uk.ac.rdg.resc",,,,0,0,0
Package,"uk.ac.rdg.resc.edal",,,,0,0,0
Package,"uk.ac.rdg.resc.edal.ncwms",,,,219,1507,776
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet",51,45,31,83,499,218
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.NcwmsAdminServlet",,,,1,3,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.addDataset",,,,8,60,18
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayEditVariablesPage",,,,3,21,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayMainAdminPage",,,,2,16,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.displayStatusPage",,,,15,72,23
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.doGet",,,,5,21,16
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.doPost",,,,5,19,21
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.init",,,,3,22,6
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.removeDataset",,,,4,24,9
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.updateConfig",,,,29,193,77
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsAdminServlet.updateVariables",,,,8,42,14
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet",17,40,40,11,61,39
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet.NcwmsApiServlet",,,,1,3,0
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet.decodeState",,,,5,16,0
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet.doGet",,,,2,23,9
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet.init",,,,2,12,3
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiServlet.setCatalogue",,,,1,3,0
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiTest",26,11,11,4,74,32
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiTest.setUp",,,,1,28,3
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiTest.testDecodeState",,,,1,13,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApiTest.testJsonApiReponse",,,,2,28,2
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet",33,33,33,31,189,120
Protected Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet.doGet",,,,1,18,12
Static Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet.getVersion",,,,3,14,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsApplicationServlet.init",,,,27,145,70
Public Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue",31,85,85,46,259,86
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.NcwmsCatalogue",,,,4,26,3
Public Constructor,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.NcwmsCatalogue",,,,1,3,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.emptyDynamicDatasetCache",,,,1,3,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getConfig",,,,1,3,4
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getContactInfo",,,,1,4,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getDatasetFromId",,,,9,39,24
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getDatasetTitle",,,,3,12,0
Private Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getDynamicServiceFromLayerName",,,,4,13,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getLayerMetadata",,,,3,54,7
Anonymous Class,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getLayerMetadata.(catch_2).(Anon_1)",6,0,0,9,38,0
Public Method,"uk.ac.rdg.resc.edal.ncwms.NcwmsCatalogue.getLayerMetadata.(catch_2).(Anon_1).getCopyright",,,,1,4,0
