Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Access2DIntArray.java",,,,1,7,1
File,"AccessBooleanArray.java",,,,3,13,28
File,"AccessByteArray.java",,,,2,9,30
File,"AccessDoubleArray.java",,,,2,9,25
File,"AccessFloatArray.java",,,,2,9,24
File,"AccessIntArray.java",,,,2,9,24
File,"AccessLongArray.java",,,,2,9,24
File,"AccessNested2DIntArray.java",,,,1,8,1
File,"AccessShortArray.java",,,,2,9,24
File,"AndOrAndPrecedence.java",,,,2,13,26
File,"AndOrPrecedence.java",,,,2,12,25
File,"AndOrPrecedence2.java",,,,2,12,25
File,"AparapiSolution.java",,,,11,73,30
File,"ArbitraryScope.java",,,,3,34,53
File,"ArbitraryScope2.java",,,,3,35,54
File,"ArbitraryScopeSimple.java",,,,1,14,27
File,"ArrayTortureIssue35.java",,,,1,8,25
File,"Assign2DIntArray.java",,,,1,7,1
File,"AssignAndPassAsParameter.java",,,,2,13,28
File,"AssignAndPassAsParameterSimple.java",,,,2,9,1
File,"AssignField.java",,,,1,7,1
File,"Atomic32Pragma.java",,,,1,8,29
File,"AutoCleanUpArraysDemo.java",,,,1,16,0
File,"BMatMul1D.java",,,,3,22,0
File,"BMatMul2D.java",,,,3,22,0
File,"BMatMul3D.java",,,,3,26,0
File,"Body.java",,,,15,56,0
File,"BooleanToggle.java",,,,1,7,40
File,"Break.java",,,,3,12,1
File,"BufferTransfer.java",,,,23,164,0
File,"ByteParams.java",,,,2,12,25
File,"ByteParamsSimple.java",,,,2,10,24
File,"CallGetPassId.java",,,,1,7,19
File,"CallObject.java",,,,2,14,1
File,"CallObjectStatic.java",,,,2,13,25
File,"CallRunSuper.java",,,,2,14,27
File,"CallStaticFromAnonymousKernel.java",,,,8,42,5
File,"CallStaticInAnotherClass.java",,,,3,16,28
File,"CallSuper.java",,,,3,16,28
File,"CallTwice.java",,,,2,11,25
File,"CharArrayField.java",,,,1,7,22
File,"CharAsParameter.java",,,,2,11,24
File,"CharType.java",,,,1,9,23
File,"ClassHasStaticFieldAccess.java",,,,3,12,29
File,"ClassHasStaticMethod.java",,,,4,18,32
File,"ClassHasStaticMethodSimple.java",,,,2,8,22
File,"CleanUpArraysDemo.java",,,,1,21,0
File,"CodeGenJUnitBase.java",,,,13,63,35
File,"CompositeArbitraryScope.java",,,,12,73,96
File,"ConfigurationDemo.java",,,,13,68,3
File,"ConstantAssignInExpression.java",,,,2,9,24
File,"Continue.java",,,,3,12,25
File,"ContinueTorture.java",,,,6,28,0
File,"ConvMatrix3x3Editor.java",,,,10,98,30
File,"ConvMatrix3x3Editor.java",,,,10,98,30
File,"Convolution.java",,,,9,61,30
File,"ConvolutionOpenCL.java",,,,4,44,36
File,"ConvolutionViewer.java",,,,3,61,32
File,"CorrMatrixHost.java",,,,48,215,90
File,"CorrMatrixKernel.java",,,,12,150,63
File,"CorrMatrixTest.java",,,,14,95,45
File,"CreateJUnitTests.java",,,,12,85,32
File,"CustomConfigurationDemo.java",,,,3,32,3
File,"DMatMul1D.java",,,,3,22,0
File,"DMatMul2D.java",,,,3,22,0
