Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractClause.java",,,,3,17,23
File,"AbstractDOMAdapter.java",,,,6,42,105
File,"AbstractFilter.java",,,,3,14,50
File,"AbstractPane.java",,,,0,56,321
File,"AddDataFrame.java",,,,50,864,33
File,"AndFilter.java",,,,9,43,60
File,"Annotation.java",,,,94,336,37
File,"AnnotationCartesianRenderer.java",,,,58,329,141
File,"Annote.java",,,,164,681,74
File,"ArchiveADataset.java",,,,101,1269,275
File,"ArrayEditDialog.java",,,,46,248,72
File,"Attribute.java",,,,46,207,424
File,"Attribute.java",,,,0,12,61
File,"Attribute.java",,,,68,240,262
File,"AttributeBadValueException.java",,,,2,9,31
File,"AttributeChangeEvent.java",,,,3,22,17
File,"AttributeExistsException.java",,,,2,9,32
File,"AttributeList.java",,,,59,265,198
File,"AttributeTable.java",,,,35,138,199
File,"AttributedString2.java",,,,46,174,128
File,"Attributes.java",,,,284,1382,889
File,"Axis.java",,,,90,392,372
File,"AxisDataAccessor.java",,,,29,166,101
File,"AxisHolder.java",,,,135,445,456
File,"AxisHolderDragBox.java",,,,76,373,49
File,"AxisHolderPropertyPanel.java",,,,154,645,37
File,"AxisNotFoundException.java",,,,2,9,17
File,"AxisTransform.java",,,,35,179,213
File,"BTFunction.java",,,,0,10,22
File,"BTFunctionClause.java",,,,13,65,16
File,"BadSemanticsException.java",,,,2,9,32
File,"BadURLException.java",,,,2,10,7
File,"BaseType.java",,,,28,113,271
File,"BaseTypeFactory.java",,,,0,31,187
File,"BaseTypePrimitiveVector.java",,,,22,80,139
File,"BathymetryScreen.java",,,,17,83,77
File,"BeanDemo.java",,,,6,34,25
File,"BeanDemoFrame.java",,,,31,313,26
File,"BoolFunction.java",,,,0,7,13
File,"BoolFunctionClause.java",,,,11,56,16
File,"BooleanPrimitiveVector.java",,,,23,81,155
File,"BorderDialog.java",,,,68,517,46
File,"Boundaries.java",,,,70,450,213
File,"Browser.java",,,,488,3654,1725
File,"BrowserForm.java",,,,0,6,25
File,"BuilderErrorHandler.java",,,,3,14,78
File,"ByteArray.java",,,,248,1050,853
File,"BytePrimitiveVector.java",,,,30,99,144
File,"CDATA.java",,,,10,40,108
File,"CEEvaluator.java",,,,29,129,168
File,"CLIndexedColorMap.java",,,,28,99,105
File,"CLTransformColorMap.java",,,,23,113,113
File,"CWBrowser.java",,,,4,22,20
File,"CWBrowserWW180.java",,,,4,22,20
File,"CWBrowserWW360.java",,,,4,22,20
File,"CWDataBrowser.java",,,,46,435,143
File,"CWDataBrowserReset.java",,,,35,299,104
File,"CWUser.java",,,,272,1276,541
File,"CacheOpendapStation.java",,,,84,596,369
File,"Calendar2.java",,,,658,4220,2064
File,"Cartesian.java",,,,0,3,22
File,"CartesianGraph.java",,,,153,501,555
File,"CartesianProjection.java",,,,26,123,88
File,"CartesianRenderer.java",,,,15,79,126
File,"CenturyAxis.java",,,,27,91,38
File,"CfToFromGcmd.java",,,,19,184,125
File,"CharArray.java",,,,254,1034,884
File,"ChildNotFoundException.java",,,,2,9,17
File,"Clause.java",,,,0,7,15
File,"ClauseFactory.java",,,,11,74,38
File,"ClientIO.java",,,,0,12,48
File,"Collection.java",,,,26,107,54
File,"ColorDialog.java",,,,13,103,16
File,"ColorEntryPanel.java",,,,14,114,17
File,"ColorKey.java",,,,92,427,330
File,"ColorMap.java",,,,12,65,10
File,"ColorMap.java",,,,10,55,76
File,"ColorSwatchIcon.java",,,,13,66,68
File,"ColorTransform.java",,,,9,41,21
File,"Comment.java",,,,7,31,90
File,"CompoundColorMap.java",,,,106,770,398
File,"CompoundColorMapLayerChild.java",,,,46,237,160
File,"Content.java",,,,13,43,123
File,"ContentFilter.java",,,,37,140,171
File,"ContentList.java",,,,153,608,311
File,"Contour.java",,,,103,613,337
File,"ContourLabel.java",,,,5,26,24
File,"ContourLevelNotFoundException.java",,,,2,9,17
File,"ContourLevels.java",,,,51,210,130
File,"ContourLevelsAccess.java",,,,0,5,19
File,"ContourLevelsDialog.java",,,,63,370,69
File,"ContourLine.java",,,,67,319,117
File,"ContourLineAttribute.java",,,,84,359,263
File,"ContourLineAttributeDialog.java",,,,73,714,172
File,"ContourScreen.java",,,,44,254,124
File,"ConvertTable.java",,,,3,43,38
File,"CoordinateSystem.java",,,,0,3,20
File,"CrimsonDOMAdapter.java",,,,7,53,69
File,"DAPServlet.java",,,,9,79,45
File,"DAS.java",,,,11,53,134
File,"DASException.java",,,,1,6,23
File,"DASParser.java",,,,342,978,36
File,"DASParserConstants.java",,,,0,43,1
