Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,0,3003
File,"AST.java",,,,160,652,33
File,"AbstractAST.java",,,,0,10,26
File,"AbstractAttrs.java",,,,4,20,26
File,"AbstractEvaluatorContext.java",,,,20,80,26
File,"AbstractGrammarGraphSymbolVisitor.java",,,,13,58,26
File,"AbstractGrammarSlot.java",,,,4,21,26
File,"AbstractParseResult.java",,,,0,4,26
File,"AbstractPattern.java",,,,16,83,34
File,"AbstractRuntime.java",,,,23,150,17
File,"AbstractSymbol.java",,,,11,48,27
File,"AbstractTransition.java",,,,4,21,26
File,"Align.java",,,,12,54,26
File,"Alt.java",,,,24,95,26
File,"AmbiguityNode.java",,,,12,53,0
File,"ArrayEnvironment.java",,,,34,142,1
File,"ArrayEvaluatorContext.java",,,,2,12,0
File,"Associativity.java",,,,0,4,26
File,"AssociativityGroup.java",,,,21,85,26
File,"Attr.java",,,,0,7,26
File,"AutomatonToDot.java",,,,9,49,26
File,"Block.java",,,,15,66,26
File,"BodyGrammarSlot.java",,,,30,129,28
File,"Builder.java",,,,50,167,33
File,"Code.java",,,,11,57,26
File,"CodeTransition.java",,,,3,24,26
File,"CollectRegularExpressions.java",,,,30,110,32
File,"Condition.java",,,,3,18,31
File,"ConditionType.java",,,,2,24,26
File,"Conditional.java",,,,13,63,26
File,"ConditionalTransition.java",,,,8,39,27
File,"Conditions.java",,,,1,13,26
File,"ConditionsFactory.java",,,,18,78,27
File,"ConfigFileParser.java",,,,0,5,0
File,"Configuration.java",,,,18,113,27
File,"CyclicGrammarException.java",,,,3,16,0
File,"DataDependentCondition.java",,,,6,28,26
File,"DefaultParseTreeBuilder.java",,,,5,23,0
File,"Descriptor.java",,,,7,36,29
File,"DesugarAlignAndOffside.java",,,,125,483,55
File,"DesugarPrecedenceAndAssociativity.java",,,,773,2358,152
File,"DesugarStartSymbol.java",,,,3,34,0
File,"DesugarState.java",,,,66,255,35
File,"EBNFToBNF.java",,,,80,411,74
File,"Edge.java",,,,10,33,26
File,"EndGrammarSlot.java",,,,11,50,26
File,"Environment.java",,,,1,17,26
File,"EnvironmentPool.java",,,,7,32,0
