Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,0,3140
File,"AST.java",,,,160,652,33
File,"AbstractAST.java",,,,0,10,26
File,"AbstractAttrs.java",,,,4,20,26
File,"AbstractEvaluatorContext.java",,,,20,80,26
File,"AbstractGrammarGraphSymbolVisitor.java",,,,13,58,26
File,"AbstractPattern.java",,,,16,83,34
File,"AbstractSymbol.java",,,,13,48,26
File,"AbstractTransition.java",,,,4,21,26
File,"Align.java",,,,12,54,26
File,"Alt.java",,,,24,95,26
File,"AmbiguityException.java",,,,3,20,0
File,"AmbiguityNode.java",,,,14,57,0
File,"AmbiguousSPPFToParseTreeVisitor.java",,,,34,160,5
File,"ArrayEnvironment.java",,,,34,140,1
File,"ArrayEvaluatorContext.java",,,,2,12,0
File,"Associativity.java",,,,0,4,26
File,"AssociativityGroup.java",,,,21,85,26
File,"Attr.java",,,,0,7,26
File,"Block.java",,,,15,66,26
File,"BodyGrammarSlot.java",,,,37,153,34
File,"Builder.java",,,,50,167,33
File,"Code.java",,,,11,57,26
File,"CodeTransition.java",,,,3,24,26
File,"CollectRegularExpressions.java",,,,30,111,32
File,"Condition.java",,,,3,18,31
File,"ConditionType.java",,,,2,24,26
File,"Conditional.java",,,,13,63,26
File,"ConditionalTransition.java",,,,8,39,27
File,"Conditions.java",,,,3,20,26
File,"ConditionsFactory.java",,,,17,75,26
File,"ConfigFileParser.java",,,,0,5,0
File,"Configuration.java",,,,18,113,27
File,"CyclicDummyGSSEdges.java",,,,9,42,4
File,"CyclicDummyGSSEdgesWithEnv.java",,,,2,13,0
File,"CyclicGrammarException.java",,,,3,16,0
File,"DataDependentCondition.java",,,,6,28,26
File,"DefaultGSSEdge.java",,,,7,38,26
File,"DefaultGSSEdgeWithEnv.java",,,,2,15,0
File,"DefaultGSSNode.java",,,,57,194,45
File,"DefaultParseTreeBuilder.java",,,,8,38,0
File,"DefaultSPPFToParseTreeVisitor.java",,,,51,206,11
File,"DefaultTerminalNode.java",,,,2,14,0
File,"DefaultTerminalNode.java",,,,3,19,0
File,"Descriptor.java",,,,7,36,29
File,"DesugarAlignAndOffside.java",,,,125,483,55
File,"DesugarPrecedenceAndAssociativity.java",,,,773,2358,152
File,"DesugarStartSymbol.java",,,,3,34,0
File,"DesugarState.java",,,,66,255,35
File,"DummyGSSEdge.java",,,,7,36,5
File,"DummyGSSEdgeWithEnv.java",,,,2,15,0
File,"EBNFToBNF.java",,,,79,404,74
File,"Edge.java",,,,10,33,26
File,"EmptyTerminalNode.java",,,,3,17,0
File,"EndGrammarSlot.java",,,,9,40,26
File,"Environment.java",,,,1,17,26
File,"EnvironmentPool.java",,,,7,32,0
File,"EpsilonGrammarSlot.java",,,,5,25,26
File,"EpsilonTerminalNode.java",,,,3,16,0
File,"EpsilonTransition.java",,,,25,95,27
File,"Example1.java",,,,3,51,8
File,"Example2.java",,,,3,49,6
File,"Example3.java",,,,3,53,11
File,"ExceptPattern.java",,,,2,14,26
File,"Expression.java",,,,301,1158,29
File,"ExternalEqual.java",,,,0,4,26
File,"FindLabelsUsedInExcepts.java",,,,26,110,4
File,"FirstFollowSets.java",,,,72,228,111
File,"FollowRestrictionTest.java",,,,4,65,87
File,"FollowRestrictionTest2.java",,,,3,45,36
File,"FollowTest.java",,,,0,6,0
File,"FreeVariableVisitor.java",,,,89,542,36
File,"GLLEvaluator.java",,,,6,25,28
File,"GSSEdge.java",,,,0,11,0
File,"GSSNode.java",,,,0,20,0
File,"GSSNodeTest.java",,,,2,65,11
File,"GSSToDot.java",,,,6,28,26
File,"Gamma0Test.java",,,,2,36,101
File,"Gamma1Test.java",,,,2,40,110
File,"Gamma2Test.java",,,,5,29,432
File,"Gamma2TestLargeInput.java",,,,4,27,79
File,"Gamma2WithEpsilonTest.java",,,,6,74,37
File,"GenerateBasicFiles.java",,,,11,129,42
File,"GenerateBasicHighlighter.java",,,,19,94,35
File,"GenerateElements.java",,,,170,706,47
File,"GenerateJFlex.java",,,,91,315,37
File,"GenerateParser.java",,,,7,155,38
File,"GenerateTermBuilder.java",,,,3,100,33
File,"Grammar.java",,,,82,317,37
