Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractGLLParserImpl.java",,,,20,138,58
File,"AbstractPattern.java",,,,15,79,8
File,"AbstractRegularExpression.java",,,,9,44,1
File,"AbstractSymbol.java",,,,10,49,0
File,"Action.java",,,,0,8,0
File,"Alt.java",,,,8,42,0
File,"AltTest.java",,,,5,59,3
File,"AmbiguousNodesVisitor.java",,,,14,59,0
File,"ArrayFollowTest.java",,,,6,29,0
File,"ArrayPredictionTest.java",,,,10,45,4
File,"Automaton.java",,,,44,185,30
File,"AutomatonOperations.java",,,,189,807,88
File,"AutomatonToDot.java",,,,8,44,0
File,"AutomatonVisitor.java",,,,5,26,0
File,"BenchmarkGamma.java",,,,7,49,1
File,"BenchmarkUtil.java",,,,5,20,0
File,"BodyGrammarSlot.java",,,,20,104,5
File,"Character.java",,,,20,97,6
File,"CharacterClass.java",,,,27,115,8
File,"CharacterClassTest.java",,,,5,79,0
File,"CharacterTest.java",,,,2,26,1
File,"CollapsibleNode.java",,,,2,11,10
File,"CollectionsUtil.java",,,,9,40,0
File,"CollectionsUtilTest.java",,,,2,29,0
File,"Condition.java",,,,2,12,0
File,"ConditionTest.java",,,,0,7,0
File,"ConditionType.java",,,,2,20,0
File,"Conditions.java",,,,19,91,1
File,"Constants.java",,,,0,5,0
File,"ContextFreeCondition.java",,,,19,78,0
File,"CuckooHashMap.java",,,,31,134,7
File,"CuckooHashMap2.java",,,,62,316,65
File,"CuckooHashMapTest.java",,,,4,30,0
File,"CuckooHashSet.java",,,,63,296,56
File,"CuckoosHashSetTest.java",,,,8,86,0
File,"DanglingElseGrammar1.java",,,,5,58,9
File,"DanglingElseGrammar2.java",,,,3,45,9
File,"DanglingElseGrammar3.java",,,,3,80,9
File,"DanglingElseGrammar4.java",,,,3,98,9
File,"DefaultConditionTest.java",,,,5,28,0
File,"DefaultDescriptorLookupFactory.java",,,,1,11,0
File,"DefaultRunnableAutomaton.java",,,,19,69,0
File,"DefaultSPPFLookupFactory.java",,,,1,11,0
File,"Descriptor.java",,,,10,52,19
File,"DescriptorLookup.java",,,,0,8,0
File,"DescriptorLookupFactory.java",,,,0,7,0
File,"DescriptorLookupImpl.java",,,,5,33,0
File,"DiffernceTest.java",,,,3,39,0
File,"DummyNode.java",,,,13,56,8
File,"EBNFTest1.java",,,,2,33,9
File,"EBNFToBNF.java",,,,12,69,4
File,"EOF.java",,,,10,57,0
File,"Edge.java",,,,10,33,0
File,"Epsilon.java",,,,10,54,0
File,"EpsilonGrammarSlot.java",,,,5,38,14
File,"ExamplesTest.java",,,,7,64,1
File,"ExceptPattern.java",,,,1,10,0
File,"ExternalEqual.java",,,,0,4,0
File,"ExternalHasher.java",,,,0,7,0
File,"FalseConditionTest.java",,,,1,12,0
File,"FalseTransitionAction.java",,,,2,15,0
File,"FilterTest0.java",,,,3,93,16
File,"FilterTest1.java",,,,3,97,13
File,"FilterTest2.java",,,,3,136,20
File,"FilterTest3.java",,,,3,149,22
File,"FilterTest4.java",,,,3,79,17
File,"FilterTest5.java",,,,3,78,20
File,"FilterTest6.java",,,,3,153,27
File,"FilterTest7.java",,,,3,194,22
File,"FilterTest8.java",,,,5,137,19
