Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,0,3003
File,"AST.java",,,,148,598,34
File,"AbstractAST.java",,,,0,9,26
File,"AbstractAttrs.java",,,,4,20,26
File,"AbstractEvaluatorContext.java",,,,22,89,26
File,"AbstractGrammarGraphSymbolVisitor.java",,,,12,54,26
File,"AbstractGrammarSlot.java",,,,5,28,26
File,"AbstractNodeLookup.java",,,,5,26,36
File,"AbstractParseResult.java",,,,2,12,26
File,"AbstractPattern.java",,,,16,83,34
File,"AbstractSymbol.java",,,,12,54,27
File,"AbstractTransition.java",,,,4,24,26
File,"Align.java",,,,12,54,26
File,"Alt.java",,,,23,89,26
File,"AltNode.java",,,,0,5,0
File,"AmbiguityNode.java",,,,0,6,0
File,"ArrayEnvironment.java",,,,27,106,1
File,"ArrayEvaluatorContext.java",,,,2,14,0
File,"ArrayNodeLookup.java",,,,7,36,26
File,"Associativity.java",,,,1,7,26
File,"AssociativityGroup.java",,,,23,95,26
File,"Attr.java",,,,0,7,26
File,"AutomatonToDot.java",,,,9,49,26
File,"Block.java",,,,15,66,26
File,"BodyGrammarSlot.java",,,,40,167,33
File,"Builder.java",,,,50,167,33
File,"Code.java",,,,11,57,26
File,"CodeTransition.java",,,,5,32,31
File,"CollectRegularExpressions.java",,,,29,106,32
File,"Condition.java",,,,3,18,31
File,"ConditionType.java",,,,2,24,26
File,"Conditional.java",,,,13,63,26
File,"ConditionalTransition.java",,,,12,52,28
File,"Conditions.java",,,,1,11,31
File,"ConditionsFactory.java",,,,18,74,28
File,"ConfigFileParser.java",,,,0,5,0
File,"Configuration.java",,,,18,114,32
File,"DataDependentCondition.java",,,,6,28,26
File,"Descriptor.java",,,,7,39,34
File,"Descriptor.java",,,,2,18,26
File,"DesugarAlignAndOffside.java",,,,123,479,55
File,"DesugarPrecedenceAndAssociativity.java",,,,772,2364,152
File,"DesugarState.java",,,,65,258,35
File,"DummyNode.java",,,,10,45,31
File,"DummySlot.java",,,,6,29,26
File,"EBNFToBNF.java",,,,80,388,73
File,"Edge.java",,,,10,33,26
File,"EndGrammarSlot.java",,,,13,55,31
File,"Environment.java",,,,0,14,26
File,"EpsilonGrammarSlot.java",,,,7,34,32
File,"EpsilonTransition.java",,,,37,141,28
File,"Example1.java",,,,3,58,7
File,"Example2.java",,,,3,59,7
File,"Example3.java",,,,3,61,11
File,"ExceptPattern.java",,,,2,14,26
File,"Expression.java",,,,198,853,29
File,"ExternalEqual.java",,,,0,4,26
File,"FailureResult.java",,,,4,22,0
File,"FindLabelsUsedInExcepts.java",,,,25,106,4
File,"FirstFollowSets.java",,,,72,232,111
File,"FollowRestrictionTest.java",,,,4,64,87
File,"FollowRestrictionTest2.java",,,,3,44,36
File,"FollowTest.java",,,,0,6,0
File,"FreeVariableVisitor.java",,,,88,554,39
File,"GLLEvaluator.java",,,,5,23,28
File,"GSSEdge.java",,,,0,11,35
File,"GSSNode.java",,,,7,31,26
File,"GSSNode.java",,,,30,107,37
File,"GSSNodeData.java",,,,16,63,26
File,"GSSNodeLookup.java",,,,0,17,36
File,"GSSToDot.java",,,,7,26,26
File,"Gamma0Test.java",,,,2,36,101
File,"Gamma1Test.java",,,,2,40,110
File,"Gamma2Test.java",,,,8,68,394
File,"Gamma2TestLargeInput.java",,,,7,60,52
File,"Gamma2WithEpsilonTest.java",,,,6,71,37
File,"GenerateBasicFiles.java",,,,11,129,42
File,"GenerateBasicHighlighter.java",,,,19,94,35
File,"GenerateElements.java",,,,166,695,47
File,"GenerateJFlex.java",,,,91,316,37
File,"GenerateParser.java",,,,7,155,38
File,"GenerateTermBuilder.java",,,,3,100,33
File,"Grammar.java",,,,78,293,38
File,"GrammarBuilder.java",,,,191,597,34
File,"GrammarGraph.java",,,,79,369,37
File,"GrammarGraphToDot.java",,,,14,50,27
File,"GrammarSlot.java",,,,2,11,41
File,"GrammarTransformation.java",,,,0,6,26
File,"GrammarValidationException.java",,,,3,15,26
File,"HasChildren.java",,,,0,4,0
File,"HasDefinition.java",,,,0,5,0
File,"Haskell.java",,,,0,0,1019
File,"HaskellPaper1.java",,,,0,0,147
File,"HiddenLeftRecursion.java",,,,2,32,36
File,"HiddenLeftRecursion1Test.java",,,,6,66,403
File,"Holder.java",,,,3,7,0
File,"IAbstractASTVisitor.java",,,,0,58,26
File,"IConditionVisitor.java",,,,0,9,26
File,"IEvaluatorContext.java",,,,0,21,36
File,"IF.java",,,,1,42,8
File,"IGGYTest.java",,,,1,31,3
File,"ISymbolVisitor.java",,,,0,21,26
File,"IdeaIDEGenerator.java",,,,2,18,29
