Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AllTests.java",,,,0,11,0
File,"BGzipLineWriter.java",,,,4,27,0
File,"ChiSquareObject.java",,,,7,29,0
File,"Chromosome.java",,,,26,84,0
File,"CompressionEncryption.java",,,,21,196,18
File,"ExportObject.java",,,,7,30,0
File,"FailureNotification.java",,,,9,65,3
File,"FastQualityControl.java",,,,30,249,8
File,"FastQualityControlTest.java",,,,34,269,47
File,"FastVCFFileReader.java",,,,9,54,2
File,"FileMerger.java",,,,21,111,6
File,"FileMergerTest.java",,,,2,22,1
File,"FileUtil.java",,,,5,36,0
File,"GenomicTools.java",,,,56,309,6
File,"GenotypeLine.java",,,,11,44,0
File,"HadoopJobStep.java",,,,5,31,5
File,"ITask.java",,,,0,5,0
File,"ITaskProgressListener.java",,,,0,4,0
File,"ImputationJobMinimac3.java",,,,43,223,11
File,"ImputationMapperMinimac3.java",,,,23,220,13
File,"ImputationMinimac3.java",,,,54,336,19
File,"ImputationMinimac3Test.java",,,,87,918,174
File,"ImputationPipelineMinimac3.java",,,,65,412,19
File,"ImputationPipelineMinimac3Test.java",,,,3,66,0
File,"InputValidation.java",,,,53,321,10
File,"InputValidationTest.java",,,,25,258,105
File,"LegendEntry.java",,,,16,64,0
File,"LegendFileLiftOver.java",,,,7,64,3
File,"LegendFileLiftOverTool.java",,,,6,49,0
File,"LegendFileReader.java",,,,25,143,3
File,"LegendFileTool.java",,,,12,102,2
File,"LiftOverTask.java",,,,10,60,1
File,"Main.java",,,,2,19,0
File,"MergedVcfFile.java",,,,3,25,0
File,"MinimalVariantContext.java",,,,29,103,0
File,"ParallelHadoopJobStep.java",,,,27,141,2
File,"PasswordCreator.java",,,,8,44,1
File,"RefPanel.java",,,,32,119,0
File,"RefPanelList.java",,,,10,61,0
File,"SnpStats.java",,,,32,105,0
File,"StatisticsTask.java",,,,146,700,53
File,"TaskResults.java",,,,4,17,0
File,"TestCluster.java",,,,8,61,1
File,"TestSFTPServer.java",,,,5,52,0
File,"VCFBuilder.java",,,,33,205,20
File,"VCFLiftOver.java",,,,4,52,0
File,"VCFLineParser.java",,,,18,105,5
File,"VCFLineParserTest.java",,,,12,160,1
File,"VcfChunk.java",,,,23,96,1
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,30,108,0
File,"VcfFileUtil.java",,,,41,268,5
File,"VcfLiftOver.java",,,,13,106,8
File,"VcfLiftOverFast.java",,,,10,87,5
File,"VcfLiftOverTool.java",,,,5,32,0
File,"VcfLine.java",,,,6,27,0
File,"VcfLineCodec.java",,,,7,39,0
File,"VcfLineComparator.java",,,,1,8,0
File,"VcfLineSortingCollection.java",,,,1,9,0
File,"WorkflowTestContext.java",,,,47,193,4
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,2,30,0
Public Class,"genepi.imputationserver.AllTests",2,0,0,0,4,0
Public Class,"genepi.imputationserver.Main",11,0,0,2,13,0
Public Constructor,"genepi.imputationserver.Main.Main",,,,1,3,0
Public Static Method,"genepi.imputationserver.Main.main",,,,1,8,0
Package,"genepi.imputationserver.steps",,,,320,2730,384
Public Class,"genepi.imputationserver.steps.CompressionEncryption",30,0,0,20,166,18
Class,"genepi.imputationserver.steps.CompressionEncryption.ChrXComparator",5,0,0,1,10,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.ChrXComparator.compare",,,,1,7,0
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,17,138,18
Public Class,"genepi.imputationserver.steps.FailureNotification",10,0,0,9,59,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,9,57,3
Public Class,"genepi.imputationserver.steps.FastQualityControl",27,0,0,29,228,8
Public Method,"genepi.imputationserver.steps.FastQualityControl.run",,,,24,185,8
Protected Method,"genepi.imputationserver.steps.FastQualityControl.runTask",,,,4,38,0
Anonymous Class,"genepi.imputationserver.steps.FastQualityControl.runTask.(Anon_1)",4,0,0,1,5,0
Public Method,"genepi.imputationserver.steps.FastQualityControl.runTask.(Anon_1).progress",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.FastQualityControl.setupTabix",,,,1,3,0
Public Class,"genepi.imputationserver.steps.FastQualityControlTest",14,0,0,31,254,47
Class,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.FastQualityControlMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.buildContext",,,,1,16,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.run",,,,1,4,0
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testChrXMixedGenotypes",,,,2,15,2
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testChrXPloidyError",,,,2,15,2
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testChrXSplits",,,,4,22,2
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountAmountSplitsForSeveralContigs",,,,3,18,5
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountLinesInChunkMetaFile",,,,2,15,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountLinesInFailedChunkFile",,,,3,22,3
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountSamplesInCreatedChunk",,,,4,20,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountSitesForOneChunkedContig",,,,4,27,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testMonomorphicSnps",,,,1,16,2
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticAllChunksExcluded",,,,1,10,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatistics",,,,1,13,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticsAllChunksFailed",,,,1,13,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticsAllChunksPassed",,,,1,10,4
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",22,76,73,51,318,19
Class,"genepi.imputationserver.steps.ImputationMinimac3.ChunkFileConverterResult",1,0,0,0,4,0
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.convertChunkfile",,,,2,26,2
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,4,21,4
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,6,24,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.resolvePattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,22,166,11
Anonymous Class,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1)",4,0,0,3,15,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1).readConfigFile",,,,3,14,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,11,44,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
Public Class,"genepi.imputationserver.steps.ImputationMinimac3Test",32,83,83,77,896,174
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock",3,0,0,2,11,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock.CompressionEncryptionMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock.getFolder",,,,1,4,1
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock",3,0,0,2,11,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock.ImputationMinimac3Mock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock.getFolder",,,,1,4,1
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.InputValidationMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.setupTabix",,,,1,4,0
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.QcStatisticsMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.buildContext",,,,2,42,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.checkAmountOfColumns",,,,3,10,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.checkSortPositionInfo",,,,4,15,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.getLineCount",,,,2,8,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.importBinaries",,,,2,9,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.importMinimacMap2",,,,1,6,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.importRefPanel",,,,2,9,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.run",,,,1,4,0
Public Static Method,"genepi.imputationserver.steps.ImputationMinimac3Test.setUp",,,,1,4,0
Public Static Method,"genepi.imputationserver.steps.ImputationMinimac3Test.tearDown",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChr23PipelinePhased",,,,3,32,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChrXLeaveOneOutPipelinePhased",,,,5,39,9
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChrXPipelinePhased",,,,3,32,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChrXPipelineWithEagle",,,,4,35,7
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChrXPipelineWithEagleHg38",,,,3,34,7
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testChrXPipelineWithPhasedHg38",,,,2,28,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testCompareInfoAndDosageSize",,,,2,33,7
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWidthInvalidFileFormat",,,,1,10,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWidthInvalidHttpUrl",,,,1,10,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagle",,,,2,31,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleAnd23AndMe",,,,1,10,4
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleAndR2Filter",,,,2,32,7
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleHg19ToHg38",,,,2,29,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleHg38ToHg19",,,,2,30,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleHg38ToHg38",,,,2,30,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEmptyPhasing",,,,1,16,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithHapiUr",,,,3,32,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithHttpUrl",,,,2,29,10
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhased",,,,2,29,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhasedAndEmptyPhasing",,,,1,16,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhasedAndNoPhasingSelected",,,,2,29,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhasedHg19ToHg38",,,,2,29,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhasedHg38ToHg19",,,,2,30,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithSFTP",,,,2,33,10
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithShapeIt",,,,3,32,6
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithWrongSFTPCredentials",,,,1,12,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testWriteTypedSitesOnly",,,,2,23,5
Public Class,"genepi.imputationserver.steps.ImputationPipelineMinimac3Test",7,0,0,3,59,0
Public Method,"genepi.imputationserver.steps.ImputationPipelineMinimac3Test.testWithWrongReferencePanel",,,,1,18,0
