Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ChiSquareObject.java",,,,7,29,0
File,"CompressionEncryption.java",,,,12,142,15
File,"FailureNotification.java",,,,5,53,2
File,"FileMerger.java",,,,27,179,1
File,"GeneticMap.java",,,,10,38,0
File,"GenomicTools.java",,,,48,227,7
File,"HadoopJobStep.java",,,,5,32,5
File,"ImputationJobMinimac3.java",,,,27,147,6
File,"ImputationMapperMinimac3.java",,,,5,128,12
File,"ImputationMinimac3.java",,,,34,245,16
File,"ImputationPipelineMinimac3.java",,,,88,522,15
File,"InputValidation.java",,,,36,285,7
File,"MapList.java",,,,9,46,0
File,"MergedVcfFile.java",,,,3,24,6
File,"ParallelHadoopJobStep.java",,,,27,143,2
File,"QualityControl.java",,,,23,231,18
File,"QualityControlJob.java",,,,40,201,1
File,"QualityControlMapper.java",,,,60,465,35
File,"QualityControlReducer.java",,,,4,33,4
File,"RefPanel.java",,,,14,62,0
File,"RefPanelList.java",,,,10,60,0
File,"SnpStats.java",,,,32,105,0
File,"VcfChunk.java",,,,23,88,0
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,24,87,0
File,"VcfFileUtil.java",,,,55,376,114
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,0,0
Package,"genepi.imputationserver.steps",,,,110,956,58
Public Class,"genepi.imputationserver.steps.CompressionEncryption",27,0,0,12,119,15
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,16,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,9,101,15
Public Class,"genepi.imputationserver.steps.FailureNotification",8,0,0,5,46,2
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,5,44,2
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",19,65,60,34,230,16
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,3,18,3
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,5,24,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,13,122,11
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,8,39,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
Public Class,"genepi.imputationserver.steps.InputValidation",25,0,0,36,262,7
Private Method,"genepi.imputationserver.steps.InputValidation.checkVcfFiles",,,,23,183,6
Private Method,"genepi.imputationserver.steps.InputValidation.importVcfFiles",,,,9,53,0
Public Static Method,"genepi.imputationserver.steps.InputValidation.loadChrXTesterFromFile",,,,1,4,0
Public Method,"genepi.imputationserver.steps.InputValidation.run",,,,3,20,1
Public Class,"genepi.imputationserver.steps.QualityControl",23,50,50,23,214,18
Private Method,"genepi.imputationserver.steps.QualityControl.createChunkFile",,,,10,70,4
Public Method,"genepi.imputationserver.steps.QualityControl.run",,,,13,141,14
Package,"genepi.imputationserver.steps.imputationMinimac3",,,,120,797,33
Public Class,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3",14,90,90,27,135,6
Public Constructor,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.ImputationJobMinimac3",,,,1,7,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.after",,,,1,4,1
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.cleanupJob",,,,2,9,0
Protected Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.distribute",,,,3,13,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setFolder",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setLogFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setMapHapiURHdfs",,,,1,4,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setMapHapiURPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setMapShapeITHdfs",,,,1,4,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setMapShapeITPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setMinimacBin",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setNoCache",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setOutput",,,,1,5,1
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setPhasing",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setPopulation",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setRefPanel",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setRefPanelHdfs",,,,1,4,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setRefPanelPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setRounds",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setWindow",,,,1,3,0
Protected Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setupDistributedCache",,,,3,19,4
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationJobMinimac3.setupJob",,,,1,10,0
Public Class,"genepi.imputationserver.steps.imputationMinimac3.ImputationMapperMinimac3",22,33,33,5,111,12
Protected Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationMapperMinimac3.cleanup",,,,1,6,1
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationMapperMinimac3.map",,,,3,39,3
Protected Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationMapperMinimac3.setup",,,,1,49,8
Public Class,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3",21,93,91,88,509,15
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.execute",,,,17,120,7
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.fixInfoFile",,,,3,27,1
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getHapiUrPreprocessCommand",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getMapFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getMapHapiURFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getMapHapiURPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getMapShapeITFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getMapShapeITPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getNoSnps",,,,5,27,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getPattern",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getPhasing",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getPopulation",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getRefFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getRefPanelFilename",,,,1,3,0
Public Method,"genepi.imputationserver.steps.imputationMinimac3.ImputationPipelineMinimac3.getRounds",,,,1,3,0
