Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ChiSquareObject.java",,,,7,29,0
File,"Chromosome.java",,,,26,84,0
File,"ChunkFactory.java",,,,3,31,4
File,"CompressionEncryption.java",,,,15,150,15
File,"FailureNotification.java",,,,10,64,3
File,"FileMergeTest.java",,,,6,63,7
File,"FileMerger.java",,,,26,174,1
File,"FileUtil.java",,,,5,36,0
File,"GeneticMap.java",,,,22,89,0
File,"GenomicTools.java",,,,51,233,7
File,"GenotypeLine.java",,,,11,44,0
File,"HadoopJobStep.java",,,,5,31,5
File,"ImputationJobMinimac3.java",,,,39,199,8
File,"ImputationMapperMinimac3.java",,,,12,171,12
File,"ImputationMinimac3.java",,,,41,257,19
File,"ImputationPipelineMinimac3.java",,,,88,496,24
File,"InputValidation.java",,,,49,360,19
File,"MapList.java",,,,9,46,0
File,"MergedVcfFile.java",,,,3,25,0
File,"ParallelHadoopJobStep.java",,,,27,141,2
File,"PasswordCreator.java",,,,8,46,1
File,"PipelineFactory.java",,,,1,54,2
File,"PipelineTest.java",,,,8,65,29
File,"QualityControl.java",,,,29,233,13
File,"QualityControlJob.java",,,,43,205,1
File,"QualityControlMapper.java",,,,62,403,42
File,"QualityControlReducer.java",,,,4,33,4
File,"RefPanel.java",,,,16,69,0
File,"RefPanelList.java",,,,10,60,0
File,"SnpStats.java",,,,32,105,0
File,"VCFBuilder.java",,,,31,216,19
File,"VcfChunk.java",,,,23,88,0
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,24,87,0
File,"VcfFileUtil.java",,,,67,388,22
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,0,0
Package,"genepi.imputationserver.steps",,,,144,1064,69
Public Class,"genepi.imputationserver.steps.CompressionEncryption",27,0,0,15,127,15
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,12,109,15
Public Class,"genepi.imputationserver.steps.FailureNotification",10,0,0,10,58,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,10,56,3
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",19,70,67,41,242,19
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,4,21,4
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,6,24,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,15,123,13
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,11,44,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
Public Class,"genepi.imputationserver.steps.InputValidation",31,0,0,49,335,19
Private Method,"genepi.imputationserver.steps.InputValidation.checkVcfFiles",,,,36,256,18
Private Method,"genepi.imputationserver.steps.InputValidation.importVcfFiles",,,,9,53,0
Public Static Method,"genepi.imputationserver.steps.InputValidation.loadChrXTesterFromFile",,,,1,4,0
Public Method,"genepi.imputationserver.steps.InputValidation.run",,,,3,20,1
Public Class,"genepi.imputationserver.steps.QualityControl",25,50,50,29,215,13
Private Method,"genepi.imputationserver.steps.QualityControl.createChunkFile",,,,15,86,4
Public Method,"genepi.imputationserver.steps.QualityControl.run",,,,14,126,9
