Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AllTests.java",,,,0,11,0
File,"ChiSquareObject.java",,,,7,29,0
File,"Chromosome.java",,,,26,84,0
File,"CompressionEncryption.java",,,,14,143,16
File,"FailureNotification.java",,,,10,64,3
File,"FileMerger.java",,,,26,175,1
File,"FileUtil.java",,,,5,36,0
File,"GeneticMap.java",,,,22,89,0
File,"GenomicTools.java",,,,44,204,3
File,"GenotypeLine.java",,,,11,44,0
File,"HadoopJobStep.java",,,,5,31,5
File,"ImputationJobMinimac3.java",,,,41,210,8
File,"ImputationMapperMinimac3.java",,,,14,179,12
File,"ImputationMinimac3.java",,,,44,291,20
File,"ImputationMinimac3Test.java",,,,28,281,65
File,"ImputationPipelineMinimac3.java",,,,86,484,23
File,"InputValidation.java",,,,41,276,44
File,"InputValidationTest.java",,,,18,192,72
File,"MapList.java",,,,9,46,0
File,"MergedVcfFile.java",,,,3,25,0
File,"ParallelHadoopJobStep.java",,,,27,142,2
File,"QCStatistics.java",,,,150,636,42
File,"QCStatisticsTest.java",,,,24,199,72
File,"QualityControl.java",,,,12,134,3
File,"RefPanel.java",,,,16,69,0
File,"RefPanelList.java",,,,10,60,0
File,"SnpStats.java",,,,32,105,0
File,"TestCluster.java",,,,8,61,1
File,"VCFBuilder.java",,,,31,216,19
File,"VcfChunk.java",,,,23,88,0
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,26,94,0
File,"VcfFileUtil.java",,,,40,277,8
File,"WorkflowTestContext.java",,,,42,172,3
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,11,0
Public Class,"genepi.imputationserver.AllTests",2,0,0,0,4,0
Package,"genepi.imputationserver.steps",,,,191,1580,295
Public Class,"genepi.imputationserver.steps.CompressionEncryption",27,0,0,14,120,16
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,11,102,16
Public Class,"genepi.imputationserver.steps.FailureNotification",10,0,0,10,58,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,10,56,3
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",23,68,64,41,271,20
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.convertChunkfile",,,,2,21,2
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,3,15,3
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,5,20,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,15,144,13
Anonymous Class,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1)",4,0,0,3,15,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1).readConfigFile",,,,3,14,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,11,44,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
