Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AllTests.java",,,,0,17,0
File,"AllTestsNoChrX.java",,,,0,15,0
File,"BGzipLineWriter.java",,,,4,27,0
File,"ChiSquareObject.java",,,,7,29,0
File,"CompressionEncryption.java",,,,41,363,17
File,"ContextLog.java",,,,19,74,6
File,"DefaultPreferenceStore.java",,,,13,74,1
File,"ExportObject.java",,,,7,30,0
File,"FailureNotification.java",,,,10,71,3
File,"FastQualityControl.java",,,,39,314,10
File,"FastQualityControlTest.java",,,,46,371,91
File,"FastVCFFileReader.java",,,,9,54,2
File,"FileChecksum.java",,,,4,33,24
File,"FileChecksumTest.java",,,,6,39,0
File,"FileMerger.java",,,,27,141,10
File,"FileMergerTest.java",,,,2,22,1
File,"GenomicTools.java",,,,31,171,3
File,"HadoopJobStep.java",,,,5,31,5
File,"ITask.java",,,,0,5,0
File,"ITaskProgressListener.java",,,,0,4,0
File,"Imputation.java",,,,55,348,16
File,"ImputationChrMT.java",,,,22,177,12
File,"ImputationChrXTest.java",,,,38,375,52
File,"ImputationJob.java",,,,42,212,11
File,"ImputationMapper.java",,,,29,269,14
File,"ImputationParameters.java",,,,11,41,0
File,"ImputationPipeline.java",,,,47,322,19
File,"ImputationPipelineTest.java",,,,3,66,0
File,"ImputationStatistic.java",,,,9,35,0
File,"ImputationTest.java",,,,56,839,278
File,"InputValidation.java",,,,46,278,4
File,"InputValidationTest.java",,,,23,247,89
File,"LegendEntry.java",,,,18,76,0
File,"LegendFileLiftOver.java",,,,7,64,3
File,"LegendFileLiftOverTool.java",,,,6,49,0
File,"LegendFileReader.java",,,,25,143,3
File,"LegendFileTool.java",,,,12,102,2
File,"LiftOverTask.java",,,,10,61,2
File,"Main.java",,,,2,26,1
File,"MergedVcfFile.java",,,,3,25,0
File,"MinimalVariantContext.java",,,,33,142,0
File,"ParallelHadoopJobStep.java",,,,27,141,2
File,"PasswordCreator.java",,,,8,44,1
File,"PgsPanel.java",,,,8,39,0
File,"RangeEntry.java",,,,7,27,0
File,"RefPanel.java",,,,42,169,3
File,"RefPanelList.java",,,,25,117,1
File,"SnpStats.java",,,,32,105,0
File,"StatisticsTask.java",,,,158,722,54
File,"TaskResults.java",,,,4,17,0
File,"TestCluster.java",,,,8,61,1
File,"TestSFTPServer.java",,,,5,52,0
File,"VCFLineParser.java",,,,18,105,5
File,"VCFLineParserTest.java",,,,12,160,1
File,"VcfChunk.java",,,,21,88,1
File,"VcfChunkOutput.java",,,,6,36,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,30,108,0
File,"VcfFileUtil.java",,,,42,273,5
File,"VcfLiftOverFast.java",,,,10,73,0
File,"VcfLiftOverTool.java",,,,5,32,0
File,"VcfLine.java",,,,6,27,0
File,"VcfLineCodec.java",,,,7,39,0
File,"VcfLineComparator.java",,,,1,8,0
File,"VcfLineSortingCollection.java",,,,1,9,0
File,"VersionTool.java",,,,4,25,0
File,"WorkflowTestContext.java",,,,48,196,4
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,2,58,1
Public Class,"genepi.imputationserver.AllTests",2,0,0,0,5,0
Public Class,"genepi.imputationserver.AllTestsNoChrX",2,0,0,0,5,0
Public Class,"genepi.imputationserver.Main",15,0,0,2,18,1
Public Constructor,"genepi.imputationserver.Main.Main",,,,1,7,1
Public Static Method,"genepi.imputationserver.Main.main",,,,1,9,0
Package,"genepi.imputationserver.steps",,,,379,3449,572
Public Class,"genepi.imputationserver.steps.CompressionEncryption",50,0,0,40,321,17
Class,"genepi.imputationserver.steps.CompressionEncryption.ChrXComparator",5,0,0,1,10,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.ChrXComparator.compare",,,,1,7,0
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,37,294,17
Public Class,"genepi.imputationserver.steps.FailureNotification",10,0,0,10,65,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,10,63,3
Public Class,"genepi.imputationserver.steps.FastQualityControl",31,0,0,38,292,10
Public Method,"genepi.imputationserver.steps.FastQualityControl.run",,,,32,239,10
Protected Method,"genepi.imputationserver.steps.FastQualityControl.runTask",,,,5,48,0
Anonymous Class,"genepi.imputationserver.steps.FastQualityControl.runTask.(Anon_1)",4,0,0,1,5,0
Public Method,"genepi.imputationserver.steps.FastQualityControl.runTask.(Anon_1).progress",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.FastQualityControl.setupTabix",,,,1,3,0
Public Class,"genepi.imputationserver.steps.FastQualityControlTest",17,0,0,43,356,91
Class,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.FastQualityControlMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.FastQualityControlMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.buildContext",,,,2,18,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.run",,,,1,4,0
