Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ChiSquareObject.java",,,,7,29,0
File,"Chromosome.java",,,,26,84,0
File,"ChunkFactory.java",,,,3,31,4
File,"CompressionEncryption.java",,,,13,139,16
File,"FailureNotification.java",,,,9,62,3
File,"FileMergeTest.java",,,,6,63,7
File,"FileMerger.java",,,,26,174,1
File,"FileUtil.java",,,,5,36,0
File,"GeneticMap.java",,,,22,89,0
File,"GenomicTools.java",,,,51,233,7
File,"GenotypeLine.java",,,,11,44,0
File,"HadoopJobStep.java",,,,5,31,5
File,"ImputationJobMinimac3.java",,,,38,195,8
File,"ImputationMapperMinimac3.java",,,,8,151,14
File,"ImputationMinimac3.java",,,,35,250,18
File,"ImputationPipelineMinimac3.java",,,,94,526,23
File,"InputValidation.java",,,,47,357,10
File,"MapList.java",,,,9,46,0
File,"MergedVcfFile.java",,,,3,25,0
File,"ParallelHadoopJobStep.java",,,,27,143,2
File,"PipelineFactory.java",,,,1,54,2
File,"PipelineTest.java",,,,8,65,29
File,"QualityControl.java",,,,24,212,13
File,"QualityControlJob.java",,,,43,205,1
File,"QualityControlMapper.java",,,,59,460,37
File,"QualityControlReducer.java",,,,4,33,4
File,"RefPanel.java",,,,16,69,0
File,"RefPanelList.java",,,,10,60,0
File,"SnpStats.java",,,,32,105,0
File,"VCFBuilder.java",,,,31,216,19
File,"VcfChunk.java",,,,23,88,0
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,24,87,0
File,"VcfFileUtil.java",,,,61,403,115
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,0,0
Package,"genepi.imputationserver.steps",,,,128,1020,60
Public Class,"genepi.imputationserver.steps.CompressionEncryption",28,0,0,13,115,16
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,10,98,16
Public Class,"genepi.imputationserver.steps.FailureNotification",11,0,0,9,55,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,9,53,3
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",19,65,60,35,235,18
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,3,18,3
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,5,24,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,14,127,13
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,8,39,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
Public Class,"genepi.imputationserver.steps.InputValidation",31,0,0,47,332,10
Private Method,"genepi.imputationserver.steps.InputValidation.checkVcfFiles",,,,34,253,9
Private Method,"genepi.imputationserver.steps.InputValidation.importVcfFiles",,,,9,53,0
Public Static Method,"genepi.imputationserver.steps.InputValidation.loadChrXTesterFromFile",,,,1,4,0
Public Method,"genepi.imputationserver.steps.InputValidation.run",,,,3,20,1
Public Class,"genepi.imputationserver.steps.QualityControl",24,50,50,24,194,13
Private Method,"genepi.imputationserver.steps.QualityControl.createChunkFile",,,,10,65,4
Public Method,"genepi.imputationserver.steps.QualityControl.run",,,,14,126,9
Package,"genepi.imputationserver.steps.converter",,,,73,380,19
