Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AllTests.java",,,,0,16,0
File,"AllTestsNoChrX.java",,,,0,15,0
File,"BGzipLineWriter.java",,,,4,27,0
File,"ChiSquareObject.java",,,,7,29,0
File,"CompressionEncryption.java",,,,34,258,18
File,"DefaultPreferenceStore.java",,,,13,68,1
File,"ExportObject.java",,,,7,30,0
File,"FailureNotification.java",,,,10,71,3
File,"FastQualityControl.java",,,,30,249,9
File,"FastQualityControlTest.java",,,,36,283,49
File,"FastVCFFileReader.java",,,,9,54,2
File,"FileMerger.java",,,,26,140,9
File,"FileMergerTest.java",,,,2,22,1
File,"GenomicTools.java",,,,45,205,3
File,"HadoopJobStep.java",,,,5,31,5
File,"ITask.java",,,,0,5,0
File,"ITaskProgressListener.java",,,,0,4,0
File,"Imputation.java",,,,46,295,16
File,"ImputationChrXTest.java",,,,40,352,46
File,"ImputationJob.java",,,,29,153,8
File,"ImputationMapper.java",,,,23,210,12
File,"ImputationPipeline.java",,,,30,206,10
File,"ImputationPipelineTest.java",,,,3,66,0
File,"ImputationStatistic.java",,,,6,24,0
File,"ImputationTest.java",,,,64,691,132
File,"InputValidation.java",,,,46,276,6
File,"InputValidationTest.java",,,,23,247,89
File,"LegendEntry.java",,,,18,76,0
File,"LegendFileLiftOver.java",,,,7,64,3
File,"LegendFileLiftOverTool.java",,,,6,49,0
File,"LegendFileReader.java",,,,25,143,3
File,"LegendFileTool.java",,,,12,102,2
File,"LiftOverTask.java",,,,10,59,1
File,"Main.java",,,,2,19,0
File,"MergedVcfFile.java",,,,3,25,0
File,"MinimalVariantContext.java",,,,33,142,0
File,"ParallelHadoopJobStep.java",,,,27,141,2
File,"PasswordCreator.java",,,,8,44,1
File,"RefPanel.java",,,,32,119,0
File,"RefPanelList.java",,,,12,74,0
File,"SnpStats.java",,,,32,105,0
File,"StatisticsTask.java",,,,140,668,54
File,"TaskResults.java",,,,4,17,0
File,"TestCluster.java",,,,8,61,1
File,"TestSFTPServer.java",,,,5,52,0
File,"VCFLineParser.java",,,,18,105,5
File,"VCFLineParserTest.java",,,,12,160,1
File,"VcfChunk.java",,,,21,88,1
File,"VcfChunkOutput.java",,,,5,31,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,30,108,0
File,"VcfFileUtil.java",,,,41,268,5
File,"VcfLiftOverFast.java",,,,11,92,5
File,"VcfLiftOverTool.java",,,,5,32,0
File,"VcfLine.java",,,,6,27,0
File,"VcfLineCodec.java",,,,7,39,0
File,"VcfLineComparator.java",,,,1,8,0
File,"VcfLineSortingCollection.java",,,,1,9,0
