Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AllTests.java",,,,0,11,0
File,"BGzipLineWriter.java",,,,4,27,0
File,"ChiSquareObject.java",,,,7,29,0
File,"Chromosome.java",,,,26,84,0
File,"CompressionEncryption.java",,,,15,152,15
File,"FailureNotification.java",,,,10,64,3
File,"FastQCStatistics.java",,,,127,624,55
File,"FastQualityControl.java",,,,17,171,4
File,"FastQualityControlTest.java",,,,27,215,41
File,"FastVCFFileReader.java",,,,9,54,2
File,"FileMerger.java",,,,26,175,1
File,"FileUtil.java",,,,5,36,0
File,"GeneticMap.java",,,,22,78,0
File,"GeneticMapList.java",,,,9,47,0
File,"GenomicTools.java",,,,55,307,6
File,"GenotypeLine.java",,,,11,44,0
File,"HadoopJobStep.java",,,,5,31,5
File,"ImputationJobMinimac3.java",,,,41,210,8
File,"ImputationMapperMinimac3.java",,,,14,179,12
File,"ImputationMinimac3.java",,,,50,314,21
File,"ImputationMinimac3Test.java",,,,52,518,84
File,"ImputationPipelineMinimac3.java",,,,72,421,20
File,"InputValidation.java",,,,50,315,11
File,"InputValidationTest.java",,,,19,198,72
File,"MergedVcfFile.java",,,,3,25,0
File,"MinimalVariantContext.java",,,,29,103,0
File,"ParallelHadoopJobStep.java",,,,27,141,2
File,"PasswordCreator.java",,,,8,43,1
File,"QualityControlObject.java",,,,4,17,0
File,"RefPanel.java",,,,18,76,0
File,"RefPanelList.java",,,,10,61,0
File,"SnpStats.java",,,,32,105,0
File,"Test.java",,,,5,78,4
File,"Test2.java",,,,14,63,6
File,"TestCluster.java",,,,8,59,3
File,"TestSFTPServer.java",,,,5,52,0
File,"VCFBuilder.java",,,,33,205,20
File,"VCFLineParser.java",,,,18,105,5
File,"VCFLineParserTest.java",,,,12,158,1
File,"VcfChunk.java",,,,23,96,1
File,"VcfChunkOutput.java",,,,15,82,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,26,94,0
File,"VcfFileUtil.java",,,,35,223,5
File,"VcfLiftOver.java",,,,11,89,4
File,"WorkflowTestContext.java",,,,43,176,3
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,11,0
Public Class,"genepi.imputationserver.AllTests",2,0,0,0,4,0
Package,"genepi.imputationserver.steps",,,,240,1947,251
Public Class,"genepi.imputationserver.steps.CompressionEncryption",27,0,0,15,127,15
Private Method,"genepi.imputationserver.steps.CompressionEncryption.findFiles",,,,3,15,0
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,12,109,15
Public Class,"genepi.imputationserver.steps.FailureNotification",10,0,0,10,58,3
Public Method,"genepi.imputationserver.steps.FailureNotification.run",,,,10,56,3
Public Class,"genepi.imputationserver.steps.FastQualityControl",22,0,0,17,155,4
Public Method,"genepi.imputationserver.steps.FastQualityControl.run",,,,16,149,4
Protected Method,"genepi.imputationserver.steps.FastQualityControl.setupTabix",,,,1,4,0
Public Class,"genepi.imputationserver.steps.FastQualityControlTest",14,0,0,24,200,41
Class,"genepi.imputationserver.steps.FastQualityControlTest.QcStatisticsMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.FastQualityControlTest.QcStatisticsMock.QcStatisticsMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.QcStatisticsMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.QcStatisticsMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.buildContext",,,,1,16,0
Protected Method,"genepi.imputationserver.steps.FastQualityControlTest.run",,,,1,4,0
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountAmountSplitsForSeveralContigs",,,,3,18,5
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountLinesInChunkMetaFile",,,,2,15,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountLinesInFailedChunkFile",,,,3,22,3
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountSamplesInCreatedChunk",,,,4,20,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testCountSitesForOneChunkedContig",,,,4,27,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticAllChunksExcluded",,,,1,10,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatistics",,,,1,13,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticsAllChunksFailed",,,,1,13,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testQcStatisticsAllChunksPassed",,,,1,10,4
Public Method,"genepi.imputationserver.steps.FastQualityControlTest.testchrXSetup",,,,2,14,2
Public Class,"genepi.imputationserver.steps.ImputationMinimac3",23,72,68,47,294,21
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3.ImputationMinimac3",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.convertChunkfile",,,,2,21,2
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobFinish",,,,3,15,3
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.onJobStart",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.printSummary",,,,6,24,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.run",,,,20,162,14
Anonymous Class,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1)",4,0,0,3,15,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3.run.(Anon_1).readConfigFile",,,,3,14,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.setup",,,,1,4,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3.updateMessage",,,,11,44,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3.updateProgress",,,,2,8,0
Public Class,"genepi.imputationserver.steps.ImputationMinimac3Test",30,78,78,42,493,84
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock",3,0,0,2,11,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock.CompressionEncryptionMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.CompressionEncryptionMock.getFolder",,,,1,4,1
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock",3,0,0,2,11,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock.ImputationMinimac3Mock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.ImputationMinimac3Mock.getFolder",,,,1,4,1
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.InputValidationMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.InputValidationMock.setupTabix",,,,1,4,0
Class,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.QcStatisticsMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.QcStatisticsMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.buildContext",,,,2,41,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.importBinaries",,,,2,9,0
Private Method,"genepi.imputationserver.steps.ImputationMinimac3Test.importRefPanel",,,,2,9,0
Protected Method,"genepi.imputationserver.steps.ImputationMinimac3Test.run",,,,1,4,0
Public Static Method,"genepi.imputationserver.steps.ImputationMinimac3Test.setUp",,,,1,4,0
Public Static Method,"genepi.imputationserver.steps.ImputationMinimac3Test.tearDown",,,,1,4,0
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWidthHttpUrl",,,,2,29,9
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWidthInvalidFileFormat",,,,1,10,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWidthInvalidHttpUrl",,,,1,10,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagle",,,,2,29,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithEagleAnd23AndMe",,,,1,10,4
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithHapiUr",,,,3,32,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithPhased",,,,2,29,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithSFTP",,,,2,33,9
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithShapeIt",,,,3,32,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testPipelineWithWrongSFTPCredentials",,,,1,12,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testchr23PipelinePhased",,,,3,32,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testchrXLeaveOneOutPipelinePhased",,,,5,38,7
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testchrXPipelinePhased",,,,3,32,5
Public Method,"genepi.imputationserver.steps.ImputationMinimac3Test.testchrXPipelineWithEagle",,,,4,35,6
Public Class,"genepi.imputationserver.steps.InputValidation",29,0,0,50,292,11
Private Method,"genepi.imputationserver.steps.InputValidation.checkParameters",,,,15,77,5
Private Method,"genepi.imputationserver.steps.InputValidation.checkVcfFiles",,,,21,143,5
Private Method,"genepi.imputationserver.steps.InputValidation.importVcfFiles",,,,9,46,0
Public Method,"genepi.imputationserver.steps.InputValidation.run",,,,4,21,1
Protected Method,"genepi.imputationserver.steps.InputValidation.setupTabix",,,,1,3,0
Public Class,"genepi.imputationserver.steps.InputValidationTest",10,0,0,16,186,72
Class,"genepi.imputationserver.steps.InputValidationTest.InputValidationMock",4,33,33,3,15,1
Public Constructor,"genepi.imputationserver.steps.InputValidationTest.InputValidationMock.InputValidationMock",,,,1,4,0
Public Method,"genepi.imputationserver.steps.InputValidationTest.InputValidationMock.getFolder",,,,1,4,1
Protected Method,"genepi.imputationserver.steps.InputValidationTest.InputValidationMock.setupTabix",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.InputValidationTest.buildContext",,,,1,11,0
Protected Method,"genepi.imputationserver.steps.InputValidationTest.run",,,,1,4,0
Public Method,"genepi.imputationserver.steps.InputValidationTest.testPhasedVcfWithShapeIt",,,,1,9,5
Public Method,"genepi.imputationserver.steps.InputValidationTest.testSingleUnphasedVcfWithEagle",,,,1,17,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testTabixIndexCreationChr1",,,,2,21,7
Public Method,"genepi.imputationserver.steps.InputValidationTest.testTabixIndexCreationChr20",,,,2,21,7
Public Method,"genepi.imputationserver.steps.InputValidationTest.testThreeUnphasedVcfWithEagle",,,,1,19,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testUnorderedVcfFile",,,,1,10,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testUnphasedVcfWithShapeIt",,,,1,9,5
Public Method,"genepi.imputationserver.steps.InputValidationTest.testWithInnsufficientSamples",,,,1,10,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testWithWrongReferencePanel",,,,1,9,5
Public Method,"genepi.imputationserver.steps.InputValidationTest.testWrongChromosomes",,,,1,10,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testWrongFiles",,,,1,9,6
Public Method,"genepi.imputationserver.steps.InputValidationTest.testWrongVcfFile",,,,1,9,6
Package,"genepi.imputationserver.steps.converter",,,,75,369,20
Public Class,"genepi.imputationserver.steps.converter.Chromosome",1,0,0,26,82,0
Public Static Method,"genepi.imputationserver.steps.converter.Chromosome.getChrLength",,,,26,55,0
Public Class,"genepi.imputationserver.steps.converter.FileUtil",11,0,0,5,28,0
Public Static Method,"genepi.imputationserver.steps.converter.FileUtil.gunzip",,,,3,17,0
Public Static Method,"genepi.imputationserver.steps.converter.FileUtil.unzip",,,,2,9,0
Public Class,"genepi.imputationserver.steps.converter.GenotypeLine",3,70,70,11,42,0
Public Constructor,"genepi.imputationserver.steps.converter.GenotypeLine.GenotypeLine",,,,1,2,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.getChromosome",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.getGenotype",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.getPos",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.getRsid",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.parse",,,,2,10,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.setChromosome",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.setGenotype",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.setPos",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.GenotypeLine.setRsid",,,,1,3,0
Public Class,"genepi.imputationserver.steps.converter.VCFBuilder",37,82,82,33,173,20
Public Constructor,"genepi.imputationserver.steps.converter.VCFBuilder.VCFBuilder",,,,1,3,0
Public Method,"genepi.imputationserver.steps.converter.VCFBuilder.build",,,,19,105,19
