Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ChunkKey.java",,,,13,60,0
File,"ChunkValue.java",,,,5,32,0
File,"CompositeKeyComparator.java",,,,6,30,0
File,"CompressionEncryption.java",,,,6,65,3
File,"HadoopJobStep.java",,,,4,30,4
File,"Imputation.java",,,,24,153,3
File,"ImputationJob.java",,,,21,134,5
File,"ImputationMapper.java",,,,19,181,19
File,"ImputationPipeline.java",,,,25,179,5
File,"ImputationPipelineException.java",,,,1,7,3
File,"ImputationReducer.java",,,,5,48,2
File,"InputValidation.java",,,,22,177,6
File,"NaturalKeyGroupingComparator.java",,,,2,14,0
File,"NaturalKeyPartitioner.java",,,,1,8,0
File,"ParallelHadoopJobStep.java",,,,25,133,0
File,"QualityControl.java",,,,19,180,12
File,"QualityControlJob.java",,,,29,163,1
File,"QualityControlMapper.java",,,,50,385,30
File,"QualityControlReducer.java",,,,4,33,4
File,"RefPanel.java",,,,10,38,0
File,"RefPanelList.java",,,,10,60,0
File,"SnpStats.java",,,,32,105,0
File,"VcfChunk.java",,,,23,88,0
File,"VcfChunkOutput.java",,,,13,72,0
File,"VcfChunkUtil.java",,,,10,64,6
File,"VcfFile.java",,,,20,73,0
File,"VcfFileUtil.java",,,,13,116,3
Package,"genepi",,,,0,0,0
Package,"genepi.imputationserver",,,,0,0,0
Package,"genepi.imputationserver.steps",,,,71,575,24
Public Class,"genepi.imputationserver.steps.CompressionEncryption",12,0,0,6,55,3
Public Method,"genepi.imputationserver.steps.CompressionEncryption.run",,,,6,53,3
Public Class,"genepi.imputationserver.steps.Imputation",20,58,41,24,138,3
Public Constructor,"genepi.imputationserver.steps.Imputation.Imputation",,,,1,4,0
Protected Method,"genepi.imputationserver.steps.Imputation.onJobFinish",,,,2,6,0
Protected Method,"genepi.imputationserver.steps.Imputation.onJobStart",,,,1,3,0
Public Method,"genepi.imputationserver.steps.Imputation.run",,,,10,75,3
Private Method,"genepi.imputationserver.steps.Imputation.updateMessage",,,,9,41,0
Public Method,"genepi.imputationserver.steps.Imputation.updateProgress",,,,1,5,0
Public Class,"genepi.imputationserver.steps.InputValidation",23,0,0,22,159,6
Private Method,"genepi.imputationserver.steps.InputValidation.checkVcfFiles",,,,11,98,6
Private Method,"genepi.imputationserver.steps.InputValidation.importVcfFiles",,,,9,52,0
Public Method,"genepi.imputationserver.steps.InputValidation.run",,,,2,7,0
Public Class,"genepi.imputationserver.steps.QualityControl",21,0,0,19,165,12
Private Method,"genepi.imputationserver.steps.QualityControl.createChunkFile",,,,8,52,3
Public Method,"genepi.imputationserver.steps.QualityControl.run",,,,11,111,9
Package,"genepi.imputationserver.steps.imputation",,,,71,549,34
