Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHudsonTestCaseDeletingInstanceDir.java",,,,1,24,14
File,"ComputerConfigHistoryAction.java",,,,34,216,159
File,"ComputerConfigHistoryActionFactory.java",,,,2,23,27
File,"ComputerConfigHistoryActionTest.java",,,,2,22,7
File,"ComputerHistoryListener.java",,,,36,141,60
File,"ComputerHistoryListenerIT.java",,,,4,109,8
File,"ConfigInfo.java",,,,13,80,126
File,"ConfigInfoCollector.java",,,,22,109,81
File,"ConfigInfoCollectorTest.java",,,,9,76,43
File,"ConfigInfoTest.java",,,,4,45,14
File,"DeletedFileFilter.java",,,,4,20,53
File,"DeletedFileFilterTest.java",,,,3,20,36
File,"FileHistoryDao.java",,,,141,781,253
File,"FileHistoryDaoTest.java",,,,62,575,168
File,"FileNameComparator.java",,,,1,12,29
File,"FileNameComparatorTest.java",,,,1,14,29
File,"GetDiffLines.java",,,,15,109,102
File,"GetDiffLinesTest.java",,,,2,32,30
File,"HistoryDao.java",,,,0,18,122
File,"HistoryDescr.java",,,,8,43,87
File,"HistoryDescrToConfigInfo.java",,,,4,30,70
File,"HistoryDescrToConfigInfoTest.java",,,,2,35,30
File,"HistoryFileFilter.java",,,,2,14,37
File,"HistoryFileFilterTest.java",,,,3,32,13
File,"ItemListenerHistoryDao.java",,,,0,8,56
File,"JobConfigBadgeAction.java",,,,27,125,115
File,"JobConfigBadgeActionIT.java",,,,15,223,4
File,"JobConfigBadgeActionTest.java",,,,22,158,62
File,"JobConfigHistory.java",,,,58,250,241
File,"JobConfigHistoryActionFactory.java",,,,2,28,32
File,"JobConfigHistoryActionFactoryTest.java",,,,2,32,10
File,"JobConfigHistoryBaseAction.java",,,,44,242,189
File,"JobConfigHistoryBaseActionIT.java",,,,18,158,28
File,"JobConfigHistoryBaseActionTest.java",,,,21,152,46
File,"JobConfigHistoryConsts.java",,,,1,13,40
File,"JobConfigHistoryDescriptor.java",,,,0,6,28
File,"JobConfigHistoryIT.java",,,,31,395,44
File,"JobConfigHistoryJobListener.java",,,,11,75,63
File,"JobConfigHistoryJobListenerIT.java",,,,9,118,15
File,"JobConfigHistoryJobListenerTest.java",,,,9,70,22
File,"JobConfigHistoryProjectAction.java",,,,44,244,172
File,"JobConfigHistoryProjectActionIT.java",,,,5,77,9
File,"JobConfigHistoryProjectActionTest.java",,,,33,285,69
File,"JobConfigHistoryPurger.java",,,,30,143,86
File,"JobConfigHistoryPurgerIT.java",,,,12,138,34
File,"JobConfigHistoryPurgerTest.java",,,,20,176,46
File,"JobConfigHistoryRootAction.java",,,,49,276,225
File,"JobConfigHistoryRootActionIT.java",,,,21,289,62
File,"JobConfigHistoryRootActionTest.java",,,,40,330,130
File,"JobConfigHistorySaveableListener.java",,,,7,40,47
File,"JobConfigHistorySaveableListenerTest.java",,,,4,42,10
File,"JobConfigHistoryStrategy.java",,,,4,30,34
File,"JobConfigHistoryTest.java",,,,30,287,100
File,"LazyHistoryDescr.java",,,,11,51,55
File,"LazyHistoryDescrTest.java",,,,2,18,55
File,"NodeListenerHistoryDao.java",,,,0,7,49
File,"NonDeletedFileFilter.java",,,,2,13,38
File,"NonDeletedFileFilterTest.java",,,,2,17,33
File,"NonJobsDirectoryFileFilter.java",,,,2,13,36
File,"NonJobsDirectoryFileFilterTest.java",,,,1,19,30
File,"OverviewHistoryDao.java",,,,0,12,76
File,"ParsedDate.java",,,,0,5,33
File,"ParsedDateComparator.java",,,,1,13,35
File,"ParsedDateComparatorTest.java",,,,2,34,10
File,"PluginIT.java",,,,22,198,18
File,"PluginUtils.java",,,,19,82,73
File,"PluginUtilsTest.java",,,,2,18,33
File,"Purgeable.java",,,,0,6,48
File,"SideBySideView.java",,,,20,85,121
File,"TUtils.java",,,,13,82,46
File,"UnpackResourceZip.java",,,,11,71,15
Public Implicit Method,"clone",,,,0,,
Package,"hudson",,,,0,0,0
Package,"hudson.plugins",,,,0,0,0
Package,"hudson.plugins.jobConfigHistory",,,,1054,7734,4421
Public Abstract Class,"hudson.plugins.jobConfigHistory.AbstractHudsonTestCaseDeletingInstanceDir",8,0,0,1,18,14
Public Method,"hudson.plugins.jobConfigHistory.AbstractHudsonTestCaseDeletingInstanceDir.after",,,,1,7,1
Public Class,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction",35,72,56,34,191,136
Public Constructor,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.ComputerConfigHistoryAction",,,,1,4,5
Protected Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.checkConfigurePermission",,,,1,4,0
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.doForwardToRestoreQuestion",,,,1,5,11
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.doRestore",,,,2,21,11
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.doToggleShowHideVersionDiffs",,,,1,9,12
Protected Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getAccessControlledObject",,,,1,4,0
Public Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getApi",,,,1,3,0
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getDisplayName",,,,1,4,0
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getFile",,,,1,6,10
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getIconFileName",,,,2,7,0
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getLines",,,,1,6,0
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getNextTimestamp",,,,3,16,10
Private Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getOldConfigXml",,,,2,11,7
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getOperation",,,,1,5,8
Public Final Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getPrevTimestamp",,,,3,19,10
Public Method,"hudson.plugins.jobConfigHistory.ComputerConfigHistoryAction.getSlave",,,,1,3,5
