Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHudsonTestCaseDeletingInstanceDir.java",,,,1,21,13
File,"ComputerConfigHistoryAction.java",,,,31,188,121
File,"ComputerConfigHistoryActionFactory.java",,,,2,20,8
File,"ComputerHistoryListener.java",,,,27,101,32
File,"ComputerHistoryListenerIT.java",,,,4,69,8
File,"ConfigInfo.java",,,,11,69,76
File,"ConfigInfoCollector.java",,,,13,65,74
File,"ConfigInfoCollectorTest.java",,,,9,66,43
File,"ConfigInfoTest.java",,,,4,40,14
File,"DeletedFileFilter.java",,,,4,19,48
File,"DeletedFileFilterTest.java",,,,3,20,36
File,"FileHistoryDao.java",,,,116,582,225
File,"FileHistoryDaoTest.java",,,,66,510,175
File,"FileNameComparator.java",,,,1,12,29
File,"FileNameComparatorTest.java",,,,1,14,29
File,"FolderConfigHistoryActionFactory.java",,,,1,13,24
File,"GetDiffLines.java",,,,15,106,93
File,"GetDiffLinesTest.java",,,,2,31,30
File,"HistoryDao.java",,,,0,27,136
File,"HistoryDescr.java",,,,6,31,44
File,"HistoryDescrToConfigInfo.java",,,,4,26,61
File,"HistoryDescrToConfigInfoTest.java",,,,2,32,30
File,"HistoryFileFilter.java",,,,2,13,12
File,"HistoryFileFilterTest.java",,,,3,29,13
File,"ItemListenerHistoryDao.java",,,,0,7,45
File,"JobConfigBadgeAction.java",,,,25,115,90
File,"JobConfigBadgeActionIT.java",,,,15,193,3
File,"JobConfigBadgeActionTest.java",,,,22,150,60
File,"JobConfigHistory.java",,,,57,236,187
File,"JobConfigHistoryActionFactory.java",,,,1,24,10
File,"JobConfigHistoryActionFactoryTest.java",,,,2,30,10
File,"JobConfigHistoryBaseAction.java",,,,18,94,113
File,"JobConfigHistoryBaseActionIT.java",,,,17,127,23
File,"JobConfigHistoryBaseActionTest.java",,,,20,137,43
File,"JobConfigHistoryConsts.java",,,,1,14,18
File,"JobConfigHistoryIT.java",,,,31,266,35
File,"JobConfigHistoryJobListener.java",,,,9,52,39
File,"JobConfigHistoryJobListenerIT.java",,,,9,93,14
File,"JobConfigHistoryJobListenerTest.java",,,,9,63,22
File,"JobConfigHistoryProjectAction.java",,,,33,194,132
File,"JobConfigHistoryProjectActionIT.java",,,,5,60,8
File,"JobConfigHistoryProjectActionTest.java",,,,31,214,64
File,"JobConfigHistoryPurger.java",,,,27,117,51
File,"JobConfigHistoryPurgerIT.java",,,,12,104,28
File,"JobConfigHistoryPurgerTest.java",,,,20,150,46
File,"JobConfigHistoryRootAction.java",,,,44,247,166
File,"JobConfigHistoryRootActionIT.java",,,,21,238,56
File,"JobConfigHistoryRootActionTest.java",,,,40,300,123
File,"JobConfigHistorySaveableListener.java",,,,4,27,17
File,"JobConfigHistorySaveableListenerTest.java",,,,4,33,10
File,"JobConfigHistoryTest.java",,,,32,276,106
