Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHudsonTestCaseDeletingInstanceDir.java",,,,1,15,11
File,"ConfigHistoryListenerHelper.java",,,,12,86,90
File,"ConfigInfo.java",,,,10,75,86
File,"ConfigInfoComparator.java",,,,1,10,9
File,"Diff.java",,,,107,482,310
File,"DiffPrint.java",,,,84,343,172
File,"HistoryDescr.java",,,,5,25,39
File,"JobConfigBadgeAction.java",,,,25,118,67
File,"JobConfigBadgeActionTest.java",,,,15,193,3
File,"JobConfigHistory.java",,,,71,297,214
File,"JobConfigHistoryActionFactory.java",,,,1,23,9
File,"JobConfigHistoryBaseAction.java",,,,37,208,158
File,"JobConfigHistoryBaseActionTest.java",,,,19,139,23
File,"JobConfigHistoryConsts.java",,,,1,13,17
File,"JobConfigHistoryJobListener.java",,,,11,73,19
File,"JobConfigHistoryJobListenerTest.java",,,,7,85,14
File,"JobConfigHistoryProjectAction.java",,,,19,124,81
File,"JobConfigHistoryProjectActionTest.java",,,,5,60,8
File,"JobConfigHistoryPurger.java",,,,21,94,28
File,"JobConfigHistoryPurgerTest.java",,,,10,82,2
File,"JobConfigHistoryRootAction.java",,,,40,210,110
File,"JobConfigHistoryRootActionTest.java",,,,15,116,24
File,"JobConfigHistorySaveableListener.java",,,,2,20,8
File,"JobConfigHistoryTest.java",,,,34,276,36
File,"PluginTest.java",,,,22,162,18
Package,"bmsi",,,,0,0,0
Package,"bmsi.util",,,,191,825,482
Public Class,"bmsi.util.Diff",9,67,51,46,480,287
Public Constructor,"bmsi.util.Diff.Diff",,,,1,6,7
Static Class,"bmsi.util.Diff.ForwardScript",1,0,0,5,21,5
Public Method,"bmsi.util.Diff.ForwardScript.build_script",,,,5,19,5
Static Class,"bmsi.util.Diff.ReverseScript",1,0,0,5,19,5
Public Method,"bmsi.util.Diff.ReverseScript.build_script",,,,5,17,3
Public Interface,"bmsi.util.Diff.ScriptBuilder",1,0,0,0,6,8
