Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHudsonTestCaseDeletingInstanceDir.java",,,,1,24,18
File,"ComputerConfigHistoryAction.java",,,,44,243,141
File,"ComputerConfigHistoryActionFactory.java",,,,2,23,26
File,"ComputerConfigHistoryActionIT.java",,,,2,26,6
File,"ComputerHistoryListener.java",,,,29,127,55
File,"ComputerHistoryListenerIT.java",,,,4,109,3
File,"ConfigInfo.java",,,,14,86,133
File,"ConfigInfoCollector.java",,,,22,108,74
File,"ConfigInfoCollectorTest.java",,,,9,75,42
File,"ConfigInfoTest.java",,,,4,47,13
File,"DeletedFileFilter.java",,,,4,20,54
File,"DeletedFileFilterTest.java",,,,3,21,35
File,"FileHistoryDao.java",,,,177,959,274
File,"FileHistoryDaoTest.java",,,,75,665,178
File,"FileNameComparator.java",,,,1,11,31
File,"FileNameComparatorTest.java",,,,1,14,29
File,"GetDiffLines.java",,,,15,109,92
File,"GetDiffLinesTest.java",,,,2,32,29
File,"HistoryDao.java",,,,0,25,115
File,"HistoryDescr.java",,,,11,70,103
File,"HistoryDescrToConfigInfo.java",,,,4,30,62
File,"HistoryDescrToConfigInfoTest.java",,,,2,34,29
File,"HistoryFileFilter.java",,,,2,14,38
File,"HistoryFileFilterTest.java",,,,3,32,12
File,"ItemListenerHistoryDao.java",,,,0,8,52
File,"JobConfigBadgeAction.java",,,,26,121,111
File,"JobConfigBadgeActionIT.java",,,,15,223,4
File,"JobConfigBadgeActionTest.java",,,,21,171,59
File,"JobConfigHistory.java",,,,54,254,258
File,"JobConfigHistoryActionFactory.java",,,,2,28,34
File,"JobConfigHistoryActionFactoryIT.java",,,,2,35,9
File,"JobConfigHistoryBaseAction.java",,,,58,318,195
File,"JobConfigHistoryBaseActionIT.java",,,,22,176,24
File,"JobConfigHistoryBaseActionTest.java",,,,25,199,43
File,"JobConfigHistoryConsts.java",,,,1,19,74
File,"JobConfigHistoryDescriptor.java",,,,0,6,27
File,"JobConfigHistoryIT.java",,,,31,389,43
File,"JobConfigHistoryJobListener.java",,,,11,75,62
File,"JobConfigHistoryJobListenerIT.java",,,,9,116,14
File,"JobConfigHistoryJobListenerTest.java",,,,9,69,21
File,"JobConfigHistoryProjectAction.java",,,,62,310,163
File,"JobConfigHistoryProjectActionIT.java",,,,5,77,9
File,"JobConfigHistoryProjectActionTest.java",,,,41,346,70
File,"JobConfigHistoryPurger.java",,,,28,136,86
File,"JobConfigHistoryPurgerIT.java",,,,12,138,28
File,"JobConfigHistoryPurgerTest.java",,,,20,176,45
File,"JobConfigHistoryRootAction.java",,,,108,479,232
File,"JobConfigHistoryRootActionIT.java",,,,21,287,62
File,"JobConfigHistoryRootActionTest.java",,,,46,408,154
File,"JobConfigHistorySaveableListener.java",,,,6,37,51
File,"JobConfigHistorySaveableListenerTest.java",,,,4,42,9
File,"JobConfigHistoryStrategy.java",,,,2,23,36
File,"JobConfigHistoryTest.java",,,,32,310,103
File,"JobLocalConfiguration.java",,,,8,46,1
File,"LazyHistoryDescr.java",,,,12,55,57
File,"LazyHistoryDescrTest.java",,,,2,18,54
File,"MimickedUser.java",,,,7,24,10
File,"MimickedUserTest.java",,,,7,52,0
File,"NodeListenerHistoryDao.java",,,,0,7,43
