Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAttribute.java",,,,34,179,170
File,"AbstractCacheableService.java",,,,33,149,125
File,"AbstractGMLutecePanel.java",,,,6,42,54
File,"AbstractLuteceHome.java",,,,7,45,65
File,"AbstractPaginator.java",,,,31,191,129
File,"AbstractPluginAction.java",,,,0,4,38
File,"AbstractUserPreferencesDAO.java",,,,7,69,52
File,"AccessDeniedException.java",,,,2,13,48
File,"AccountLifeTimeDaemon.java",,,,28,280,49
File,"AdminAuthentication.java",,,,0,26,118
File,"AdminAuthenticationService.java",,,,39,223,166
File,"AdminDashboardComponent.java",,,,0,5,38
File,"AdminDashboardDAO.java",,,,31,226,98
File,"AdminDashboardFactory.java",,,,5,35,55
File,"AdminDashboardFilter.java",,,,7,36,65
File,"AdminDashboardHome.java",,,,11,51,95
File,"AdminDashboardJspBean.java",,,,19,166,83
File,"AdminDashboardService.java",,,,37,217,111
File,"AdminDocumentationJspBean.java",,,,19,163,82
File,"AdminFeaturesPageJspBean.java",,,,17,122,91
File,"AdminJspBeanTest.java",,,,3,38,47
File,"AdminLoginJspBean.java",,,,39,359,120
File,"AdminMailingListService.java",,,,17,105,82
File,"AdminMapJspBean.java",,,,11,122,63
File,"AdminMapJspBeanTest.java",,,,1,20,41
File,"AdminMenuJspBean.java",,,,35,293,125
File,"AdminMenuJspBeanTest.java",,,,6,69,46
File,"AdminMessage.java",,,,15,99,121
File,"AdminMessageJspBean.java",,,,2,45,41
File,"AdminMessageJspBeanTest.java",,,,1,28,40
File,"AdminMessageService.java",,,,27,155,176
File,"AdminMessageServiceTest.java",,,,2,41,43
File,"AdminPageJspBean.java",,,,54,471,170
File,"AdminPagePortletJspBean.java",,,,13,113,74
File,"AdminRole.java",,,,4,24,52
File,"AdminRoleDAO.java",,,,9,82,66
File,"AdminRoleHome.java",,,,9,47,81
File,"AdminRoleTest.java",,,,1,35,39
File,"AdminThemeService.java",,,,3,19,46
File,"AdminUser.java",,,,55,240,235
File,"AdminUserDAO.java",,,,95,871,195
File,"AdminUserField.java",,,,12,60,86
File,"AdminUserFieldDAO.java",,,,45,408,125
File,"AdminUserFieldFilter.java",,,,22,123,98
File,"AdminUserFieldHome.java",,,,16,72,91
File,"AdminUserFieldListener.java",,,,0,10,57
File,"AdminUserFieldListenerService.java",,,,7,36,61
File,"AdminUserFieldService.java",,,,33,192,103
File,"AdminUserFilter.java",,,,22,171,106
File,"AdminUserHome.java",,,,47,201,250
File,"AdminUserJspBean.java",,,,178,1555,361
File,"AdminUserPreferencesDAO.java",,,,1,10,39
File,"AdminUserPreferencesService.java",,,,3,20,41
File,"AdminUserResourceIdService.java",,,,3,40,50
File,"AdminUserService.java",,,,120,833,235
File,"AdminUserTest.java",,,,1,65,41
File,"AdminWorkgroup.java",,,,5,27,59
File,"AdminWorkgroupDAO.java",,,,23,199,81
File,"AdminWorkgroupFilter.java",,,,13,94,81
File,"AdminWorkgroupHome.java",,,,15,70,113
File,"AdminWorkgroupJspBean.java",,,,45,378,126
File,"AdminWorkgroupService.java",,,,9,53,64
File,"AdminWorkgroupTest.java",,,,1,28,38
File,"AliasPortlet.java",,,,8,57,78
File,"AliasPortletDAO.java",,,,11,89,61
File,"AliasPortletHome.java",,,,9,45,75
File,"AliasPortletJspBean.java",,,,7,102,74
File,"AliasPortletTest.java",,,,1,22,41
File,"AllTests.java",,,,1,15,42
File,"AllTests.java",,,,1,41,42
File,"AllTests.java",,,,2,28,46
File,"AllTests.java",,,,2,37,47
File,"AllTests.java",,,,2,21,47
File,"AllTests.java",,,,2,15,46
File,"AllTests.java",,,,1,47,43
File,"AllTests.java",,,,2,15,46
File,"AnnotationUtil.java",,,,3,29,53
File,"AnonymizationDaemon.java",,,,3,41,39
File,"AppConnectionService.java",,,,12,69,76
File,"AppDaemonService.java",,,,30,194,96
File,"AppException.java",,,,8,49,75
File,"AppHTTPSService.java",,,,3,19,48
File,"AppInfo.java",,,,2,12,44
File,"AppInit.java",,,,17,164,95
