Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAttribute.java",,,,25,137,129
File,"AbstractCacheableService.java",,,,14,66,67
File,"AbstractLuteceHome.java",,,,7,40,54
File,"AccessDeniedException.java",,,,0,5,39
File,"Action.java",,,,18,86,115
File,"AdminAuthentication.java",,,,0,25,117
File,"AdminAuthenticationService.java",,,,34,188,153
File,"AdminDashboardComponent.java",,,,0,6,38
File,"AdminDashboardDAO.java",,,,31,224,98
File,"AdminDashboardFactory.java",,,,5,34,55
File,"AdminDashboardFilter.java",,,,7,35,65
File,"AdminDashboardHome.java",,,,11,51,90
File,"AdminDashboardJspBean.java",,,,19,165,77
File,"AdminDashboardService.java",,,,39,219,110
File,"AdminDocumentationJspBean.java",,,,19,165,82
File,"AdminFeaturesPageJspBean.java",,,,13,96,85
File,"AdminJspBeanTest.java",,,,3,38,47
File,"AdminLoginJspBean.java",,,,27,258,103
File,"AdminMailingListService.java",,,,14,85,67
File,"AdminMapJspBean.java",,,,11,121,63
File,"AdminMapJspBeanTest.java",,,,1,20,41
File,"AdminMenuJspBean.java",,,,28,245,116
File,"AdminMenuJspBeanTest.java",,,,6,69,46
File,"AdminMessage.java",,,,12,82,101
File,"AdminMessageJspBean.java",,,,2,43,41
File,"AdminMessageJspBeanTest.java",,,,1,28,40
File,"AdminMessageService.java",,,,26,148,162
File,"AdminMessageServiceTest.java",,,,2,41,43
File,"AdminPageJspBean.java",,,,52,440,187
File,"AdminPagePortletJspBean.java",,,,13,113,74
File,"AdminRole.java",,,,4,24,52
File,"AdminRoleDAO.java",,,,9,82,66
File,"AdminRoleHome.java",,,,9,47,81
File,"AdminRoleTest.java",,,,1,35,39
File,"AdminUser.java",,,,39,170,192
File,"AdminUserDAO.java",,,,56,533,196
File,"AdminUserField.java",,,,10,50,78
File,"AdminUserFieldDAO.java",,,,27,260,103
File,"AdminUserFieldFilter.java",,,,13,79,29
File,"AdminUserFieldHome.java",,,,9,44,78
