Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAttribute.java",,,,34,205,219
File,"AbstractCacheableService.java",,,,34,167,141
File,"AbstractGMLutecePanel.java",,,,6,42,54
File,"AbstractJsonResponse.java",,,,2,17,48
File,"AbstractLuteceHome.java",,,,7,45,69
File,"AbstractMessageFormatTemplateMethod.java",,,,7,54,34
File,"AbstractMessageFormatTemplateMethodTest.java",,,,3,60,33
File,"AbstractPaginator.java",,,,31,193,140
File,"AbstractPluginAction.java",,,,0,4,40
File,"AbstractUserPreferencesDAO.java",,,,15,133,68
File,"AbstractXPageApplication.java",,,,4,30,83
File,"AccessDeniedException.java",,,,2,13,51
File,"AccountLifeTimeDaemon.java",,,,28,260,51
File,"Action.java",,,,0,15,41
File,"AdminAuthentication.java",,,,0,25,143
File,"AdminAuthenticationService.java",,,,39,220,208
File,"AdminDashboardComponent.java",,,,0,5,38
File,"AdminDashboardDAO.java",,,,31,234,114
File,"AdminDashboardFactory.java",,,,5,34,60
File,"AdminDashboardFilter.java",,,,7,35,73
File,"AdminDashboardHome.java",,,,11,51,104
File,"AdminDashboardJspBean.java",,,,19,168,99
File,"AdminDashboardJspBeanTest.java",,,,15,207,46
File,"AdminDashboardService.java",,,,37,215,135
File,"AdminDocumentationJspBean.java",,,,20,165,87
File,"AdminFeaturesPageJspBean.java",,,,20,137,157
File,"AdminJspBeanTest.java",,,,4,61,49
File,"AdminLoginJspBean.java",,,,55,465,142
File,"AdminLoginJspBeanTest.java",,,,38,556,35
File,"AdminMailingListService.java",,,,17,105,96
File,"AdminMapJspBean.java",,,,11,118,71
File,"AdminMapJspBeanTest.java",,,,1,21,41
File,"AdminMenuJspBean.java",,,,51,396,167
File,"AdminMenuJspBeanTest.java",,,,21,385,48
File,"AdminMessage.java",,,,15,97,173
File,"AdminMessageJspBean.java",,,,2,47,43
File,"AdminMessageJspBeanTest.java",,,,1,30,40
File,"AdminMessageService.java",,,,31,181,302
File,"AdminMessageServiceTest.java",,,,2,42,43
File,"AdminPageJspBean.java",,,,67,549,234
File,"AdminPageJspBeanTest.java",,,,40,725,41
File,"AdminPagePortletJspBean.java",,,,33,256,87
File,"AdminPagePortletJspBeanTest.java",,,,85,884,256
File,"AdminRole.java",,,,4,24,58
File,"AdminRoleDAO.java",,,,9,82,76
File,"AdminRoleHome.java",,,,9,47,88
File,"AdminRoleTest.java",,,,1,35,39
File,"AdminThemeService.java",,,,3,19,48
File,"AdminUser.java",,,,61,267,308
File,"AdminUserDAO.java",,,,100,917,200
File,"AdminUserDAOTest.java",,,,7,171,36
File,"AdminUserField.java",,,,12,60,104
File,"AdminUserFieldDAO.java",,,,46,428,161
File,"AdminUserFieldFilter.java",,,,22,121,119
File,"AdminUserFieldHome.java",,,,18,79,120
File,"AdminUserFieldListener.java",,,,0,10,68
File,"AdminUserFieldListenerService.java",,,,16,68,106
File,"AdminUserFieldService.java",,,,33,182,134
File,"AdminUserFilter.java",,,,20,155,118
File,"AdminUserHome.java",,,,52,232,361
File,"AdminUserHomeTest.java",,,,7,73,33
File,"AdminUserJspBean.java",,,,220,1821,482
File,"AdminUserJspBeanTest.java",,,,185,2503,73
File,"AdminUserPreferencesDAO.java",,,,1,10,39
File,"AdminUserPreferencesService.java",,,,3,18,42
File,"AdminUserPreferencesServiceTest.java",,,,1,41,37
File,"AdminUserResourceIdService.java",,,,3,40,55
File,"AdminUserService.java",,,,143,983,394
File,"AdminUserTest.java",,,,1,65,41
File,"AdminWorkgroup.java",,,,5,27,63
File,"AdminWorkgroupDAO.java",,,,23,197,83
File,"AdminWorkgroupFilter.java",,,,13,92,90
File,"AdminWorkgroupHome.java",,,,15,70,140
File,"AdminWorkgroupJspBean.java",,,,51,393,156
File,"AdminWorkgroupJspBeanTest.java",,,,29,300,33
File,"AdminWorkgroupService.java",,,,9,52,75
File,"AdminWorkgroupTest.java",,,,1,28,38
File,"AliasPortlet.java",,,,10,64,93
File,"AliasPortletDAO.java",,,,13,109,64
File,"AliasPortletHome.java",,,,10,50,82
File,"AliasPortletJspBean.java",,,,9,120,83
File,"AliasPortletTest.java",,,,1,23,41
File,"AllTests.java",,,,1,41,43
File,"AllTests.java",,,,2,21,48
File,"AllTests.java",,,,2,15,47
File,"AllTests.java",,,,1,15,43
File,"AllTests.java",,,,2,28,47
File,"AllTests.java",,,,2,41,48
File,"AllTests.java",,,,1,47,44
File,"AllTests.java",,,,2,15,47
File,"AnnotationUtil.java",,,,3,28,57
File,"AnonymizationDaemon.java",,,,3,41,39
File,"AppConnectionService.java",,,,12,69,83
File,"AppDaemonService.java",,,,34,183,165
File,"AppDaemonServiceTest.java",,,,4,48,35
File,"AppException.java",,,,9,49,77
File,"AppHTTPSService.java",,,,3,19,51
File,"AppInfo.java",,,,2,12,45
File,"AppInit.java",,,,17,190,110
File,"AppInitListener.java",,,,2,35,52
File,"AppInitTest.java",,,,5,38,54
File,"AppLogService.java",,,,21,116,105
File,"AppLogServiceTest.java",,,,4,30,48
File,"AppPathService.java",,,,56,317,244
File,"AppPathServiceTest.java",,,,10,83,77
File,"AppPropertiesService.java",,,,15,100,121
File,"AppTemplateService.java",,,,20,111,169
File,"AttributeCheckBox.java",,,,18,154,117
File,"AttributeComboBox.java",,,,19,161,117
File,"AttributeComparator.java",,,,18,115,75
File,"AttributeDAO.java",,,,28,265,131
File,"AttributeField.java",,,,20,94,144
File,"AttributeFieldDAO.java",,,,17,183,106
File,"AttributeFieldHome.java",,,,8,38,87
File,"AttributeFieldJspBean.java",,,,26,242,110
File,"AttributeFieldJspBeanTest.java",,,,80,575,45
File,"AttributeFieldService.java",,,,10,45,77
File,"AttributeHome.java",,,,9,43,100
File,"AttributeImage.java",,,,26,220,109
File,"AttributeJspBean.java",,,,35,263,131
File,"AttributeJspBeanTest.java",,,,59,532,33
File,"AttributeRadioButton.java",,,,19,143,110
File,"AttributeService.java",,,,25,118,151
File,"AttributeText.java",,,,23,178,116
File,"AttributeType.java",,,,7,37,76
File,"AttributeTypeService.java",,,,7,43,53
File,"AuthenticationFilter.java",,,,31,202,140
File,"BaseUserPreferencesCacheService.java",,,,7,38,54
File,"BaseUserPreferencesServiceImpl.java",,,,20,109,86
File,"BasicLuteceUser.java",,,,1,8,44
File,"BbcodeUtil.java",,,,33,210,134
File,"Bean.java",,,,0,28,131
File,"BeanDefaultMessages.java",,,,22,150,139
File,"BeanLuteceMessages.java",,,,22,150,134
File,"BeanUtil.java",,,,17,120,70
File,"BeanValidationUtil.java",,,,6,45,86
File,"BeanValidationUtilTest.java",,,,3,41,39
File,"ByteArrayDataSource.java",,,,8,54,82
File,"C3p0ConnectionService.java",,,,21,122,82
File,"CSVMessageDescriptor.java",,,,18,87,105
File,"CSVMessageLevel.java",,,,0,6,42
File,"CSVReaderService.java",,,,63,395,249
File,"CacheJspBean.java",,,,14,123,86
File,"CacheJspBeanTest.java",,,,58,417,54
File,"CacheService.java",,,,37,275,174
File,"CacheableService.java",,,,0,15,80
File,"CaptchaSecurityService.java",,,,12,76,61
File,"ChainedTransactionManager.java",,,,19,101,66
File,"CombinedResourceBundle.java",,,,5,38,33
File,"ConnectionPool.java",,,,41,260,218
File,"ConnectionService.java",,,,0,21,98
File,"ContentPostProcessor.java",,,,0,7,50
File,"ContentPostProcessorService.java",,,,6,30,56
File,"ContentService.java",,,,2,19,67
File,"ContentServiceEntry.java",,,,2,13,47
File,"Controller.java",,,,0,20,66
File,"Controller.java",,,,0,19,61
File,"CoreDataKeys.java",,,,1,8,39
File,"CryptoService.java",,,,21,144,85
File,"CryptoServiceTest.java",,,,8,92,34
File,"DAOUtil.java",,,,286,1774,1280
File,"DAOUtilTest.java",,,,7,93,41
File,"DAOUtilTransactionManager.java",,,,20,124,73
File,"Daemon.java",,,,6,37,75
File,"DaemonEntry.java",,,,26,116,170
File,"DaemonScheduler.java",,,,26,215,79
File,"DaemonSchedulerTest.java",,,,39,436,35
File,"DaemonThread.java",,,,7,58,50
File,"DaemonThreadFactory.java",,,,1,24,43
File,"DaemonsJspBean.java",,,,11,91,60
File,"DaemonsJspBeanTest.java",,,,32,401,87
