Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMavenBuild.java",,,,3,17,26
File,"AbstractMavenBuilder.java",,,,6,37,39
File,"AbstractMavenJavadocArchiver.java",,,,19,109,39
File,"AbstractMavenProcessFactory.java",,,,35,196,81
File,"AbstractMavenProject.java",,,,25,105,74
File,"AggregatableAction.java",,,,0,8,44
File,"BuildInfoRecorder.java",,,,7,66,29
File,"EmbedderLoggerImpl.java",,,,10,40,29
File,"ExecutedMojo.java",,,,19,102,81
File,"ExecutionEventLogger.java",,,,42,248,23
File,"FilteredChangeLogSet.java",,,,5,30,29
File,"Maven3Builder.java",,,,104,494,127
File,"Maven3ProcessFactory.java",,,,18,99,57
File,"MavenAbstractArtifactRecord.java",,,,30,165,74
File,"MavenAggregatedArtifactRecord.java",,,,10,45,28
File,"MavenAggregatedReport.java",,,,0,10,63
File,"MavenArtifact.java",,,,21,120,124
File,"MavenArtifactArchiver.java",,,,19,110,52
File,"MavenArtifactRecord.java",,,,17,97,51
File,"MavenBuild.java",,,,120,498,143
File,"MavenBuildInformation.java",,,,2,12,23
File,"MavenBuildProxy.java",,,,18,94,138
File,"MavenBuildProxy2.java",,,,4,20,48
File,"MavenBuilder.java",,,,39,222,110
File,"MavenComputerListener.java",,,,3,49,35
File,"MavenEmbedderRequest.java",,,,25,114,58
File,"MavenFingerprinter.java",,,,21,106,57
File,"MavenJavadocArchiver.java",,,,6,50,29
File,"MavenMailer.java",,,,5,41,31
File,"MavenModule.java",,,,72,303,161
File,"MavenModuleSet.java",,,,149,580,249
File,"MavenModuleSetBuild.java",,,,225,1014,264
File,"MavenProbeAction.java",,,,13,59,51
File,"MavenProcessFactory.java",,,,20,141,74
File,"MavenProjectActionBuilder.java",,,,0,7,49
File,"MavenRedeployer.java",,,,7,40,35
File,"MavenReportInfo.java",,,,1,13,40
File,"MavenReporter.java",,,,13,57,245
File,"MavenReporterDescriptor.java",,,,7,37,62
File,"MavenReporters.java",,,,3,16,36
File,"MavenSiteArchiver.java",,,,20,111,48
File,"MavenTestDataPublisher.java",,,,12,75,27
File,"MavenTestJavadocArchiver.java",,,,6,38,29
File,"MavenUtil.java",,,,46,215,90
File,"MavenVersionCallable.java",,,,3,26,29
File,"ModuleDependency.java",,,,18,78,57
File,"ModuleName.java",,,,19,68,40
File,"MojoInfo.java",,,,17,106,116
File,"PluginImpl.java",,,,1,13,27
File,"PluginName.java",,,,8,36,32
File,"PomInfo.java",,,,30,118,90
File,"ProcessCache.java",,,,24,173,75
File,"RedeployPublisher.java",,,,64,321,78
File,"ReportAction.java",,,,6,32,31
File,"ReportCollector.java",,,,11,64,32
File,"SplittableBuildListener.java",,,,16,83,41
File,"SurefireAggregatedReport.java",,,,10,54,31
File,"SurefireArchiver.java",,,,47,224,60
File,"SurefireReport.java",,,,2,20,27
File,"TransferListenerImpl.java",,,,8,40,38
File,"UnbuiltModuleAction.java",,,,6,26,17
Package,"hudson",,,,0,0,0
Package,"hudson.maven",,,,1218,5792,3228
Public Abstract Generic Class,"hudson.maven.AbstractMavenBuild",3,100,100,3,12,3
Protected Constructor,"hudson.maven.AbstractMavenBuild.AbstractMavenBuild",,,,1,3,0
Public Constructor,"hudson.maven.AbstractMavenBuild.AbstractMavenBuild",,,,1,3,0
Public Constructor,"hudson.maven.AbstractMavenBuild.AbstractMavenBuild",,,,1,3,0
TypeVariable,"hudson.maven.AbstractMavenBuild.B",1,0,0,0,0,0
TypeVariable,"hudson.maven.AbstractMavenBuild.P",1,0,0,0,0,0
Public Abstract Class,"hudson.maven.AbstractMavenBuilder",8,75,75,6,28,16
Protected Constructor,"hudson.maven.AbstractMavenBuilder.AbstractMavenBuilder",,,,1,5,0
Protected Method,"hudson.maven.AbstractMavenBuilder.format",,,,1,3,0
Protected Method,"hudson.maven.AbstractMavenBuilder.formatArgs",,,,3,12,1
Public Method,"hudson.maven.AbstractMavenBuilder.getClassLoader",,,,1,3,0
Public Abstract Class,"hudson.maven.AbstractMavenProcessFactory",35,62,62,25,157,58
Constructor,"hudson.maven.AbstractMavenProcessFactory.AbstractMavenProcessFactory",,,,1,7,0
Interface,"hudson.maven.AbstractMavenProcessFactory.Acceptor",2,0,0,0,4,0
Abstract Method,"hudson.maven.AbstractMavenProcessFactory.Acceptor.accept",,,,0,1,0
Abstract Method,"hudson.maven.AbstractMavenProcessFactory.Acceptor.getPort",,,,0,1,0
Private Static Final Class,"hudson.maven.AbstractMavenProcessFactory.Connection",6,0,0,3,17,13
Constructor,"hudson.maven.AbstractMavenProcessFactory.Connection.Connection",,,,1,4,0
Private Method,"hudson.maven.AbstractMavenProcessFactory.Connection.readResolve",,,,1,5,2
Private Method,"hudson.maven.AbstractMavenProcessFactory.Connection.writeReplace",,,,1,3,0
Private Static Final Class,"hudson.maven.AbstractMavenProcessFactory.GetCharset",3,0,0,1,5,0
Public Method,"hudson.maven.AbstractMavenProcessFactory.GetCharset.call",,,,1,3,0
Protected Static Final Class,"hudson.maven.AbstractMavenProcessFactory.GetRemotingJar",3,0,0,1,5,0
Public Method,"hudson.maven.AbstractMavenProcessFactory.GetRemotingJar.call",,,,1,3,0
Private Static Final Class,"hudson.maven.AbstractMavenProcessFactory.SocketHandler",3,0,0,1,26,12
Static Final Class,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.AcceptorImpl",9,50,50,4,20,8
Constructor,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.AcceptorImpl.AcceptorImpl",,,,1,5,4
Public Method,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.AcceptorImpl.accept",,,,1,5,1
Public Method,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.AcceptorImpl.getPort",,,,1,3,0
Private Method,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.AcceptorImpl.writeReplace",,,,1,3,3
Public Method,"hudson.maven.AbstractMavenProcessFactory.SocketHandler.call",,,,1,3,0
Protected Abstract Method,"hudson.maven.AbstractMavenProcessFactory.buildMavenAgentCmdLine",,,,0,2,4
Protected Method,"hudson.maven.AbstractMavenProcessFactory.getCurrentNode",,,,1,3,3
Protected Method,"hudson.maven.AbstractMavenProcessFactory.getEnvVars",,,,1,3,0
Public Method,"hudson.maven.AbstractMavenProcessFactory.getJava",,,,2,5,0
Protected Method,"hudson.maven.AbstractMavenProcessFactory.getLauncher",,,,1,3,0
Public Method,"hudson.maven.AbstractMavenProcessFactory.getMavenInstallation",,,,2,5,0
Protected Method,"hudson.maven.AbstractMavenProcessFactory.getMavenModuleSet",,,,1,3,0
Public Method,"hudson.maven.AbstractMavenProcessFactory.getMavenOpts",,,,7,19,2
Public Method,"hudson.maven.AbstractMavenProcessFactory.newProcess",,,,9,40,9
Public Abstract Generic Class,"hudson.maven.AbstractMavenProject",7,0,0,3,88,51
Protected Constructor,"hudson.maven.AbstractMavenProject.AbstractMavenProject",,,,1,3,0
Protected Static Class,"hudson.maven.AbstractMavenProject.MavenModuleDependency",14,0,0,22,72,38
Public Constructor,"hudson.maven.AbstractMavenProject.MavenModuleDependency.MavenModuleDependency",,,,1,4,0
Private Method,"hudson.maven.AbstractMavenProject.MavenModuleDependency.areUpstreamsBuilding",,,,3,10,17
Private Method,"hudson.maven.AbstractMavenProject.MavenModuleDependency.inDownstreamProjects",,,,4,12,0
Public Method,"hudson.maven.AbstractMavenProject.MavenModuleDependency.shouldTriggerBuild",,,,14,44,21
TypeVariable,"hudson.maven.AbstractMavenProject.P",1,0,0,0,0,0
TypeVariable,"hudson.maven.AbstractMavenProject.R",1,0,0,0,0,0
Protected Abstract Method,"hudson.maven.AbstractMavenProject.addTransientActionsFromBuild",,,,0,1,4
Protected Method,"hudson.maven.AbstractMavenProject.createTransientActions",,,,2,9,4
Public Interface,"hudson.maven.AggregatableAction",3,0,0,0,4,12
Abstract Method,"hudson.maven.AggregatableAction.createAggregatedAction",,,,0,2,12
Public Final Class,"hudson.maven.EmbedderLoggerImpl",7,71,0,10,33,6
Public Constructor,"hudson.maven.EmbedderLoggerImpl.EmbedderLoggerImpl",,,,1,4,0
Public Method,"hudson.maven.EmbedderLoggerImpl.debug",,,,1,3,0
Public Method,"hudson.maven.EmbedderLoggerImpl.error",,,,1,3,0
Public Method,"hudson.maven.EmbedderLoggerImpl.fatalError",,,,1,3,0
Public Method,"hudson.maven.EmbedderLoggerImpl.info",,,,1,3,0
Private Method,"hudson.maven.EmbedderLoggerImpl.print",,,,4,11,0
Public Method,"hudson.maven.EmbedderLoggerImpl.warn",,,,1,3,0
Public Final Class,"hudson.maven.ExecutedMojo",22,55,55,16,85,58
Public Static Final Class,"hudson.maven.ExecutedMojo.Cache",7,0,0,3,10,6
Public Constructor,"hudson.maven.ExecutedMojo.Cache.Cache",,,,2,4,0
Public Method,"hudson.maven.ExecutedMojo.Cache.get",,,,1,3,0
Public Constructor,"hudson.maven.ExecutedMojo.ExecutedMojo",,,,3,19,2
Private Constructor,"hudson.maven.ExecutedMojo.ExecutedMojo",,,,1,9,3
Public Method,"hudson.maven.ExecutedMojo.getDurationString",,,,1,3,3
Public Method,"hudson.maven.ExecutedMojo.getGoalLink",,,,2,5,1
Private Method,"hudson.maven.ExecutedMojo.getMojoClass",,,,2,7,1
Private Method,"hudson.maven.ExecutedMojo.getMojoClassForMaven2",,,,1,7,0
Public Method,"hudson.maven.ExecutedMojo.getPluginLink",,,,3,8,5
Public Method,"hudson.maven.ExecutedMojo.getReadableExecutionId",,,,2,4,0
Method,"hudson.maven.ExecutedMojo.readResolve",,,,1,3,6
Public Class,"hudson.maven.FilteredChangeLogSet",5,37,37,5,24,6
Constructor,"hudson.maven.FilteredChangeLogSet.FilteredChangeLogSet",,,,2,11,1
Public Method,"hudson.maven.FilteredChangeLogSet.getLogs",,,,1,3,0
Public Method,"hudson.maven.FilteredChangeLogSet.isEmptySet",,,,1,3,0
Public Method,"hudson.maven.FilteredChangeLogSet.iterator",,,,1,3,0
Public Class,"hudson.maven.Maven3Builder",39,68,68,24,453,104
Private Class,"hudson.maven.Maven3Builder.FilterImpl",7,33,33,3,16,0
Public Constructor,"hudson.maven.Maven3Builder.FilterImpl.FilterImpl",,,,1,4,0
Public Method,"hudson.maven.Maven3Builder.FilterImpl.executeAsync",,,,1,4,0
Public Method,"hudson.maven.Maven3Builder.FilterImpl.getMavenBuildInformation",,,,1,4,0
Protected Constructor,"hudson.maven.Maven3Builder.Maven3Builder",,,,2,9,0
Private Static Final Class,"hudson.maven.Maven3Builder.MavenExecutionListener",35,79,54,77,337,79
Public Constructor,"hudson.maven.Maven3Builder.MavenExecutionListener.MavenExecutionListener",,,,2,11,0
Public Method,"hudson.maven.Maven3Builder.MavenExecutionListener.forkFailed",,,,1,7,3
Public Method,"hudson.maven.Maven3Builder.MavenExecutionListener.forkStarted",,,,1,8,3
Public Method,"hudson.maven.Maven3Builder.MavenExecutionListener.forkSucceeded",,,,1,7,3
Public Method,"hudson.maven.Maven3Builder.MavenExecutionListener.forkedProjectFailed",,,,1,6,3
Public Method,"hudson.maven.Maven3Builder.MavenExecutionListener.forkedProjectStarted",,,,1,6,3
