Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMavenBuild.java",,,,29,99,64
File,"AbstractMavenBuilder.java",,,,6,37,39
File,"AbstractMavenProject.java",,,,3,26,36
File,"AggregatableAction.java",,,,0,8,44
File,"BuildInfoRecorder.java",,,,7,63,28
File,"EmbedderLoggerImpl.java",,,,10,40,29
File,"ExecutedMojo.java",,,,16,86,79
File,"FilteredChangeLogSet.java",,,,5,30,29
File,"Maven3Builder.java",,,,36,170,99
File,"Maven3ProcessFactory.java",,,,45,241,106
File,"MavenAbstractArtifactRecord.java",,,,30,163,74
File,"MavenAggregatedArtifactRecord.java",,,,10,45,28
File,"MavenAggregatedReport.java",,,,0,10,63
File,"MavenArtifact.java",,,,21,120,125
File,"MavenArtifactArchiver.java",,,,19,110,52
File,"MavenArtifactRecord.java",,,,14,83,50
File,"MavenBuild.java",,,,101,394,114
File,"MavenBuildProxy.java",,,,18,93,138
File,"MavenBuildProxy2.java",,,,4,20,48
File,"MavenBuilder.java",,,,36,213,109
File,"MavenComputerListener.java",,,,3,49,35
File,"MavenFingerprinter.java",,,,21,106,57
File,"MavenJavadocArchiver.java",,,,14,85,32
File,"MavenMailer.java",,,,5,41,31
File,"MavenModule.java",,,,68,280,148
File,"MavenModuleSet.java",,,,142,510,222
File,"MavenModuleSetBuild.java",,,,156,696,200
File,"MavenProbeAction.java",,,,12,53,48
File,"MavenProcessFactory.java",,,,51,279,122
File,"MavenProjectActionBuilder.java",,,,0,7,49
File,"MavenRedeployer.java",,,,7,40,35
File,"MavenReportInfo.java",,,,1,13,40
File,"MavenReporter.java",,,,13,57,245
File,"MavenReporterDescriptor.java",,,,7,37,62
File,"MavenReporters.java",,,,3,16,36
File,"MavenSiteArchiver.java",,,,20,111,48
File,"MavenTestDataPublisher.java",,,,12,75,27
File,"MavenUtil.java",,,,40,183,99
File,"MavenVersionCallable.java",,,,3,26,28
File,"ModuleDependency.java",,,,15,63,51
File,"ModuleName.java",,,,19,68,40
File,"MojoInfo.java",,,,16,93,114
File,"PluginImpl.java",,,,1,13,27
File,"PluginName.java",,,,8,36,32
File,"PomInfo.java",,,,22,87,81
File,"ProcessCache.java",,,,24,173,75
File,"RedeployPublisher.java",,,,21,114,54
File,"ReportAction.java",,,,6,32,31
File,"ReportCollector.java",,,,11,64,32
File,"SplittableBuildListener.java",,,,16,83,41
File,"SurefireAggregatedReport.java",,,,10,54,31
File,"SurefireArchiver.java",,,,35,150,44
File,"SurefireReport.java",,,,2,20,27
File,"TransferListenerImpl.java",,,,8,40,38
Package,"hudson",,,,0,0,0
Package,"hudson.maven",,,,977,4558,2946
