Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMavenBuild.java",,,,9,49,40
File,"AbstractMavenBuilder.java",,,,37,155,80
File,"AbstractMavenJavadocArchiver.java",,,,19,106,39
File,"AbstractMavenProcessFactory.java",,,,48,268,109
File,"AbstractMavenProject.java",,,,25,106,74
File,"AggregatableAction.java",,,,0,8,44
File,"BuildInfoRecorder.java",,,,7,67,29
File,"DefaultLocalRepositoryLocator.java",,,,3,21,5
File,"EmbedderLoggerImpl.java",,,,10,40,29
File,"ExecutedMojo.java",,,,26,126,83
File,"ExecutedMojoTest.java",,,,4,52,8
File,"ExecutionEventLogger.java",,,,43,259,35
File,"FilteredChangeLogSet.java",,,,5,30,29
File,"LocalRepositoryLocator.java",,,,1,12,14
File,"LocalRepositoryLocatorDescriptor.java",,,,0,4,5
File,"Maven2Builder.java",,,,31,129,36
File,"Maven3Builder.java",,,,83,368,107
File,"Maven3ProcessFactory.java",,,,13,69,44
File,"MavenAbstractArtifactRecord.java",,,,31,182,74
File,"MavenAggregatedArtifactRecord.java",,,,12,55,31
File,"MavenAggregatedReport.java",,,,0,10,63
File,"MavenArgumentInterceptorAction.java",,,,0,7,67
File,"MavenArtifact.java",,,,23,141,129
File,"MavenArtifactArchiver.java",,,,23,110,54
File,"MavenArtifactRecord.java",,,,21,124,72
File,"MavenBuild.java",,,,130,537,140
File,"MavenBuildInformation.java",,,,6,33,40
File,"MavenBuildProxy.java",,,,19,97,141
File,"MavenBuildProxy2.java",,,,4,21,53
File,"MavenBuilder.java",,,,39,230,108
File,"MavenComputerListener.java",,,,3,49,36
File,"MavenEmbedderRequest.java",,,,29,130,67
File,"MavenFingerprinter.java",,,,29,158,68
File,"MavenJavadocArchiver.java",,,,6,38,29
File,"MavenMailer.java",,,,6,45,31
File,"MavenModule.java",,,,96,390,213
File,"MavenModuleSet.java",,,,194,774,371
File,"MavenModuleSetBuild.java",,,,212,966,259
File,"MavenModuleTest.java",,,,17,276,21
File,"MavenProbeAction.java",,,,11,47,49
File,"MavenProcessFactory.java",,,,16,81,54
File,"MavenProjectActionBuilder.java",,,,0,7,49
File,"MavenReportInfo.java",,,,1,14,40
File,"MavenReporter.java",,,,13,58,245
File,"MavenReporterDescriptor.java",,,,7,37,62
File,"MavenReporters.java",,,,3,16,36
File,"MavenSiteArchiver.java",,,,20,112,49
File,"MavenTestDataPublisher.java",,,,12,75,27
File,"MavenTestJavadocArchiver.java",,,,6,38,29
File,"MavenUtil.java",,,,47,222,88
File,"MavenVersionCallable.java",,,,5,36,29
File,"MockHelper.java",,,,1,11,0
File,"ModuleDependency.java",,,,34,138,94
File,"ModuleName.java",,,,20,72,40
File,"MojoInfo.java",,,,23,136,157
File,"MojoInfoBuilder.java",,,,10,71,0
File,"NeedsFullBuildAction.java",,,,3,13,6
File,"PerExecutorLocalRepositoryLocator.java",,,,3,21,3
File,"PerJobLocalRepositoryLocator.java",,,,6,33,5
File,"PluginImpl.java",,,,2,20,32
File,"PluginName.java",,,,8,36,32
File,"PomInfo.java",,,,31,126,98
File,"ProcessCache.java",,,,24,173,75
File,"RedeployPublisher.java",,,,74,368,85
File,"ReportAction.java",,,,6,32,31
File,"ReportCollector.java",,,,11,64,32
File,"SplittableBuildListener.java",,,,25,142,69
File,"SurefireAggregatedReport.java",,,,10,54,31
File,"SurefireArchiver.java",,,,45,226,76
File,"SurefireArchiverDetectTestMojosTest.java",,,,17,145,7
File,"SurefireArchiverFilterReportsFileTest.java",,,,6,73,3
File,"SurefireArchiverUnitTest.java",,,,40,263,7
File,"SurefireReport.java",,,,2,20,27
File,"TestFailureDetector.java",,,,0,6,11
File,"TestMojo.java",,,,46,194,26
File,"TestMojoTest.java",,,,23,179,2
File,"TransferListenerImpl.java",,,,8,40,38
File,"UnbuiltModuleAction.java",,,,6,26,17
Package,"hudson",,,,0,0,0
Package,"hudson.maven",,,,1423,6874,3684
Public Abstract Generic Class,"hudson.maven.AbstractMavenBuild",14,100,100,9,38,17
Protected Constructor,"hudson.maven.AbstractMavenBuild.AbstractMavenBuild",,,,1,3,0
