Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbortedMavenBuildTest.java",,,,2,30,0
File,"AbstractMaven3xBuildTest.java",,,,24,263,32
File,"AbstractMavenBuild.java",,,,11,59,37
File,"AbstractMavenBuilder.java",,,,37,156,80
File,"AbstractMavenJavadocArchiver.java",,,,19,106,39
File,"AbstractMavenProcessFactory.java",,,,74,400,164
File,"AbstractMavenProject.java",,,,34,153,88
File,"AbstractMavenTestCase.java",,,,5,36,15
File,"AggregatableAction.java",,,,0,8,44
File,"AggregatingClassLoader.java",,,,9,41,10
File,"BuildInfoRecorder.java",,,,7,68,29
File,"CaseResultTest.java",,,,1,31,26
File,"DefaultLocalRepositoryLocator.java",,,,3,21,5
File,"ExecutedMojo.java",,,,26,125,83
File,"ExecutedMojoTest.java",,,,4,52,8
File,"ExecutionEventLogger.java",,,,33,221,37
File,"ExtractResourceWithChangesSCM2.java",,,,4,19,24
File,"FilteredChangeLogSet.java",,,,5,30,29
File,"LocalRepositoryLocator.java",,,,1,12,14
File,"LocalRepositoryLocatorDescriptor.java",,,,0,4,5
File,"Maven2Builder.java",,,,31,129,36
File,"Maven31ProcessFactory.java",,,,10,56,29
File,"Maven32ProcessFactory.java",,,,10,56,29
File,"Maven33ProcessFactory.java",,,,10,56,29
File,"Maven35ProcessFactory.java",,,,10,56,29
File,"Maven35xBuildTest.java",,,,1,12,22
File,"Maven36xBuildTest.java",,,,3,24,22
File,"Maven3Builder.java",,,,116,498,112
File,"Maven3ConsoleFormatter.java",,,,4,29,32
File,"Maven3FailureLogger.java",,,,21,120,14
File,"Maven3ProcessFactory.java",,,,15,87,45
File,"MavenAbstractArtifactRecord.java",,,,32,182,74
File,"MavenAggregatedArtifactRecord.java",,,,12,55,31
File,"MavenAggregatedReport.java",,,,0,10,63
File,"MavenArgumentInterceptorAction.java",,,,0,7,69
File,"MavenArgumentInterceptorTest.java",,,,20,112,32
File,"MavenArtifact.java",,,,33,188,120
File,"MavenArtifactArchiver.java",,,,24,120,52
File,"MavenArtifactRecord.java",,,,16,125,68
File,"MavenBuild.java",,,,165,734,150
File,"MavenBuildInformation.java",,,,6,33,40
File,"MavenBuildProxy.java",,,,21,108,150
File,"MavenBuildProxy2.java",,,,4,21,53
File,"MavenBuildSurefireFailedTest.java",,,,7,71,6
File,"MavenBuildTest.java",,,,27,298,33
File,"MavenBuilder.java",,,,28,198,109
File,"MavenEmbedderRequest.java",,,,43,187,98
File,"MavenEnvironmentContributingActionFromBuilderTest.java",,,,10,87,18
File,"MavenEnvironmentContributingActionTest.java",,,,12,100,15
File,"MavenFingerprinter.java",,,,31,163,68
File,"MavenJavadocArchiver.java",,,,6,38,29
File,"MavenJavadocArchiverTest.java",,,,1,37,25
File,"MavenJenkinsRule.java",,,,5,34,15
File,"MavenMailer.java",,,,10,61,29
File,"MavenMailerTest.java",,,,13,230,44
File,"MavenModule.java",,,,112,465,235
File,"MavenModuleSet.java",,,,221,882,407
File,"MavenModuleSetBuild.java",,,,231,1099,259
File,"MavenModuleSetGlobalConfigurationTest.java",,,,1,20,4
File,"MavenModuleSetTest.java",,,,4,78,11
File,"MavenMultiLevelModuleTest.java",,,,8,61,18
File,"MavenMultiModuleLogRotatorCleanArtifactsTest.java",,,,4,81,20
File,"MavenMultiModuleTest.java",,,,71,424,86
File,"MavenMultiModuleTestIncremental.java",,,,7,53,4
