Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"OicSecurityRealm.java",,,,91,460,49
File,"OicSession.java",,,,12,70,59
File,"OicUserProperty.java",,,,10,47,0
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.oic",,,,113,577,108
Public Class,"org.jenkinsci.plugins.oic.OicSecurityRealm",50,90,90,50,416,26
Public Static Final Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl",6,0,0,22,77,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckAuthorizationServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientId",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientSecret",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckEndSessionUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckPostLogoutRedirectUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckScopes",,,,3,9,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckTokenServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckUserNameField",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.getDisplayName",,,,1,3,0
Public Constructor,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicSecurityRealm",,,,3,23,0
Static Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails",4,75,75,8,38,1
Constructor,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.OicUserDetails",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.getAuthorities",,,,1,5,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.getPassword",,,,1,4,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.getUsername",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.isAccountNonExpired",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.isAccountNonLocked",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.isCredentialsNonExpired",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicUserDetails.isEnabled",,,,1,4,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.buildOAuthRedirectUrl",,,,2,9,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.constructHttpTransport",,,,3,10,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents",,,,1,33,1
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1)",4,0,0,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1).authenticate",,,,2,5,0
