Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ConfigurationAsCodeTest.java",,,,4,58,3
File,"EscapeHatchCrumbExclusion.java",,,,2,21,6
File,"FieldTest.java",,,,2,62,0
File,"JenkinsAwareConnectionFactory.java",,,,4,22,7
File,"OicLogoutAction.java",,,,3,19,30
File,"OicSecurityRealm.java",,,,139,666,105
File,"OicSession.java",,,,12,70,61
File,"OicUserDetails.java",,,,8,41,1
File,"OicUserProperty.java",,,,11,57,0
File,"PluginTest.java",,,,15,291,14
File,"TestRealm.java",,,,5,55,2
File,"TokenResponse.java",,,,14,63,116
File,"TokenResponseTest.java",,,,3,56,6
File,"WellKnownOpenIDConfigurationResponse.java",,,,8,44,14
File,"WellKnownOpenIDConfigurationResponseTest.java",,,,2,82,10
Package,"com",,,,0,0,0
Package,"com.google",,,,0,0,0
Package,"com.google.api",,,,0,0,0
Package,"com.google.api.client",,,,0,0,0
Package,"com.google.api.client.auth",,,,0,0,0
Package,"com.google.api.client.auth.oauth2",,,,14,63,116
Public Class,"com.google.api.client.auth.oauth2.TokenResponse",6,83,83,14,57,103
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.clone",,,,1,4,0
Public Final Method,"com.google.api.client.auth.oauth2.TokenResponse.getAccessToken",,,,1,3,4
Public Final Method,"com.google.api.client.auth.oauth2.TokenResponse.getExpiresInSeconds",,,,3,6,4
Public Final Method,"com.google.api.client.auth.oauth2.TokenResponse.getRefreshToken",,,,1,3,5
Public Final Method,"com.google.api.client.auth.oauth2.TokenResponse.getScope",,,,1,3,4
Public Final Method,"com.google.api.client.auth.oauth2.TokenResponse.getTokenType",,,,1,3,5
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.set",,,,1,4,0
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.setAccessToken",,,,1,4,10
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.setExpiresInSeconds",,,,1,4,10
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.setRefreshToken",,,,1,4,11
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.setScope",,,,1,4,10
Public Method,"com.google.api.client.auth.oauth2.TokenResponse.setTokenType",,,,1,4,11
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.oic",,,,218,1544,259
Public Class,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest",13,50,50,4,42,3
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testConfig",,,,1,21,2
Public Method,"org.jenkinsci.plugins.oic.ConfigurationAsCodeTest.testExport",,,,3,16,1
Public Class,"org.jenkinsci.plugins.oic.EscapeHatchCrumbExclusion",8,0,0,2,13,6
Public Method,"org.jenkinsci.plugins.oic.EscapeHatchCrumbExclusion.process",,,,2,10,0
Public Class,"org.jenkinsci.plugins.oic.FieldTest",10,50,50,2,51,0
Public Method,"org.jenkinsci.plugins.oic.FieldTest.testNestedLookup",,,,1,22,0
Public Method,"org.jenkinsci.plugins.oic.FieldTest.testNormalLookupDueToDot",,,,1,23,0
Public Class,"org.jenkinsci.plugins.oic.JenkinsAwareConnectionFactory",8,0,0,4,14,7
Public Constructor,"org.jenkinsci.plugins.oic.JenkinsAwareConnectionFactory.JenkinsAwareConnectionFactory",,,,1,1,0
Public Method,"org.jenkinsci.plugins.oic.JenkinsAwareConnectionFactory.openConnection",,,,3,11,0
Public Class,"org.jenkinsci.plugins.oic.OicLogoutAction",3,0,0,3,16,7
Public Method,"org.jenkinsci.plugins.oic.OicLogoutAction.getDisplayName",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicLogoutAction.getIconFileName",,,,1,4,1
Public Method,"org.jenkinsci.plugins.oic.OicLogoutAction.getUrlName",,,,1,4,0
Public Class,"org.jenkinsci.plugins.oic.OicSecurityRealm",70,93,93,96,610,82
Public Static Final Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl",20,0,0,30,111,2
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckAuthorizationServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientId",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientSecret",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckEndSessionEndpoint",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckPostLogoutRedirectUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckScopes",,,,3,9,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckTokenServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckUserNameField",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckWellKnownOpenIDConfigurationUrl",,,,6,24,2
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.getDisplayName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.isAuto",,,,1,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.isManual",,,,1,4,0
Public Constructor,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicSecurityRealm",,,,5,46,2
Enum Type,"org.jenkinsci.plugins.oic.OicSecurityRealm.PlaceHolder",1,,,0,3,0
Public Implicit Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.PlaceHolder.valueOf",,,,0,,
Public Implicit Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.PlaceHolder.values",,,,0,,
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.buildOAuthRedirectUrl",,,,2,9,0
Private Static Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.constructHttpTransport",,,,3,11,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.containsField",,,,1,3,6
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents",,,,1,37,1
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1)",4,0,0,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1).authenticate",,,,2,5,0
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_2)",14,0,0,4,25,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_2).loadUserByUsername",,,,4,23,1
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.determineAuthorities",,,,6,30,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.determineRedirectTarget",,,,3,12,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin",,,,1,52,7
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin.(Anon_3)",13,0,0,6,34,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin.(Anon_3).onSuccess",,,,6,33,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doEscapeHatch",,,,5,28,1
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doFinishLogin",,,,2,8,5
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doLogout",,,,2,8,1
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.failedCheckOfTokenField",,,,3,10,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getAuthenticationGatewayUrl",,,,1,4,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getAuthorizationServerUrl",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getAutomanualconfigure",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getClientId",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getClientSecret",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getEmailFieldName",,,,1,3,0
