Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"OicSecurityRealm.java",,,,52,268,44
File,"OicSession.java",,,,9,57,53
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.oic",,,,61,325,97
Public Class,"org.jenkinsci.plugins.oic.OicSecurityRealm",30,85,85,30,223,21
Public Static Final Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl",6,0,0,16,55,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckAuthorizationServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientId",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckClientSecret",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckScopes",,,,3,9,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckTokenServerUrl",,,,3,11,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.doCheckUserNameField",,,,2,6,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.DescriptorImpl.getDisplayName",,,,1,3,0
Public Constructor,"org.jenkinsci.plugins.oic.OicSecurityRealm.OicSecurityRealm",,,,3,13,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.buildOAuthRedirectUrl",,,,2,9,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents",,,,1,12,7
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1)",4,0,0,2,7,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.createSecurityComponents.(Anon_1).authenticate",,,,2,5,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.determineRedirectTarget",,,,3,12,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin",,,,1,40,3
Anonymous Class,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin.(Anon_2)",11,0,0,4,22,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doCommenceLogin.(Anon_2).onSuccess",,,,4,21,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.doFinishLogin",,,,1,3,3
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.failedCheckOfTokenField",,,,3,10,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getAuthorizationServerUrl",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getClientId",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getClientSecret",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getEmailFieldName",,,,1,3,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getField",,,,2,7,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getFullNameFieldName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getLoginUrl",,,,1,4,3
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getScopes",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getTokenFieldToCheckKey",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getTokenFieldToCheckValue",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getTokenServerUrl",,,,1,3,0
Public Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.getUserNameField",,,,1,3,0
Private Method,"org.jenkinsci.plugins.oic.OicSecurityRealm.loginAndSetUserData",,,,3,14,0
Abstract Class,"org.jenkinsci.plugins.oic.OicSession",16,60,60,9,43,30
Constructor,"org.jenkinsci.plugins.oic.OicSession.OicSession",,,,1,5,0
Public Method,"org.jenkinsci.plugins.oic.OicSession.doCommenceLogin",,,,1,6,4
Public Method,"org.jenkinsci.plugins.oic.OicSession.doFinishLogin",,,,5,18,3
Public Static Method,"org.jenkinsci.plugins.oic.OicSession.getCurrent",,,,1,3,3
Protected Method,"org.jenkinsci.plugins.oic.OicSession.getFrom",,,,1,3,5
Protected Abstract Method,"org.jenkinsci.plugins.oic.OicSession.onSuccess",,,,0,1,0
