Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractCellEditor.java",,,,13,36,64
File,"AbstractCommunicationFrame.java",,,,0,8,10
File,"AbstractDicomLoader.java",,,,3,14,9
File,"AbstractThumbnailViewGui.java",,,,1,7,10
File,"AbstractTreeTableModel.java",,,,28,94,110
File,"AccountingBillIoOperationRepository.java",,,,0,28,7
File,"AccountingBillItemsIoOperationRepository.java",,,,0,20,0
File,"AccountingBillPaymentIoOperationRepository.java",,,,0,34,0
File,"AccountingIoOperations.java",,,,34,195,141
File,"AccountingPatientMergedEventListener.java",,,,2,22,0
File,"Admission.java",,,,72,439,79
File,"AdmissionBrowserManager.java",,,,59,264,120
File,"AdmissionIoOperationRepository.java",,,,0,25,0
File,"AdmissionIoOperationRepositoryCustom.java",,,,3,31,14
File,"AdmissionIoOperationRepositoryImpl.java",,,,26,186,0
File,"AdmissionIoOperations.java",,,,24,182,106
File,"AdmissionPatientMergedEventListener.java",,,,2,20,0
File,"AdmissionType.java",,,,12,80,18
File,"AdmissionTypeBrowserManager.java",,,,14,65,35
File,"AdmissionTypeIoOperation.java",,,,5,50,32
File,"AdmissionTypeIoOperationRepository.java",,,,0,9,0
File,"AdmittedPatient.java",,,,5,22,0
File,"AgeType.java",,,,17,103,17
File,"AgeTypeBrowserManager.java",,,,11,52,28
File,"AgeTypeIoOperationRepository.java",,,,0,10,0
File,"AgeTypeIoOperations.java",,,,3,38,21
File,"Auditable.java",,,,10,62,9
File,"AuditorAwareImpl.java",,,,1,9,9
File,"BCrypt.java",,,,50,546,165
File,"Bill.java",,,,34,203,13
File,"BillBrowserManager.java",,,,40,171,168
File,"BillItems.java",,,,26,147,26
File,"BillPayments.java",,,,20,119,13
File,"CSV2SQL.java",,,,22,196,67
File,"ComplexCellRender.java",,,,4,47,3
File,"Context.java",,,,2,13,11
File,"DateConverters.java",,,,14,46,34
File,"DateTextField.java",,,,34,150,56
File,"DbJpaUtil.java",,,,71,396,89
File,"DbQuery.java",,,,10,54,61
File,"DbQueryLogger.java",,,,47,175,88
File,"DbSingleConn.java",,,,12,84,10
File,"DbSingleJpaConn.java",,,,7,42,3
File,"DefaultSorter.java",,,,4,17,9
File,"DeliveryResultIoOperationRepository.java",,,,0,9,0
File,"DeliveryResultType.java",,,,11,61,17
File,"DeliveryResultTypeBrowserManager.java",,,,12,68,43
File,"DeliveryResultTypeIoOperation.java",,,,5,49,32
File,"DeliveryType.java",,,,11,74,17
File,"DeliveryTypeBrowserManager.java",,,,12,59,43
File,"DeliveryTypeIoOperation.java",,,,5,49,32
File,"DeliveryTypeIoOperationRepository.java",,,,0,7,0
File,"DicomIoOperationRepository.java",,,,0,27,0
File,"DicomIoOperations.java",,,,12,92,82
File,"DicomManagerFactory.java",,,,10,63,14
File,"DicomManagerInterface.java",,,,0,13,68
File,"DicomType.java",,,,7,38,7
File,"DicomTypeBrowserManager.java",,,,13,69,6
File,"DicomTypeIoOperation.java",,,,5,49,34
File,"DicomTypeIoOperationRepository.java",,,,0,9,0
File,"DischargeType.java",,,,12,77,17
File,"DischargeTypeBrowserManager.java",,,,15,70,45
File,"DischargeTypeIoOperation.java",,,,5,49,34
File,"DischargeTypeIoOperationRepository.java",,,,0,9,0
File,"Disease.java",,,,21,129,22
File,"DiseaseBrowserManager.java",,,,26,101,122
File,"DiseaseIoOperationRepository.java",,,,0,45,0
File,"DiseaseIoOperations.java",,,,23,180,69
File,"DiseaseType.java",,,,12,79,20
File,"DiseaseTypeBrowserManager.java",,,,12,59,38
File,"DiseaseTypeIoOperation.java",,,,5,49,32
File,"DiseaseTypeIoOperationRepository.java",,,,0,9,0
File,"EntityManagerFactoryBean.java",,,,3,21,0
File,"Exam.java",,,,20,126,17
File,"ExamBrowsingManager.java",,,,13,69,68
File,"ExamIoOperationRepository.java",,,,0,10,0
File,"ExamIoOperations.java",,,,15,106,86
File,"ExamRow.java",,,,13,90,7
File,"ExamRowBrowsingManager.java",,,,9,51,42
File,"ExamRowIoOperationRepository.java",,,,0,15,0
File,"ExamRowIoOperations.java",,,,17,117,82
File,"ExamType.java",,,,11,74,17
File,"ExamTypeBrowserManager.java",,,,12,68,38
File,"ExamTypeIoOperation.java",,,,5,48,30
File,"ExamTypeIoOperationRepository.java",,,,0,9,0
File,"ExaminationBrowserManager.java",,,,49,200,39
File,"ExaminationIoOperationRepository.java",,,,0,16,0
File,"ExaminationOperations.java",,,,9,60,16
File,"ExaminationParameters.java",,,,8,135,48
File,"ExaminationPatientMergedEventListener.java",,,,2,22,0
File,"ExcelExporter.java",,,,80,502,99
File,"ExcelImporter.java",,,,3,21,1
File,"ExportUntranslatedProperties.java",,,,15,121,23
File,"FileDicom.java",,,,66,376,219
File,"FileSystemDicomManager.java",,,,72,432,127
File,"FileTools.java",,,,18,108,46
File,"GSMParameters.java",,,,6,51,10
File,"GenderPatientExamination.java",,,,5,22,23
File,"GeneralData.java",,,,9,178,31
File,"GroupMenu.java",,,,15,76,9
File,"GroupMenuIoOperationRepository.java",,,,0,15,0
File,"Hospital.java",,,,25,154,27
File,"HospitalBrowsingManager.java",,,,3,23,24
File,"HospitalIoOperationRepository.java",,,,0,9,0
File,"HospitalIoOperations.java",,,,6,42,30
File,"ImportTranslatedProperties.java",,,,10,71,29
File,"Interaction.java",,,,16,96,2
File,"JTreeTable.java",,,,8,61,83
File,"JasperReportResultDto.java",,,,7,31,0
