Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractCellEditor.java",,,,13,36,85
File,"AbstractCommunicationFrame.java",,,,0,8,27
File,"AbstractDicomLoader.java",,,,3,14,30
File,"AbstractThumbnailViewGui.java",,,,1,7,31
File,"AbstractTreeTableModel.java",,,,28,94,131
File,"AccountingBillIoOperationRepository.java",,,,0,28,28
File,"AccountingBillItemsIoOperationRepository.java",,,,0,20,21
File,"AccountingBillPaymentIoOperationRepository.java",,,,0,34,21
File,"AccountingIoOperations.java",,,,38,212,198
File,"AccountingPatientMergedEventListener.java",,,,2,22,21
File,"Admission.java",,,,72,439,100
File,"AdmissionBrowserManager.java",,,,59,264,141
File,"AdmissionIoOperationRepository.java",,,,0,25,21
File,"AdmissionIoOperationRepositoryCustom.java",,,,3,24,27
File,"AdmissionIoOperationRepositoryImpl.java",,,,10,86,21
File,"AdmissionIoOperations.java",,,,24,161,127
File,"AdmissionPatientMergedEventListener.java",,,,2,20,21
File,"AdmissionType.java",,,,12,80,39
File,"AdmissionTypeBrowserManager.java",,,,14,65,56
File,"AdmissionTypeIoOperation.java",,,,5,50,53
File,"AdmissionTypeIoOperationRepository.java",,,,0,9,21
File,"AdmittedPatient.java",,,,5,22,21
File,"AgeType.java",,,,17,103,38
File,"AgeTypeBrowserManager.java",,,,11,52,49
File,"AgeTypeIoOperationRepository.java",,,,0,10,21
File,"AgeTypeIoOperations.java",,,,3,38,42
File,"Auditable.java",,,,10,62,24
File,"AuditorAwareImpl.java",,,,1,9,24
File,"BCrypt.java",,,,50,546,186
File,"Bill.java",,,,34,203,34
File,"BillBrowserManager.java",,,,40,174,190
File,"BillItems.java",,,,26,147,47
File,"BillPayments.java",,,,20,119,34
File,"CSV2SQL.java",,,,22,196,88
File,"ComplexCellRender.java",,,,4,47,24
File,"Context.java",,,,2,13,28
File,"DateConverters.java",,,,14,46,55
File,"DateTextField.java",,,,34,150,77
File,"DbJpaUtil.java",,,,71,396,110
File,"DbQuery.java",,,,10,55,82
File,"DbQueryLogger.java",,,,47,175,109
File,"DbSingleConn.java",,,,12,84,31
File,"DbSingleJpaConn.java",,,,7,42,24
File,"DefaultSorter.java",,,,4,17,30
File,"DeliveryResultIoOperationRepository.java",,,,0,9,21
File,"DeliveryResultType.java",,,,11,61,38
File,"DeliveryResultTypeBrowserManager.java",,,,12,68,64
File,"DeliveryResultTypeIoOperation.java",,,,5,49,53
File,"DeliveryType.java",,,,11,74,38
File,"DeliveryTypeBrowserManager.java",,,,12,59,64
File,"DeliveryTypeIoOperation.java",,,,5,49,53
File,"DeliveryTypeIoOperationRepository.java",,,,0,7,21
File,"DicomIoOperationRepository.java",,,,0,27,21
File,"DicomIoOperations.java",,,,12,92,103
File,"DicomManagerFactory.java",,,,10,63,35
File,"DicomManagerInterface.java",,,,0,13,89
File,"DicomType.java",,,,7,38,24
File,"DicomTypeBrowserManager.java",,,,13,69,27
File,"DicomTypeIoOperation.java",,,,5,49,55
File,"DicomTypeIoOperationRepository.java",,,,0,9,21
File,"DischargeType.java",,,,12,77,37
File,"DischargeTypeBrowserManager.java",,,,15,70,66
File,"DischargeTypeIoOperation.java",,,,5,49,55
File,"DischargeTypeIoOperationRepository.java",,,,0,9,21
File,"Disease.java",,,,21,129,43
File,"DiseaseBrowserManager.java",,,,26,101,143
File,"DiseaseIoOperationRepository.java",,,,0,45,21
File,"DiseaseIoOperations.java",,,,23,180,90
File,"DiseaseType.java",,,,12,79,41
File,"DiseaseTypeBrowserManager.java",,,,12,59,59
File,"DiseaseTypeIoOperation.java",,,,5,49,53
File,"DiseaseTypeIoOperationRepository.java",,,,0,9,21
File,"EmailValidator.java",,,,2,15,23
File,"EntityManagerFactoryBean.java",,,,3,21,21
File,"Exam.java",,,,20,126,38
File,"ExamBrowsingManager.java",,,,14,72,95
File,"ExamIoOperationRepository.java",,,,0,11,21
File,"ExamIoOperations.java",,,,17,110,113
File,"ExamRow.java",,,,13,90,28
File,"ExamRowBrowsingManager.java",,,,9,51,63
File,"ExamRowIoOperationRepository.java",,,,0,15,21
File,"ExamRowIoOperations.java",,,,17,117,103
File,"ExamType.java",,,,11,74,38
File,"ExamTypeBrowserManager.java",,,,12,68,59
File,"ExamTypeIoOperation.java",,,,5,48,51
File,"ExamTypeIoOperationRepository.java",,,,0,9,21
File,"ExaminationBrowserManager.java",,,,49,200,60
File,"ExaminationIoOperationRepository.java",,,,0,16,21
File,"ExaminationOperations.java",,,,9,60,33
File,"ExaminationParameters.java",,,,8,135,69
File,"ExaminationPatientMergedEventListener.java",,,,2,22,21
File,"ExcelExporter.java",,,,81,508,120
File,"ExcelImporter.java",,,,3,21,22
File,"ExportUntranslatedProperties.java",,,,15,121,43
File,"FileDicom.java",,,,66,376,240
File,"FileSystemDicomManager.java",,,,72,431,149
File,"FileTools.java",,,,18,108,63
File,"GSMParameters.java",,,,6,51,31
File,"GenderPatientExamination.java",,,,5,22,40
File,"GeneralData.java",,,,9,176,51
File,"GroupMenu.java",,,,12,75,30
File,"GroupMenuIoOperationRepository.java",,,,0,15,21
File,"Hospital.java",,,,25,154,48
