Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractCellEditor.java",,,,13,36,64
File,"AbstractTreeTableModel.java",,,,28,94,110
File,"AccountingIoOperations.java",,,,42,447,102
File,"Admission.java",,,,72,436,78
File,"AdmissionBrowser.java",,,,296,1724,195
File,"AdmissionBrowserManager.java",,,,30,138,70
File,"AdmissionIoOperations.java",,,,35,318,108
File,"AdmissionType.java",,,,12,67,18
File,"AdmissionTypeBrowser.java",,,,37,215,33
File,"AdmissionTypeBrowserEdit.java",,,,47,245,89
File,"AdmissionTypeBrowserManager.java",,,,10,50,24
File,"AdmissionTypeIoOperation.java",,,,5,46,32
File,"AdmissionTypeIoOperationRepository.java",,,,0,7,0
File,"AdmittedPatient.java",,,,5,22,0
File,"AdmittedPatientBrowser.java",,,,190,873,102
File,"AgeType.java",,,,17,90,17
File,"AgeTypeBrowser.java",,,,40,194,29
File,"AgeTypeBrowserManager.java",,,,10,48,19
File,"AgeTypeIoOperationRepository.java",,,,0,8,0
File,"AgeTypeIoOperations.java",,,,3,37,21
File,"AllTests.java",,,,0,21,25
File,"BCrypt.java",,,,50,543,165
File,"Bill.java",,,,34,190,13
File,"BillBrowser.java",,,,192,1054,128
File,"BillBrowserManager.java",,,,38,155,85
File,"BillItems.java",,,,21,115,12
File,"BillPayments.java",,,,20,106,13
File,"BottomPanel.java",,,,17,154,11
File,"BusyState.java",,,,3,12,16
File,"CSV2SQL.java",,,,2,30,11
File,"ChatMessages.java",,,,10,104,8
File,"ChatPanel.java",,,,10,69,3
File,"ChatTab.java",,,,8,73,7
File,"CommunicationFrame.java",,,,54,351,28
File,"ComplexCellRender.java",,,,4,47,3
File,"Cropping.java",,,,32,195,18
File,"CustomJDateChooser.java",,,,11,41,50
File,"DateTextField.java",,,,34,150,56
File,"DateTextField.java",,,,39,174,58
File,"DateTextField.java",,,,45,183,59
File,"DbJpaUtil.java",,,,65,356,85
File,"DbQuery.java",,,,10,50,61
File,"DbQueryLogger.java",,,,48,186,92
File,"DbSingleConn.java",,,,12,82,10
File,"DeliveryResultIoOperationRepository.java",,,,0,7,0
File,"DeliveryResultType.java",,,,11,61,17
File,"DeliveryResultTypeBrowser.java",,,,37,214,33
File,"DeliveryResultTypeBrowserEdit.java",,,,47,245,88
File,"DeliveryResultTypeBrowserManager.java",,,,10,50,32
File,"DeliveryResultTypeIoOperation.java",,,,5,44,32
File,"DeliveryType.java",,,,11,61,17
File,"DeliveryTypeBrowser.java",,,,37,214,33
File,"DeliveryTypeBrowserEdit.java",,,,47,245,88
File,"DeliveryTypeBrowserManager.java",,,,10,50,32
File,"DeliveryTypeIoOperation.java",,,,5,44,32
File,"DeliveryTypeIoOperationRepository.java",,,,0,5,0
