Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractCellEditor.java",,,,13,43,81
File,"AbstractCommunicationFrame.java",,,,0,8,24
File,"AbstractDicomLoader.java",,,,3,14,27
File,"AbstractThumbnailViewGui.java",,,,1,7,27
File,"AbstractTreeTableModel.java",,,,28,103,128
File,"AccountingBillIoOperationRepository.java",,,,0,30,29
File,"AccountingBillItemsIoOperationRepository.java",,,,0,20,21
File,"AccountingBillPaymentIoOperationRepository.java",,,,0,34,21
File,"AccountingIoOperations.java",,,,34,139,199
File,"AccountingPatientMergedEventListener.java",,,,2,22,21
File,"Admission.java",,,,72,396,103
File,"AdmissionBrowserManager.java",,,,62,298,156
File,"AdmissionIoOperationRepository.java",,,,0,24,21
File,"AdmissionIoOperationRepositoryCustom.java",,,,3,25,27
File,"AdmissionIoOperationRepositoryImpl.java",,,,16,105,23
File,"AdmissionIoOperations.java",,,,24,133,155
File,"AdmissionPatientMergedEventListener.java",,,,2,20,21
File,"AdmissionType.java",,,,12,75,34
File,"AdmissionTypeBrowserManager.java",,,,12,64,62
File,"AdmissionTypeIoOperation.java",,,,5,32,53
File,"AdmissionTypeIoOperationRepository.java",,,,0,9,21
File,"AdmittedPatient.java",,,,5,22,21
File,"AgeType.java",,,,17,99,34
File,"AgeTypeBrowserManager.java",,,,11,55,54
File,"AgeTypeIoOperationRepository.java",,,,0,10,21
File,"AgeTypeIoOperations.java",,,,3,26,41
File,"Auditable.java",,,,10,58,24
File,"AuditorAwareImpl.java",,,,1,10,24
File,"BCrypt.java",,,,49,542,183
File,"Bill.java",,,,34,201,32
File,"BillBrowserManager.java",,,,40,168,188
File,"BillItems.java",,,,26,143,45
File,"BillPayments.java",,,,18,110,31
File,"ComplexCellRender.java",,,,4,44,21
File,"ConfigurationProperties.java",,,,17,80,85
File,"Context.java",,,,2,13,27
File,"CustomCommonDecoder.java",,,,3,23,21
File,"CustomCommonEncoder.java",,,,2,16,21
File,"DateConverters.java",,,,10,42,54
File,"DbJpaUtil.java",,,,71,286,106
File,"DbQueryLogger.java",,,,47,160,98
File,"DbSingleConn.java",,,,11,69,27
File,"DbSingleJpaConn.java",,,,7,36,24
File,"DefaultSorter.java",,,,4,17,31
File,"DeliveryResultIoOperationRepository.java",,,,0,9,21
File,"DeliveryResultType.java",,,,10,59,34
File,"DeliveryResultTypeBrowserManager.java",,,,12,65,70
File,"DeliveryResultTypeIoOperation.java",,,,5,31,53
File,"DeliveryType.java",,,,10,68,34
File,"DeliveryTypeBrowserManager.java",,,,12,64,70
File,"DeliveryTypeIoOperation.java",,,,5,31,53
File,"DeliveryTypeIoOperationRepository.java",,,,0,7,21
File,"DicomIoOperationRepository.java",,,,0,27,21
File,"DicomIoOperations.java",,,,12,63,98
File,"DicomManagerFactory.java",,,,9,59,33
File,"DicomManagerInterface.java",,,,0,13,89
File,"DicomType.java",,,,7,38,24
File,"DicomTypeBrowserManager.java",,,,12,65,28
File,"DicomTypeIoOperation.java",,,,5,31,55
File,"DicomTypeIoOperationRepository.java",,,,0,9,21
File,"DischargeType.java",,,,12,73,34
File,"DischargeTypeBrowserManager.java",,,,15,76,68
File,"DischargeTypeIoOperation.java",,,,5,31,55
File,"DischargeTypeIoOperationRepository.java",,,,0,9,21
File,"Disease.java",,,,20,122,35
File,"DiseaseBrowserManager.java",,,,26,106,157
File,"DiseaseIoOperationRepository.java",,,,0,46,21
File,"DiseaseIoOperations.java",,,,22,103,86
File,"DiseaseType.java",,,,12,75,34
File,"DiseaseTypeBrowserManager.java",,,,12,64,65
File,"DiseaseTypeIoOperation.java",,,,5,31,53
File,"DiseaseTypeIoOperationRepository.java",,,,0,9,21
File,"EmailValidator.java",,,,2,18,24
File,"Exam.java",,,,19,118,30
File,"ExamBrowsingManager.java",,,,15,74,99
File,"ExamIoOperationRepository.java",,,,0,11,21
File,"ExamIoOperations.java",,,,16,70,115
File,"ExamRow.java",,,,12,82,29
File,"ExamRowBrowsingManager.java",,,,9,48,69
File,"ExamRowIoOperationRepository.java",,,,0,15,21
File,"ExamRowIoOperations.java",,,,16,72,103
File,"ExamType.java",,,,10,68,30
File,"ExamTypeBrowserManager.java",,,,12,65,63
File,"ExamTypeIoOperation.java",,,,5,31,51
File,"ExamTypeIoOperationRepository.java",,,,0,9,21
File,"ExaminationBrowserManager.java",,,,51,235,63
File,"ExaminationIoOperationRepository.java",,,,0,16,21
File,"ExaminationOperations.java",,,,10,59,33
File,"ExaminationParameters.java",,,,4,107,26
File,"ExaminationPatientMergedEventListener.java",,,,2,22,21
File,"ExcelExporter.java",,,,81,507,119
File,"FileDicom.java",,,,67,403,240
File,"FileSystemDicomManager.java",,,,74,456,136
File,"FileTools.java",,,,17,109,67
File,"GSMGatewayService.java",,,,26,151,45
File,"GSMParameters.java",,,,3,33,21
File,"GenderPatientExamination.java",,,,5,22,40
File,"GeneralData.java",,,,8,161,45
File,"GeneralDataTest.java",,,,1,11,21
File,"GroupMenu.java",,,,11,71,30
File,"GroupMenuIoOperationRepository.java",,,,0,15,21
File,"Hospital.java",,,,33,220,40
File,"HospitalBrowsingManager.java",,,,3,20,45
File,"HospitalIoOperationRepository.java",,,,0,9,21
File,"HospitalIoOperations.java",,,,6,32,51
File,"Interaction.java",,,,15,92,21
File,"JTreeTable.java",,,,7,60,97
File,"JasperReportResultDto.java",,,,7,31,21
File,"JasperReportsManager.java",,,,95,749,106
File,"JpaConfig.java",,,,1,13,24
File,"LabIoOperationRepository.java",,,,0,13,21
File,"LabIoOperations.java",,,,25,125,140
File,"LabManager.java",,,,63,268,169
File,"LabPatientMergedEventListener.java",,,,2,27,21
File,"LabRowIoOperationRepository.java",,,,0,10,21
File,"LabRowManager.java",,,,1,16,28
File,"Laboratory.java",,,,36,194,41
File,"LaboratoryForPrint.java",,,,10,44,21
File,"LaboratoryRow.java",,,,16,90,21
File,"Lot.java",,,,39,163,64
