Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESEncryptionUtils.java",,,,6,38,71
File,"ActivationStatusBlobInfo.java",,,,10,38,63
File,"BasicEciesDecryptor.java",,,,12,89,71
File,"BasicEciesEncryptor.java",,,,13,90,61
File,"BasicEciesEncryptorTest.java",,,,11,279,59
File,"ClientNonPersonalizedEncryptor.java",,,,4,33,23
File,"ClientTokenGenerator.java",,,,3,14,39
File,"CryptoProviderUtil.java",,,,0,14,70
File,"CryptoProviderUtilBouncyCastle.java",,,,10,61,70
File,"CryptoProviderUtilFactory.java",,,,4,19,25
File,"CryptoProviderUtilsSpongyCastle.java",,,,10,67,70
File,"DataDigest.java",,,,6,40,31
File,"ECPublicKeyFingerprint.java",,,,3,23,22
File,"EciesException.java",,,,3,11,20
File,"EciesPayload.java",,,,4,21,18
File,"EncryptedMessage.java",,,,12,45,21
File,"GenerateVectorDataTest.java",,,,30,384,59
File,"HMACHashUtilities.java",,,,4,33,32
File,"Hash.java",,,,6,28,47
File,"IdentifierGenerator.java",,,,4,22,54
File,"InvalidPowerAuthHttpHeaderException.java",,,,1,6,20
File,"KdfX9_63.java",,,,7,36,33
File,"KeyConversionUtilsTest.java",,,,4,57,34
File,"KeyGenerator.java",,,,17,101,94
File,"NonPersonalizedEncryptedMessage.java",,,,4,17,5
File,"NonPersonalizedEncryptor.java",,,,17,112,43
File,"PersonalizedEncryptedMessage.java",,,,2,10,5
File,"PowerAuthActivationTest.java",,,,7,130,51
File,"PowerAuthClientActivation.java",,,,17,128,115
File,"PowerAuthClientKeyFactory.java",,,,20,83,94
File,"PowerAuthClientSignature.java",,,,1,10,33
File,"PowerAuthClientVault.java",,,,6,53,46
File,"PowerAuthConfiguration.java",,,,3,18,44
File,"PowerAuthDerivedKey.java",,,,3,26,45
File,"PowerAuthHttpBody.java",,,,6,29,30
File,"PowerAuthHttpHeader.java",,,,5,30,45
File,"PowerAuthRequestCanonizationUtils.java",,,,12,58,37
File,"PowerAuthServerActivation.java",,,,20,143,152
File,"PowerAuthServerKeyFactory.java",,,,13,79,77
File,"PowerAuthServerSignature.java",,,,1,10,32
File,"PowerAuthServerVault.java",,,,2,33,30
File,"PowerAuthSignatureHttpHeader.java",,,,10,67,85
File,"PowerAuthSignatureHttpHeaderValidator.java",,,,12,44,31
File,"PowerAuthSignatureTest.java",,,,7,107,37
File,"PowerAuthSignatureTypes.java",,,,5,36,50
File,"PowerAuthTokenHttpHeader.java",,,,9,60,74
File,"PowerAuthTokenHttpHeaderValidator.java",,,,10,37,29
File,"ServerTokenGenerator.java",,,,2,11,28
File,"ServerTokenVerifier.java",,,,2,11,35
File,"SignatureUtils.java",,,,9,61,63
File,"TokenUtils.java",,,,10,45,71
File,"ValueTypeValidator.java",,,,9,47,59
File,"VaultTest.java",,,,3,58,35
Package,"io",,,,0,0,0
Package,"io.getlime",,,,0,0,0
Package,"io.getlime.security",,,,0,0,0
Package,"io.getlime.security.powerauth",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.activation",,,,7,130,51
Public Class,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest",19,0,0,7,113,36
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationGenerate",,,,1,16,5
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcess",,,,2,59,15
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testGenerateKeys",,,,1,8,3
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testPublicKeyFingerprint",,,,2,23,5
Package,"io.getlime.security.powerauth.crypto.client",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.client.activation",,,,17,128,115
Public Class,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation",25,77,77,17,108,100
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeApplicationSignature",,,,2,12,10
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeDevicePublicKeyFingerprint",,,,2,8,6
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.decryptServerPublicKey",,,,2,15,13
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.encryptDevicePublicKey",,,,2,15,12
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateActivationNonce",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateDeviceKeyPair",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.getStatusFromEncryptedBlob",,,,3,28,17
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyActivationDataSignature",,,,2,9,13
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyServerDataSignature",,,,2,12,12
Package,"io.getlime.security.powerauth.crypto.client.encryptor",,,,4,33,23
Public Class,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor",9,0,0,4,23,23
Public Constructor,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.ClientNonPersonalizedEncryptor",,,,2,14,8
Public Method,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.decrypt",,,,1,3,5
