Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,2,44,17
File,"AESEncryptionUtils.java",,,,8,47,72
File,"ActivationCodeGeneratorTest.java",,,,2,16,22
File,"ActivationStatusBlobInfo.java",,,,18,67,96
File,"ActivationStatusBlobInfoTest.java",,,,3,110,43
File,"ActivationVersion.java",,,,0,5,21
File,"Argon2Hash.java",,,,43,161,135
File,"Argon2Test.java",,,,6,61,21
Public Class,"CRC16",2,0,0,2,43,17
File,"CRC16.java",,,,6,59,52
File,"CRC16.java",,,,2,44,17
Public Static Method,"CRC16.main",,,,2,42,0
File,"CRC16Test.java",,,,3,33,16
File,"ClientNonPersonalizedEncryptor.java",,,,3,32,39
File,"ClientTokenGenerator.java",,,,4,19,46
File,"Counter.java",,,,0,5,31
File,"CryptoProviderException.java",,,,4,15,37
File,"DataDigest.java",,,,9,58,45
File,"ECPublicKeyFingerprint.java",,,,10,65,46
File,"EciesCryptogram.java",,,,6,31,56
File,"EciesDecryptor.java",,,,25,127,124
File,"EciesEncryptor.java",,,,21,124,106
File,"EciesEncryptorTest.java",,,,14,409,72
File,"EciesEnvelopeKey.java",,,,24,124,98
File,"EciesException.java",,,,3,11,21
File,"EciesFactory.java",,,,16,62,105
File,"EciesScope.java",,,,0,5,25
File,"EciesSharedInfo1.java",,,,2,18,27
File,"EncryptedMessage.java",,,,12,45,30
File,"GenerateVectorDataTest.java",,,,60,680,215
File,"GenericCryptoException.java",,,,4,15,37
File,"HMACHashUtilities.java",,,,6,42,37
File,"Hash.java",,,,5,29,47
File,"HashBasedCounter.java",,,,4,22,41
File,"HashBasedCounterUtils.java",,,,8,48,61
File,"HashBasedCounterUtilsTest.java",,,,4,43,35
File,"IdentifierGenerator.java",,,,26,167,173
File,"InvalidPowerAuthHttpHeaderException.java",,,,1,6,21
File,"KdfX9_63.java",,,,7,37,35
File,"KeyConversionUtilsTest.java",,,,4,54,35
File,"KeyConvertor.java",,,,10,66,77
File,"KeyDerivationUtils.java",,,,5,39,56
File,"KeyGenerator.java",,,,19,115,137
File,"NonPersonalizedEncryptedMessage.java",,,,4,17,13
File,"NonPersonalizedEncryptor.java",,,,18,111,60
File,"PasswordHash.java",,,,6,72,49
File,"PasswordHashTest.java",,,,3,39,19
File,"PersonalizedEncryptedMessage.java",,,,2,10,13
File,"PowerAuthActivationTest.java",,,,11,194,91
File,"PowerAuthClientActivation.java",,,,14,103,201
File,"PowerAuthClientKeyFactory.java",,,,21,88,118
File,"PowerAuthClientSignature.java",,,,1,13,37
File,"PowerAuthClientVault.java",,,,4,39,77
File,"PowerAuthConfiguration.java",,,,0,10,43
File,"PowerAuthDerivedKey.java",,,,3,27,46
File,"PowerAuthEncryptionHttpHeader.java",,,,9,48,84
File,"PowerAuthEncryptionHttpHeaderValidator.java",,,,7,26,27
File,"PowerAuthHttpBody.java",,,,5,24,30
File,"PowerAuthHttpBodyTest.java",,,,1,65,38
File,"PowerAuthHttpHeader.java",,,,5,30,46
File,"PowerAuthRecoveryCodeTest.java",,,,3,48,31
File,"PowerAuthRequestCanonizationUtils.java",,,,12,62,38
File,"PowerAuthServerActivation.java",,,,21,152,232
File,"PowerAuthServerKeyFactory.java",,,,15,88,115
File,"PowerAuthServerSignature.java",,,,1,13,36
File,"PowerAuthServerVault.java",,,,3,37,59
File,"PowerAuthSignatureFormat.java",,,,8,46,78
File,"PowerAuthSignatureFormatTest.java",,,,8,53,23
File,"PowerAuthSignatureHttpHeader.java",,,,10,67,86
File,"PowerAuthSignatureHttpHeaderValidator.java",,,,12,44,32
File,"PowerAuthSignatureTest.java",,,,19,279,78
File,"PowerAuthSignatureTypes.java",,,,6,37,51
File,"PowerAuthTokenHttpHeader.java",,,,9,60,75
File,"PowerAuthTokenHttpHeaderValidator.java",,,,10,37,30
File,"RecoveryInfo.java",,,,9,37,59
File,"RecoverySeed.java",,,,6,25,45
File,"ServerTokenGenerator.java",,,,3,15,33
File,"ServerTokenVerifier.java",,,,3,16,42
File,"SignatureUtils.java",,,,22,112,110
File,"TestSet.java",,,,5,28,41
File,"TestVector.java",,,,3,16,32
File,"TokenUtils.java",,,,8,38,77
File,"ValueTypeValidator.java",,,,16,61,65
File,"VaultTest.java",,,,4,85,58
Package,"io",,,,0,0,0
Package,"io.getlime",,,,0,0,0
Package,"io.getlime.security",,,,0,0,0
Package,"io.getlime.security.powerauth",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.activation",,,,17,352,165
Public Class,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest",18,0,0,3,90,27
Public Method,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest.testActivationStatusBlobIV",,,,1,47,12
Public Method,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest.testActivationStatusBlobZeroIV",,,,1,35,8
Public Class,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest",19,42,42,11,177,75
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.setUp",,,,1,4,4
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationGenerate",,,,1,15,5
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcessV2",,,,2,60,21
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcessV3",,,,2,29,18
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testGenerateKeys",,,,1,7,3
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testPublicKeyFingerprintV2",,,,2,23,11
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testPublicKeyFingerprintV3",,,,2,36,10
Public Class,"io.getlime.security.powerauth.crypto.activation.PowerAuthRecoveryCodeTest",17,0,0,3,34,15
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthRecoveryCodeTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthRecoveryCodeTest.testRecoveryCodeDerivation",,,,2,26,7
Package,"io.getlime.security.powerauth.crypto.client",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.client.activation",,,,14,103,201
Public Class,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation",24,76,76,14,85,185
Public Constructor,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.PowerAuthClientActivation",,,,1,3,4
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeActivationFingerprint",,,,1,3,14
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeActivationFingerprint",,,,1,3,15
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeActivationFingerprint",,,,1,3,11
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeApplicationSignature",,,,1,7,21
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.decryptServerPublicKey",,,,1,9,22
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.encryptDevicePublicKey",,,,1,9,20
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateActivationNonce",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateDeviceKeyPair",,,,1,3,6
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.getStatusFromEncryptedBlob",,,,2,22,23
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyActivationCodeSignature",,,,1,4,11
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyHashForHashBasedCounter",,,,1,4,13
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyServerDataSignature",,,,1,7,13
Package,"io.getlime.security.powerauth.crypto.client.encryptor",,,,3,32,39
Public Class,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor",11,33,33,3,21,39
Public Constructor,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.ClientNonPersonalizedEncryptor",,,,1,11,10
Public Method,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.decrypt",,,,1,3,8
Public Method,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.encrypt",,,,1,3,8
Package,"io.getlime.security.powerauth.crypto.client.keyfactory",,,,21,88,118
Public Class,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory",12,22,11,21,76,102
Public Constructor,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.PowerAuthClientKeyFactory",,,,1,3,4
Public Method,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.generateClientMasterSecretKey",,,,1,3,13
Public Method,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.generateClientSignatureBiometryKey",,,,1,3,12
Public Method,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.generateClientSignatureKnowledgeKey",,,,1,3,12
