Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESEncryptionUtils.java",,,,8,40,72
File,"ActivationCodeGeneratorTest.java",,,,2,15,22
File,"ActivationStatusBlobInfo.java",,,,12,46,72
File,"ActivationStatusBlobInfoTest.java",,,,2,65,30
File,"ActivationVersion.java",,,,0,5,21
File,"CRC16.java",,,,6,59,52
File,"CRC16Test.java",,,,3,33,16
File,"ClientNonPersonalizedEncryptor.java",,,,3,32,31
File,"ClientTokenGenerator.java",,,,3,16,42
File,"Counter.java",,,,0,5,31
File,"CryptoProviderException.java",,,,4,15,37
File,"CryptoProviderUtil.java",,,,0,15,73
File,"CryptoProviderUtilBouncyCastle.java",,,,10,58,73
File,"CryptoProviderUtilFactory.java",,,,4,19,26
File,"CryptoProviderUtilsSpongyCastle.java",,,,10,64,73
File,"DataDigest.java",,,,6,42,34
File,"ECPublicKeyFingerprint.java",,,,10,61,46
File,"EciesCryptogram.java",,,,5,25,50
File,"EciesDecryptor.java",,,,20,107,112
File,"EciesEncryptor.java",,,,18,100,101
File,"EciesEncryptorTest.java",,,,11,274,64
File,"EciesEnvelopeKey.java",,,,15,80,85
File,"EciesException.java",,,,3,11,21
File,"EciesFactory.java",,,,16,62,102
File,"EciesScope.java",,,,0,5,25
File,"EciesSharedInfo1.java",,,,2,17,27
File,"EncryptedMessage.java",,,,12,45,22
File,"GenerateVectorDataTest.java",,,,36,484,164
File,"GenericCryptoException.java",,,,4,15,37
File,"HMACHashUtilities.java",,,,6,35,37
File,"Hash.java",,,,5,25,47
File,"HashBasedCounter.java",,,,2,15,37
File,"IdentifierGenerator.java",,,,8,55,78
File,"InvalidPowerAuthHttpHeaderException.java",,,,1,6,21
File,"KdfX9_63.java",,,,7,37,35
File,"KeyConversionUtilsTest.java",,,,4,57,35
File,"KeyGenerator.java",,,,16,93,116
File,"NonPersonalizedEncryptedMessage.java",,,,4,17,5
File,"NonPersonalizedEncryptor.java",,,,15,100,50
File,"PersonalizedEncryptedMessage.java",,,,2,10,5
File,"PowerAuthActivationTest.java",,,,11,198,91
File,"PowerAuthClientActivation.java",,,,12,102,180
File,"PowerAuthClientKeyFactory.java",,,,20,85,114
File,"PowerAuthClientSignature.java",,,,1,12,36
File,"PowerAuthClientVault.java",,,,4,43,77
File,"PowerAuthConfiguration.java",,,,3,18,45
File,"PowerAuthDerivedKey.java",,,,3,27,46
File,"PowerAuthEncryptionHttpHeader.java",,,,9,48,84
File,"PowerAuthEncryptionHttpHeaderValidator.java",,,,7,26,27
File,"PowerAuthHttpBody.java",,,,5,24,30
File,"PowerAuthHttpBodyTest.java",,,,1,65,38
File,"PowerAuthHttpHeader.java",,,,5,30,46
File,"PowerAuthRequestCanonizationUtils.java",,,,12,62,38
File,"PowerAuthServerActivation.java",,,,15,120,205
File,"PowerAuthServerKeyFactory.java",,,,14,85,111
File,"PowerAuthServerSignature.java",,,,1,12,35
File,"PowerAuthServerVault.java",,,,2,37,55
File,"PowerAuthSignatureHttpHeader.java",,,,10,67,86
File,"PowerAuthSignatureHttpHeaderValidator.java",,,,12,44,32
File,"PowerAuthSignatureTest.java",,,,13,195,61
File,"PowerAuthSignatureTypes.java",,,,5,36,51
File,"PowerAuthTokenHttpHeader.java",,,,9,60,75
File,"PowerAuthTokenHttpHeaderValidator.java",,,,10,37,30
File,"ServerTokenGenerator.java",,,,2,11,29
File,"ServerTokenVerifier.java",,,,2,13,38
File,"SignatureUtils.java",,,,11,62,67
File,"TestSet.java",,,,5,28,41
File,"TestVector.java",,,,3,16,32
File,"TokenUtils.java",,,,7,35,73
File,"ValueTypeValidator.java",,,,9,47,60
File,"VaultTest.java",,,,4,89,58
Package,"io",,,,0,0,0
Package,"io.getlime",,,,0,0,0
Package,"io.getlime.security",,,,0,0,0
Package,"io.getlime.security.powerauth",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.activation",,,,13,263,121
Public Class,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest",20,50,50,2,42,14
Public Method,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.ActivationStatusBlobInfoTest.testActivationStatusBlob",,,,1,34,7
Public Class,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest",21,0,0,11,179,75
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationGenerate",,,,1,16,5
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcessV2",,,,2,60,21
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcessV3",,,,2,29,18
