Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESEncryptionUtils.java",,,,6,44,71
File,"ActivationController.java",,,,18,133,60
File,"ActivationController.java",,,,5,86,40
File,"ActivationCreateRequest.java",,,,14,52,77
File,"ActivationCreateResponse.java",,,,10,38,61
File,"ActivationRecordEntity.java",,,,61,313,199
File,"ActivationRemoveRequest.java",,,,0,3,21
File,"ActivationRemoveResponse.java",,,,2,10,29
File,"ActivationRepository.java",,,,0,15,46
File,"ActivationServiceBehavior.java",,,,40,381,136
File,"ActivationStatus.java",,,,2,16,55
File,"ActivationStatusBlobInfo.java",,,,10,38,63
File,"ActivationStatusConverter.java",,,,6,27,21
File,"ActivationStatusRequest.java",,,,2,10,29
File,"ActivationStatusResponse.java",,,,6,25,45
File,"Application.java",,,,14,160,36
File,"Application.java",,,,1,9,25
File,"ApplicationConfiguration.java",,,,2,15,20
File,"ApplicationController.java",,,,9,69,50
File,"ApplicationEntity.java",,,,6,40,31
File,"ApplicationRepository.java",,,,0,5,6
File,"ApplicationServiceBehavior.java",,,,8,130,40
File,"ApplicationTest.java",,,,3,49,16
File,"ApplicationVersionEntity.java",,,,12,64,55
File,"ApplicationVersionRepository.java",,,,0,8,16
File,"AuditingServiceBehavior.java",,,,5,58,27
File,"AuthenticationController.java",,,,1,17,32
File,"ConfigurationUtils.java",,,,10,59,41
File,"CryptoProviderUtil.java",,,,0,14,55
File,"CryptoProviderUtilBouncyCastle.java",,,,9,65,69
File,"CryptoProviderUtilFactory.java",,,,4,19,9
File,"CryptoProviderUtilsSpongyCastle.java",,,,9,71,69
File,"DefaultExceptionHandler.java",,,,6,50,39
File,"EncryptedStorageUtil.java",,,,2,25,47
File,"ErrorException.java",,,,3,19,17
File,"ErrorModel.java",,,,6,25,32
File,"GenerateVectorDataTest.java",,,,26,348,43
File,"GenericServiceException.java",,,,5,30,35
File,"GetStatusStep.java",,,,5,91,34
