Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESEncryptionUtils.java",,,,6,40,71
File,"ActivationStatusBlobInfo.java",,,,10,38,63
File,"ClientNonPersonalizedEncryptor.java",,,,4,33,23
File,"CryptoProviderUtil.java",,,,0,14,70
File,"CryptoProviderUtilBouncyCastle.java",,,,10,64,70
File,"CryptoProviderUtilFactory.java",,,,4,19,25
File,"CryptoProviderUtilsSpongyCastle.java",,,,10,70,70
File,"EncryptedMessage.java",,,,12,45,21
File,"GenerateVectorDataTest.java",,,,26,352,58
File,"HMACHashUtilities.java",,,,4,35,32
File,"IdentifierGenerator.java",,,,4,25,49
File,"KeyConversionUtilsTest.java",,,,4,57,34
File,"KeyGenerator.java",,,,14,92,72
File,"NonPersonalizedEncryptedMessage.java",,,,4,17,5
File,"NonPersonalizedEncryptor.java",,,,17,112,43
File,"PersonalizedEncryptedMessage.java",,,,2,10,5
File,"PowerAuthActivationTest.java",,,,5,107,47
File,"PowerAuthClientActivation.java",,,,18,134,116
File,"PowerAuthClientKeyFactory.java",,,,20,83,97
File,"PowerAuthClientSignature.java",,,,1,14,34
File,"PowerAuthClientVault.java",,,,6,53,46
File,"PowerAuthConfiguration.java",,,,3,18,44
File,"PowerAuthDerivedKey.java",,,,3,26,45
File,"PowerAuthHttpBody.java",,,,6,29,31
File,"PowerAuthHttpHeader.java",,,,6,45,60
File,"PowerAuthRequestCanonizationUtils.java",,,,12,61,38
File,"PowerAuthServerActivation.java",,,,21,154,153
File,"PowerAuthServerKeyFactory.java",,,,13,79,77
File,"PowerAuthServerSignature.java",,,,1,15,33
File,"PowerAuthServerVault.java",,,,2,33,30
File,"PowerAuthSignatureTest.java",,,,7,106,37
File,"PowerAuthSignatureTypes.java",,,,6,36,50
File,"SignatureUtils.java",,,,9,61,64
File,"VaultTest.java",,,,3,58,35
Package,"io",,,,0,0,0
Package,"io.getlime",,,,0,0,0
Package,"io.getlime.security",,,,0,0,0
Package,"io.getlime.security.powerauth",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.activation",,,,5,107,47
Public Class,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest",19,0,0,5,90,32
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.setUp",,,,1,5,4
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationGenerate",,,,1,16,5
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testActivationProcess",,,,2,59,15
Public Method,"io.getlime.security.powerauth.crypto.activation.PowerAuthActivationTest.testGenerateKeys",,,,1,8,4
Package,"io.getlime.security.powerauth.crypto.client",,,,0,0,0
Package,"io.getlime.security.powerauth.crypto.client.activation",,,,18,134,116
Public Class,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation",26,77,77,18,116,101
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeApplicationSignature",,,,2,12,10
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.computeDevicePublicKeyFingerprint",,,,3,16,7
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.decryptServerPublicKey",,,,2,15,13
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.encryptDevicePublicKey",,,,2,15,12
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateActivationNonce",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.generateDeviceKeyPair",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.getStatusFromEncryptedBlob",,,,3,28,17
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyActivationDataSignature",,,,2,9,13
Public Method,"io.getlime.security.powerauth.crypto.client.activation.PowerAuthClientActivation.verifyServerDataSignature",,,,2,12,12
Package,"io.getlime.security.powerauth.crypto.client.encryptor",,,,4,33,23
Public Class,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor",9,44,44,4,23,23
Public Constructor,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.ClientNonPersonalizedEncryptor",,,,2,12,8
Public Method,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.decrypt",,,,1,3,5
Public Method,"io.getlime.security.powerauth.crypto.client.encryptor.ClientNonPersonalizedEncryptor.encrypt",,,,1,3,5
Package,"io.getlime.security.powerauth.crypto.client.keyfactory",,,,20,83,97
Public Class,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory",10,25,12,20,73,82
Public Method,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.generateClientMasterSecretKey",,,,1,3,12
Public Method,"io.getlime.security.powerauth.crypto.client.keyfactory.PowerAuthClientKeyFactory.generateClientSignatureBiometryKey",,,,1,3,9
