Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AMQAuthenticationException.java",,,,1,10,30
File,"AMQBindingURL.java",,,,34,210,30
File,"AMQBody.java",,,,0,10,24
File,"AMQBrokerDetails.java",,,,43,259,39
File,"AMQBrokerManagerMBean.java",,,,21,157,79
File,"AMQBrokerManagerMBeanTest.java",,,,3,56,17
File,"AMQCallbackHandler.java",,,,0,7,20
File,"AMQChannel.java",,,,109,641,192
File,"AMQChannelClosedException.java",,,,1,9,30
File,"AMQChannelException.java",,,,2,26,32
File,"AMQCodecFactory.java",,,,3,21,50
File,"AMQConnection.java",,,,158,876,199
File,"AMQConnectionClosedException.java",,,,1,9,30
File,"AMQConnectionException.java",,,,2,27,32
File,"AMQConnectionFactory.java",,,,50,274,80
File,"AMQConnectionFactoryInitialiser.java",,,,1,12,20
File,"AMQConnectionFactoryInitialiser.java",,,,1,12,20
File,"AMQConnectionFailureException.java",,,,1,8,10
File,"AMQConnectionTest.java",,,,27,156,33
File,"AMQConnectionURL.java",,,,56,335,30
File,"AMQConnectionWaitException.java",,,,1,9,30
File,"AMQConstant.java",,,,7,64,128
File,"AMQDataBlock.java",,,,0,7,33
File,"AMQDataBlockDecoder.java",,,,10,75,22
File,"AMQDataBlockEncoder.java",,,,4,33,21
File,"AMQDecoder.java",,,,8,60,91
File,"AMQDestination.java",,,,63,353,24
File,"AMQDisconnectedException.java",,,,1,8,30
File,"AMQEncoder.java",,,,2,15,46
File,"AMQException.java",,,,4,15,45
File,"AMQFrame.java",,,,7,41,20
File,"AMQFrameDecodingException.java",,,,1,10,29
File,"AMQHeadersExchange.java",,,,5,27,26
File,"AMQInvalidArgumentException.java",,,,1,9,28
File,"AMQInvalidRoutingKeyException.java",,,,1,9,28
File,"AMQManagedObject.java",,,,6,51,33
File,"AMQMessage.java",,,,16,78,34
File,"AMQMessage.java",,,,102,604,322
File,"AMQMessageHandle.java",,,,0,26,40
File,"AMQMethodBody.java",,,,13,74,35
File,"AMQMethodBodyFactory.java",,,,2,17,20
File,"AMQMethodBodyInstanceFactory.java",,,,0,7,0
File,"AMQMethodEvent.java",,,,4,27,60
File,"AMQMethodFactory.java",,,,0,26,29
File,"AMQMethodListener.java",,,,0,7,61
File,"AMQMinaProtocolSession.java",,,,104,579,83
File,"AMQNoConsumersException.java",,,,1,10,28
File,"AMQNoMethodHandlerException.java",,,,1,11,33
File,"AMQNoRouteException.java",,,,1,10,28
File,"AMQNoTransportForProtocolException.java",,,,3,22,32
File,"AMQPApplicationMessage.java",,,,15,83,20
File,"AMQPBrokerDetails.java",,,,42,246,41
File,"AMQPCallBack.java",,,,2,17,20
File,"AMQPCallBackSupport.java",,,,8,63,24
File,"AMQPCallbackHandler.java",,,,0,7,20
File,"AMQPChannel.java",,,,0,17,32
File,"AMQPClassFactory.java",,,,0,26,32
File,"AMQPConnection.java",,,,0,20,31
File,"AMQPConnectionURL.java",,,,50,304,31
File,"AMQPDtxCoordination.java",,,,0,19,20
File,"AMQPDtxDemarcation.java",,,,0,14,20
File,"AMQPEventManager.java",,,,0,9,0
File,"AMQPException.java",,,,8,44,0
File,"AMQPExchange.java",,,,0,9,25
File,"AMQPFastProtocolHandler.java",,,,23,163,54
File,"AMQPFilterTypes.java",,,,2,17,39
File,"AMQPInvalidClassException.java",,,,1,8,20
File,"AMQPMessage.java",,,,0,33,43
File,"AMQPMessageCallBack.java",,,,0,19,46
File,"AMQPMethodEvent.java",,,,7,47,18
File,"AMQPMethodListener.java",,,,0,7,0
File,"AMQPProtocolProvider.java",,,,2,16,32
File,"AMQPQueue.java",,,,0,15,26
File,"AMQPState.java",,,,2,31,29
File,"AMQPStateChangedEvent.java",,,,7,37,20
File,"AMQPStateListener.java",,,,0,6,0
File,"AMQPStateMachine.java",,,,5,23,0
File,"AMQPStateManager.java",,,,0,9,0
File,"AMQPStateType.java",,,,2,17,27
File,"AMQPValidator.java",,,,2,12,0
File,"AMQProtocolClassException.java",,,,1,8,30
File,"AMQProtocolHandler.java",,,,67,412,115
File,"AMQProtocolHeaderException.java",,,,1,9,30
File,"AMQProtocolInstanceException.java",,,,1,8,30
File,"AMQProtocolSession.java",,,,0,43,99
File,"AMQProtocolSession.java",,,,49,296,95
File,"AMQProtocolSessionMBean.java",,,,30,200,80
File,"AMQProtocolSessionMBeanTest.java",,,,4,87,26
File,"AMQProtocolSessionTest.java",,,,7,74,27
File,"AMQProtocolVersionException.java",,,,1,8,30
File,"AMQProtocolWriter.java",,,,0,6,35
File,"AMQQueue.java",,,,14,62,62
File,"AMQQueue.java",,,,101,552,139
File,"AMQQueueAlertTest.java",,,,17,196,66
File,"AMQQueueBrowser.java",,,,13,87,21
File,"AMQQueueMBean.java",,,,52,331,99
File,"AMQQueueMBeanTest.java",,,,13,150,62
File,"AMQQueueSessionAdaptor.java",,,,35,135,30
File,"AMQSession.java",,,,276,1834,396
File,"AMQSessionAdapter.java",,,,0,5,20
File,"AMQSessionTest.java",,,,9,74,25
File,"AMQShortString.java",,,,54,264,11
File,"AMQState.java",,,,2,21,24
File,"AMQState.java",,,,0,11,24
File,"AMQStateChangedEvent.java",,,,3,19,24
File,"AMQStateListener.java",,,,0,5,20
File,"AMQStateManager.java",,,,20,215,33
File,"AMQStateManager.java",,,,23,196,42
File,"AMQTemporaryQueue.java",,,,5,32,26
File,"AMQTemporaryTopic.java",,,,5,30,32
File,"AMQTest.java",,,,21,201,38
File,"AMQTimeoutException.java",,,,1,9,28
File,"AMQTopic.java",,,,12,60,39
File,"AMQTopicSessionAdaptor.java",,,,35,167,21
File,"AMQTransportConnectionException.java",,,,1,10,31
File,"AMQType.java",,,,107,559,27
File,"AMQTypeMap.java",,,,2,23,20
File,"AMQTypedValue.java",,,,9,46,0
File,"AMQUndefinedDestination.java",,,,3,18,20
File,"AMQUndeliveredException.java",,,,2,15,28
File,"AMQUnexpectedBodyTypeException.java",,,,1,11,34
File,"AMQUnexpectedFrameTypeException.java",,,,1,9,34
File,"AMQUnknownExchangeType.java",,,,1,8,13
File,"AMQUnresolvedAddressException.java",,,,2,14,33
File,"AMQUserManagementMBean.java",,,,45,343,65
File,"AMQVMBrokerCreationException.java",,,,2,16,30
File,"AMQVersionAwareProtocolSession.java",,,,0,6,38
File,"AbstractAMQPClassFactory.java",,,,2,19,20
File,"AbstractAction.java",,,,14,84,34
File,"AbstractBytesMessage.java",,,,13,83,51
File,"AbstractBytesTypedMessage.java",,,,121,692,26
