Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AMQAuthenticationException.java",,,,1,9,20
File,"AMQBindingURL.java",,,,34,206,30
File,"AMQBody.java",,,,0,10,24
File,"AMQBrokerDetails.java",,,,40,239,39
File,"AMQBrokerManagerMBean.java",,,,15,122,58
File,"AMQBrokerManagerMBeanTest.java",,,,3,53,17
File,"AMQCallbackHandler.java",,,,0,7,20
File,"AMQChannel.java",,,,60,337,121
File,"AMQChannelClosedException.java",,,,1,8,23
File,"AMQChannelException.java",,,,3,31,21
File,"AMQCodecFactory.java",,,,3,21,26
File,"AMQConnection.java",,,,120,710,191
File,"AMQConnectionClosedException.java",,,,1,8,23
File,"AMQConnectionException.java",,,,3,31,21
File,"AMQConnectionFactory.java",,,,48,256,72
File,"AMQConnectionFactoryInitialiser.java",,,,1,12,20
File,"AMQConnectionFactoryInitialiser.java",,,,1,12,20
File,"AMQConnectionFailureException.java",,,,1,8,0
File,"AMQConnectionTest.java",,,,27,153,33
File,"AMQConnectionURL.java",,,,48,294,32
File,"AMQConstant.java",,,,7,61,20
File,"AMQDataBlock.java",,,,0,7,33
File,"AMQDataBlockDecoder.java",,,,10,73,28
File,"AMQDataBlockEncoder.java",,,,4,35,21
File,"AMQDecoder.java",,,,8,60,30
File,"AMQDestination.java",,,,64,351,30
File,"AMQDisconnectedException.java",,,,1,8,23
File,"AMQEncoder.java",,,,2,16,20
File,"AMQException.java",,,,8,43,23
File,"AMQFrame.java",,,,7,42,29
File,"AMQFrameDecodingException.java",,,,4,22,20
File,"AMQHeadersExchange.java",,,,5,27,26
File,"AMQInvalidSelectorException.java",,,,1,9,20
File,"AMQManagedObject.java",,,,6,51,33
File,"AMQMessage.java",,,,6,34,36
File,"AMQMessage.java",,,,70,434,133
File,"AMQMessageHandle.java",,,,0,24,39
File,"AMQMethodBody.java",,,,10,54,34
File,"AMQMethodBodyFactory.java",,,,3,21,24
File,"AMQMethodBodyInstanceFactory.java",,,,0,6,0
File,"AMQMethodEvent.java",,,,5,33,20
File,"AMQMethodEvent.java",,,,4,27,31
File,"AMQMethodListener.java",,,,0,7,34
File,"AMQMethodListener.java",,,,0,13,39
File,"AMQMinaProtocolSession.java",,,,66,383,90
File,"AMQNoConsumersException.java",,,,1,10,20
File,"AMQNoRouteException.java",,,,1,10,20
File,"AMQNoTransportForProtocolException.java",,,,4,26,20
File,"AMQPFastProtocolHandler.java",,,,22,151,66
File,"AMQPFilterTypes.java",,,,2,17,20
File,"AMQPInvalidClassException.java",,,,1,8,20
File,"AMQPProtocolProvider.java",,,,2,17,32
File,"AMQProtocolClassException.java",,,,1,8,20
File,"AMQProtocolHandler.java",,,,63,366,144
File,"AMQProtocolHeaderException.java",,,,1,9,20
File,"AMQProtocolInstanceException.java",,,,1,8,20
File,"AMQProtocolSession.java",,,,0,26,86
File,"AMQProtocolSession.java",,,,46,269,97
File,"AMQProtocolSessionMBean.java",,,,23,163,59
File,"AMQProtocolSessionMBeanTest.java",,,,4,75,26
File,"AMQProtocolSessionTest.java",,,,8,77,27
File,"AMQProtocolVersionException.java",,,,1,8,24
File,"AMQQueue.java",,,,10,45,58
File,"AMQQueue.java",,,,68,385,88
File,"AMQQueueBrowser.java",,,,13,84,20
File,"AMQQueueMBean.java",,,,46,271,76
File,"AMQQueueMBeanTest.java",,,,14,158,23
File,"AMQQueueSessionAdaptor.java",,,,34,111,30
File,"AMQSession.java",,,,180,1238,352
File,"AMQSessionTest.java",,,,9,74,25
File,"AMQShortString.java",,,,54,252,11
File,"AMQState.java",,,,2,21,24
File,"AMQState.java",,,,0,11,24
File,"AMQStateChangedEvent.java",,,,3,19,24
File,"AMQStateListener.java",,,,0,5,20
File,"AMQStateManager.java",,,,18,152,44
File,"AMQStateManager.java",,,,21,161,45
File,"AMQTemporaryQueue.java",,,,5,30,32
File,"AMQTemporaryTopic.java",,,,5,29,32
File,"AMQTest.java",,,,21,199,38
File,"AMQTopic.java",,,,10,51,35
File,"AMQTopicSessionAdaptor.java",,,,34,144,21
File,"AMQTransportConnectionException.java",,,,1,9,20
File,"AMQType.java",,,,106,534,35
File,"AMQTypeMap.java",,,,2,23,20
File,"AMQTypedValue.java",,,,8,42,0
File,"AMQUndeliveredException.java",,,,2,14,23
File,"AMQUnknownExchangeType.java",,,,1,8,0
File,"AMQUnresolvedAddressException.java",,,,2,14,20
File,"AMQVMBrokerCreationException.java",,,,3,19,20
File,"AbstractBytesMessage.java",,,,13,80,51
File,"AbstractBytesTypedMessage.java",,,,121,687,26
File,"AbstractConfig.java",,,,7,45,20
File,"AbstractConfig.java",,,,7,45,20
File,"AbstractExchange.java",,,,17,96,34
File,"AbstractHeadersExchangeTestBase.java",,,,34,192,38
File,"AbstractJMSMessage.java",,,,88,457,35
File,"AbstractJMSMessageFactory.java",,,,7,59,22
File,"AcceptorTest.java",,,,6,61,25
File,"AckTest.java",,,,21,227,64
File,"Activator.java",,,,5,30,46
File,"AddServer.java",,,,20,185,64
File,"AmqPlainInitialiser.java",,,,2,14,20
File,"AmqPlainSaslClient.java",,,,10,64,28
File,"AmqPlainSaslClientFactory.java",,,,6,38,21
File,"AmqPlainSaslServer.java",,,,13,86,23
File,"AmqPlainSaslServerFactory.java",,,,4,35,21
File,"Application.java",,,,3,30,29
File,"ApplicationActionBarAdvisor.java",,,,4,45,36
File,"ApplicationRegistry.java",,,,10,82,34
File,"ApplicationRegistry.java",,,,21,149,27
File,"ApplicationWorkbenchAdvisor.java",,,,2,16,24
File,"ApplicationWorkbenchWindowAdvisor.java",,,,4,35,24
File,"ArithmeticExpression.java",,,,42,154,34
File,"AsyncDeliveryConfig.java",,,,4,30,20
File,"AsynchBroadcastPolicy.java",,,,1,9,20
File,"AttributeData.java",,,,15,69,20
File,"AttributesTabControl.java",,,,90,738,130
File,"AuthenticationManager.java",,,,0,10,20
File,"AuthenticationProviderInitialiser.java",,,,0,14,45
File,"AuthenticationResult.java",,,,2,19,20
File,"AveragedRun.java",,,,7,38,20
File,"BaseTask.java",,,,7,38,23
File,"BasicAckMethodHandler.java",,,,3,29,21
File,"BasicCancelMethodHandler.java",,,,4,38,25
File,"BasicCancelOkMethodHandler.java",,,,3,27,3
File,"BasicConsumeMethodHandler.java",,,,10,103,59
File,"BasicContentHeaderProperties.java",,,,193,882,77
File,"BasicContentHeaderPropertiesTest.java",,,,20,131,27
File,"BasicDeliverMethodHandler.java",,,,2,25,20
File,"BasicDeliverTest.java",,,,36,201,37
File,"BasicMessageConsumer.java",,,,85,491,132
File,"BasicMessageProducer.java",,,,79,529,106
File,"BasicPublishMethodHandler.java",,,,5,54,35
File,"BasicQosHandler.java",,,,2,25,23
File,"BasicRecoverMethodHandler.java",,,,3,32,20
File,"BasicReturnMethodHandler.java",,,,2,26,20
File,"BinaryExpression.java",,,,9,34,50
File,"Bind.java",,,,30,199,31
File,"Bind.java",,,,26,177,43
File,"BindingURL.java",,,,0,26,24
File,"Bindings.java",,,,7,48,27
File,"BlockingAcceptorTest.java",,,,8,61,20
File,"BlockingHandler.java",,,,12,58,20
File,"BlockingMethodFrameListener.java",,,,10,76,48
File,"BodyFactory.java",,,,0,6,23
File,"BogusSSLContextFactory.java",,,,12,97,48
File,"BogusTrustManagerFactory.java",,,,7,44,28
File,"BooleanExpression.java",,,,0,9,31
File,"BroadcastPolicy.java",,,,0,5,20
File,"Broker.java",,,,22,136,83
File,"BrokerDetails.java",,,,0,29,25
File,"BrokerDetailsTest.java",,,,8,56,24
File,"BrokerFactory.java",,,,0,5,20
File,"BrokerGroup.java",,,,35,250,84
File,"BrokerGroupTest.java",,,,16,157,95
File,"BrokerTest.java",,,,27,176,27
File,"BytesMessageTest.java",,,,31,214,28
File,"BytesMessageTest.java",,,,62,476,56
File,"CRAMMD5Initialiser.java",,,,2,13,22
File,"CallbackHandlerRegistry.java",,,,17,118,22
File,"ChainedClusterMethodHandler.java",,,,8,44,20
File,"ChainedMethodRecorder.java",,,,4,22,20
File,"ChannelCloseHandler.java",,,,3,35,23
File,"ChannelCloseMethodHandler.java",,,,7,59,23
File,"ChannelCloseOkHandler.java",,,,3,28,20
File,"ChannelCloseOkMethodHandler.java",,,,2,19,21
File,"ChannelCloseOkTest.java",,,,21,158,41
File,"ChannelFlowHandler.java",,,,3,38,25
File,"ChannelFlowOkMethodHandler.java",,,,3,24,20
File,"ChannelFlowTest.java",,,,12,69,23
File,"ChannelLimitReachedException.java",,,,2,18,23
File,"ChannelOpenHandler.java",,,,3,36,23
File,"ChannelQueueManager.java",,,,17,94,25
File,"CircularBuffer.java",,,,19,94,20
File,"CleanupMessageOperation.java",,,,8,53,29
File,"Client.java",,,,17,92,23
File,"Client.java",,,,10,72,26
File,"Client.java",,,,13,88,24
File,"ClientAdapter.java",,,,5,41,25
File,"ClientHandlerRegistry.java",,,,12,87,24
File,"ClientListener.java",,,,8,48,20
File,"ClientNotificationListener.java",,,,2,17,21
File,"ClientProperties.java",,,,0,8,20
File,"CloseConnection.java",,,,8,47,37
File,"CloseWithBlockingReceiveTest.java",,,,6,51,21
File,"Closeable.java",,,,3,20,27
File,"ClusterBuilder.java",,,,5,34,21
File,"ClusterCapability.java",,,,6,33,21
File,"ClusterCapabilityTest.java",,,,2,20,20
File,"ClusterMethodHandler.java",,,,2,26,20
File,"ClusterMethodHandlerFactory.java",,,,24,200,26
File,"ClusteredProtocolHandler.java",,,,26,157,20
File,"ClusteredProtocolSession.java",,,,16,93,24
File,"ClusteredQueue.java",,,,18,123,37
File,"ClusteredSubscriptionManager.java",,,,11,64,25
File,"CombinedTest.java",,,,4,27,26
File,"ComparisonExpression.java",,,,91,345,64
