Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AMQAuthenticationException.java",,,,1,10,20
File,"AMQBindingURL.java",,,,30,189,30
File,"AMQBody.java",,,,0,9,24
File,"AMQBrokerDetails.java",,,,36,210,38
File,"AMQCallbackHandler.java",,,,0,7,20
File,"AMQChannel.java",,,,93,554,143
File,"AMQChannelClosedException.java",,,,1,8,23
File,"AMQChannelException.java",,,,3,24,20
File,"AMQCodecFactory.java",,,,3,21,26
File,"AMQConnection.java",,,,116,693,171
File,"AMQConnectionClosedException.java",,,,1,8,23
File,"AMQConnectionException.java",,,,1,8,20
File,"AMQConnectionFactory.java",,,,46,244,72
File,"AMQConnectionFactoryInitialiser.java",,,,1,12,20
File,"AMQConnectionTest.java",,,,27,156,33
File,"AMQConnectionURL.java",,,,48,294,32
File,"AMQConstant.java",,,,7,59,20
File,"AMQDataBlock.java",,,,0,7,33
File,"AMQDataBlockDecoder.java",,,,12,77,22
File,"AMQDataBlockEncoder.java",,,,4,35,21
File,"AMQDecoder.java",,,,8,60,30
File,"AMQDestination.java",,,,39,210,29
File,"AMQDisconnectedException.java",,,,1,8,23
File,"AMQEncoder.java",,,,2,16,20
File,"AMQException.java",,,,8,43,23
File,"AMQFrame.java",,,,6,38,29
File,"AMQFrameDecodingException.java",,,,4,22,20
File,"AMQHeadersExchange.java",,,,5,26,26
File,"AMQManagedObject.java",,,,6,51,33
File,"AMQMessage.java",,,,5,30,32
File,"AMQMessage.java",,,,47,243,70
File,"AMQMethodBody.java",,,,7,45,31
File,"AMQMethodBodyFactory.java",,,,3,20,20
File,"AMQMethodEvent.java",,,,5,33,20
File,"AMQMethodEvent.java",,,,4,27,31
File,"AMQMethodListener.java",,,,0,7,34
File,"AMQMethodListener.java",,,,0,13,39
File,"AMQMinaProtocolSession.java",,,,81,532,96
File,"AMQNoConsumersException.java",,,,1,10,20
File,"AMQNoRouteException.java",,,,1,10,20
File,"AMQNoTransportForProtocolException.java",,,,4,27,20
File,"AMQPAdministrator.java",,,,22,121,102
File,"AMQPFastProtocolHandler.java",,,,22,145,58
File,"AMQPProtocolProvider.java",,,,2,17,32
File,"AMQPProvider.java",,,,4,19,67
File,"AMQProtocolClassException.java",,,,1,8,20
File,"AMQProtocolHandler.java",,,,63,371,115
File,"AMQProtocolHeaderException.java",,,,1,9,20
File,"AMQProtocolInstanceException.java",,,,1,8,20
File,"AMQProtocolSession.java",,,,0,22,86
File,"AMQProtocolSession.java",,,,45,267,97
File,"AMQProtocolSessionTest.java",,,,8,76,27
File,"AMQProtocolVersionException.java",,,,1,8,24
File,"AMQQueue.java",,,,8,37,47
File,"AMQQueue.java",,,,102,645,120
File,"AMQQueueSessionAdaptor.java",,,,34,111,30
File,"AMQSession.java",,,,145,927,218
File,"AMQSessionTest.java",,,,9,78,25
File,"AMQState.java",,,,2,21,24
File,"AMQState.java",,,,0,11,24
File,"AMQStateChangedEvent.java",,,,3,19,24
File,"AMQStateListener.java",,,,0,5,20
File,"AMQStateManager.java",,,,18,151,44
File,"AMQStateManager.java",,,,21,158,45
File,"AMQTemporaryQueue.java",,,,2,13,29
File,"AMQTemporaryTopic.java",,,,2,15,29
File,"AMQTest.java",,,,21,199,38
File,"AMQTopic.java",,,,8,41,41
File,"AMQTopicSessionAdaptor.java",,,,34,111,21
File,"AMQTransportConnectionException.java",,,,1,9,20
File,"AMQUndeliveredException.java",,,,2,14,23
File,"AMQUnresolvedAddressException.java",,,,2,14,20
File,"AMQVMBrokerCreationException.java",,,,3,19,20
File,"AbstractConfig.java",,,,7,45,20
File,"AbstractExchange.java",,,,15,82,34
File,"AbstractHeadersExchangeTest.java",,,,29,158,25
File,"AbstractJMSMessage.java",,,,104,566,44
File,"AbstractJMSMessageFactory.java",,,,4,49,22
File,"AcceptorTest.java",,,,6,61,25
File,"AckTest.java",,,,21,210,58
File,"AmqPlainInitialiser.java",,,,2,14,20
File,"AmqPlainSaslClient.java",,,,10,63,28
File,"AmqPlainSaslClientFactory.java",,,,6,38,21
File,"AmqPlainSaslServer.java",,,,13,85,23
File,"AmqPlainSaslServerFactory.java",,,,4,35,21
File,"ApplicationRegistry.java",,,,21,149,27
File,"AsyncDeliveryConfig.java",,,,4,30,20
File,"AsynchBroadcastPolicy.java",,,,1,9,20
File,"AuthenticationManager.java",,,,0,9,20
File,"AuthenticationProviderInitialiser.java",,,,0,14,45
File,"AuthenticationResult.java",,,,2,19,20
File,"AveragedRun.java",,,,7,38,20
File,"BaseTask.java",,,,7,38,23
File,"BasicAckMethodHandler.java",,,,3,29,21
File,"BasicCancelMethodHandler.java",,,,4,36,20
File,"BasicConsumeMethodHandler.java",,,,8,62,22
