Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESKeyFileEncrypter.java",,,,13,114,20
File,"AESKeyFileEncrypterFactory.java",,,,37,323,20
File,"AESKeyFileEncrypterFactoryTest.java",,,,32,264,27
File,"AESKeyFileEncrypterTest.java",,,,27,170,27
File,"AMQBindingURL.java",,,,33,189,24
File,"AMQBody.java",,,,0,10,24
File,"AMQChannel.java",,,,456,2934,143
File,"AMQChannelTest.java",,,,9,186,20
File,"AMQConnectionException.java",,,,3,31,23
File,"AMQDataBlock.java",,,,0,7,29
File,"AMQDecoder.java",,,,26,156,51
File,"AMQDecoderTest.java",,,,22,226,20
File,"AMQException.java",,,,34,111,18
File,"AMQExceptionTestUtil.java",,,,3,25,21
File,"AMQFrame.java",,,,7,59,20
File,"AMQFrame.java",,,,7,43,20
File,"AMQFrameDecodingException.java",,,,3,18,24
File,"AMQInvalidArgumentException.java",,,,4,19,20
File,"AMQMessage.java",,,,17,86,23
File,"AMQMessageHeader.java",,,,0,22,20
File,"AMQMethodBody.java",,,,0,14,22
File,"AMQMethodBodyImpl.java",,,,21,108,28
File,"AMQMethodEvent.java",,,,4,27,55
File,"AMQMethodListener.java",,,,0,7,53
File,"AMQPConnection.java",,,,0,58,29
File,"AMQPConnectionActorTest.java",,,,8,74,44
File,"AMQPConnection_0_10.java",,,,0,28,20
File,"AMQPConnection_0_10Impl.java",,,,51,312,21
File,"AMQPConnection_0_8.java",,,,0,47,20
File,"AMQPConnection_0_8Impl.java",,,,192,1268,44
File,"AMQPConnection_0_8Test.java",,,,5,185,21
File,"AMQPConnection_1_0.java",,,,0,53,19
File,"AMQPConnection_1_0Impl.java",,,,293,1669,35
File,"AMQPDescribedTypeRegistry.java",,,,31,333,21
File,"AMQPEncodedMapMessageTest.java",,,,14,201,27
File,"AMQPFilterTypes.java",,,,3,23,34
File,"AMQPInvalidClassException.java",,,,1,9,25
File,"AMQPProtocolVersionWrapper.java",,,,19,94,20
File,"AMQPProtocolVersionWrapperTest.java",,,,6,50,21
File,"AMQPSession.java",,,,0,45,30
File,"AMQProtocolClassException.java",,,,1,8,25
File,"AMQProtocolHeaderException.java",,,,1,9,20
File,"AMQProtocolInstanceException.java",,,,1,8,25
File,"AMQProtocolVersionException.java",,,,1,8,24
File,"AMQProtocolWriter.java",,,,0,5,30
File,"AMQQueueDeferredOrderingTest.java",,,,10,124,23
File,"AMQSessionTest.java",,,,7,71,21
File,"AMQShortString.java",,,,66,346,33
File,"AMQShortStringEncoding.java",,,,5,36,20
File,"AMQShortStringEncodingTest.java",,,,5,46,28
File,"AMQShortStringTest.java",,,,13,91,51
File,"AMQTestConnection_0_10.java",,,,2,13,18
File,"AMQType.java",,,,134,769,113
File,"AMQTypeMap.java",,,,3,26,20
File,"AMQTypeTest.java",,,,3,26,20
File,"AMQTypedValue.java",,,,50,249,28
File,"AMQVersionAwareProtocolSession.java",,,,0,12,33
File,"AbruptClientDisconnectTest.java",,,,49,421,33
File,"AbstractACLTestCase.java",,,,17,120,48
File,"AbstractAMQPConnection.java",,,,131,818,20
File,"AbstractAMQPSession.java",,,,52,374,21
File,"AbstractAccessControlProvider.java",,,,8,73,20
File,"AbstractAuthenticationManager.java",,,,23,170,21
File,"AbstractAuthenticationManagerTest.java",,,,7,65,21
File,"AbstractBDBMessageStore.java",,,,195,1326,105
File,"AbstractBDBPreferenceStore.java",,,,43,341,18
File,"AbstractBrokerHolder.java",,,,31,212,18
File,"AbstractBrokerLogger.java",,,,4,34,20
File,"AbstractCommonRuleBasedAccessControlProvider.java",,,,22,164,20
File,"AbstractConfigurationChangeListener.java",,,,6,31,20
File,"AbstractConfigurationStoreUpgraderAndRecoverer.java",,,,16,99,20
File,"AbstractConfigurationStoreUpgraderAndRecovererTest.java",,,,14,87,22
File,"AbstractConfiguredObject.java",,,,557,3226,65
File,"AbstractConfiguredObjectTest.java",,,,36,332,22
File,"AbstractConfiguredObjectTest.java",,,,57,799,59
File,"AbstractConfiguredObjectTest.java",,,,32,352,31
File,"AbstractConfiguredObjectTypeFactory.java",,,,11,91,20
File,"AbstractConsumerTarget.java",,,,50,322,21
File,"AbstractConsumerTargetTest.java",,,,22,184,19
File,"AbstractContainer.java",,,,83,444,23
File,"AbstractCramMd5Negotiator.java",,,,17,146,19
File,"AbstractDecoder.java",,,,88,388,27
File,"AbstractDerbyMessageStore.java",,,,35,264,23
File,"AbstractDescribedTypeConstructor.java",,,,13,91,20
File,"AbstractDescribedTypeWriter.java",,,,3,26,20
File,"AbstractDurableConfigurationStoreTestCase.java",,,,28,319,22
File,"AbstractEncoder.java",,,,106,469,28
File,"AbstractEncodingRetainingConstructor.java",,,,7,65,20
File,"AbstractExchange.java",,,,159,912,27
File,"AbstractFixedVirtualHostNodeAlias.java",,,,6,40,20
File,"AbstractJDBCConfigurationStore.java",,,,91,821,30
File,"AbstractJDBCMessageStore.java",,,,232,1641,34
File,"AbstractJDBCPreferenceStore.java",,,,51,418,18
File,"AbstractJsonFileStore.java",,,,35,230,19
File,"AbstractKeyStore.java",,,,24,165,22
File,"AbstractLDAPSSLSocketFactory.java",,,,10,62,37
File,"AbstractLegacyAccessControlProvider.java",,,,11,86,20
File,"AbstractLinkEndpoint.java",,,,76,484,24
File,"AbstractLinkStore.java",,,,8,102,18
File,"AbstractListWriter.java",,,,4,22,20
File,"AbstractLogSubject.java",,,,5,29,42
File,"AbstractLogger.java",,,,25,156,21
File,"AbstractMapWriter.java",,,,8,52,20
File,"AbstractMemoryStore.java",,,,25,141,20
File,"AbstractMessageLogger.java",,,,28,176,30
File,"AbstractNameAndLevelLogInclusionRule.java",,,,10,73,20
File,"AbstractNonConnectionAcceptingVirtualHost.java",,,,25,162,20
File,"AbstractPasswordFilePrincipalDatabase.java",,,,48,345,44
File,"AbstractPasswordFilePrincipalDatabaseTest.java",,,,14,119,22
File,"AbstractPluginAdapter.java",,,,5,35,20
File,"AbstractPort.java",,,,67,394,21
File,"AbstractPredicateLogInclusionRule.java",,,,10,78,20
File,"AbstractQueue.java",,,,544,3033,88
File,"AbstractQueueEntryList.java",,,,12,71,20
File,"AbstractQueueTestBase.java",,,,103,976,125
File,"AbstractReceivingLinkEndpoint.java",,,,47,293,21
File,"AbstractRunner.java",,,,6,48,21
File,"AbstractSaslServerNegotiator.java",,,,8,58,19
File,"AbstractScramAuthenticationManager.java",,,,40,309,25
File,"AbstractSection.java",,,,26,165,21
File,"AbstractServerMessageImpl.java",,,,41,250,26
File,"AbstractServerMessageTest.java",,,,12,111,22
File,"AbstractServlet.java",,,,55,350,20
File,"AbstractStandardVirtualHostNode.java",,,,19,168,20
File,"AbstractStandardVirtualHostNodeTest.java",,,,40,464,48
File,"AbstractStoreUpgrade.java",,,,8,49,20
File,"AbstractSystemConfig.java",,,,65,506,22
File,"AbstractSystemMessageSource.java",,,,58,348,20
File,"AbstractTestLogSubject.java",,,,16,124,105
File,"AbstractTestLogging.java",,,,37,205,162
File,"AbstractTestMessages.java",,,,15,101,36
File,"AbstractTestRunner.java",,,,42,315,24
File,"AbstractTrustStore.java",,,,50,331,21
File,"AbstractUnresolvedObject.java",,,,41,236,20
File,"AbstractUpgradeTestCase.java",,,,14,135,22
File,"AbstractVirtualHost.java",,,,432,2553,34
File,"AbstractVirtualHostAlias.java",,,,5,44,20
File,"AbstractVirtualHostLogger.java",,,,3,28,20
File,"AbstractVirtualHostNode.java",,,,75,539,22
File,"AbstractVirtualHostTest.java",,,,25,282,21
File,"Accepted.java",,,,2,19,20
File,"AcceptedConstructor.java",,,,4,37,21
File,"AcceptedWriter.java",,,,3,27,20
File,"AcceptingTransport.java",,,,0,7,20
File,"AccessControl.java",,,,6,53,18
File,"AccessControlFirewallException.java",,,,4,21,21
File,"AccessControlLoggingTest.java",,,,13,120,44
File,"AccessControlMessages.java",,,,57,379,96
File,"AccessControlProvider.java",,,,0,8,19
File,"AccessControlProviderRestTest.java",,,,11,142,45
File,"AccessControlSource.java",,,,0,6,20
File,"AccessRequestBody.java",,,,20,135,28
File,"AccessRequestOkBody.java",,,,10,63,27
File,"Acknowledge2ConsumersTest.java",,,,12,87,82
File,"AcknowledgeOnMessageTest.java",,,,15,111,88
File,"AcknowledgeTest.java",,,,17,108,53
File,"AclAction.java",,,,16,67,18
File,"AclActionTest.java",,,,2,32,18
File,"AclFileAccessControlProvider.java",,,,0,16,20
File,"AclFileAccessControlProviderFactoryTest.java",,,,6,83,21
File,"AclFileAccessControlProviderImpl.java",,,,12,96,21
File,"AclFileAccessControlProviderImplTest.java",,,,3,51,20
File,"AclFileParser.java",,,,44,297,50
File,"AclFileParserTest.java",,,,34,329,53
File,"AclRule.java",,,,0,16,20
File,"AclRulePredicates.java",,,,14,80,22
File,"AclRulePredicatesTest.java",,,,6,53,19
File,"Acquired.java",,,,21,90,20
File,"Action.java",,,,0,8,20
File,"Action.java",,,,0,6,20
File,"Action.java",,,,25,107,33
File,"ActionTest.java",,,,9,59,18
File,"AddressBasedDestinationTest.java",,,,96,1230,158
File,"AddressBasedFailoverBehaviourTest.java",,,,1,12,20
File,"AggregateTicker.java",,,,14,67,22
File,"AggregatedTestResult.java",,,,10,58,24
File,"Aggregator.java",,,,3,20,18
File,"AggregatorTest.java",,,,2,31,18
File,"AlertingTest.java",,,,7,89,65
File,"AllowAllAccessControlProvider.java",,,,0,9,20
File,"AllowAllAccessControlProviderImpl.java",,,,10,75,20
File,"AlreadyKnownDtxException.java",,,,1,8,20
File,"AlternateBinding.java",,,,0,9,20
File,"AlternateBindingRoutingTest.java",,,,1,53,20
