Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ACLFileAccessControlProvider.java",,,,0,15,20
File,"ACLFileAccessControlProviderFactoryTest.java",,,,6,83,21
File,"ACLFileAccessControlProviderImpl.java",,,,12,92,20
File,"ACLFileAccessControlProviderImplTest.java",,,,3,50,20
File,"AESKeyFileEncrypter.java",,,,13,113,20
File,"AESKeyFileEncrypterFactory.java",,,,37,323,20
File,"AESKeyFileEncrypterFactoryTest.java",,,,32,264,27
File,"AESKeyFileEncrypterTest.java",,,,27,170,27
File,"AMQAnyDestination.java",,,,9,54,29
File,"AMQAuthenticationException.java",,,,1,10,25
File,"AMQBindingURL.java",,,,33,189,24
File,"AMQBody.java",,,,0,11,24
File,"AMQCallbackHandler.java",,,,0,7,20
File,"AMQChannel.java",,,,497,3130,179
File,"AMQChannelClosedException.java",,,,1,9,23
File,"AMQChannelException.java",,,,4,32,24
File,"AMQChannelTest.java",,,,8,165,20
File,"AMQConnection.java",,,,262,1554,217
File,"AMQConnectionClosedException.java",,,,1,9,26
File,"AMQConnectionDelegate.java",,,,0,31,37
File,"AMQConnectionDelegate_0_10.java",,,,83,539,62
File,"AMQConnectionDelegate_0_9.java",,,,2,14,20
File,"AMQConnectionDelegate_0_91.java",,,,2,14,20
File,"AMQConnectionDelegate_8_0.java",,,,68,456,54
File,"AMQConnectionException.java",,,,3,32,23
File,"AMQConnectionFactory.java",,,,45,257,110
File,"AMQConnectionFactoryTest.java",,,,4,60,28
File,"AMQConnectionFailureException.java",,,,1,8,23
File,"AMQConnectionURL.java",,,,85,312,21
File,"AMQConnectionUnitTest.java",,,,11,103,27
File,"AMQConstant.java",,,,7,66,125
File,"AMQDataBlock.java",,,,0,7,29
File,"AMQDecoder.java",,,,24,144,51
File,"AMQDecoderTest.java",,,,22,226,20
File,"AMQDestination.java",,,,163,880,41
File,"AMQDestinationTest.java",,,,16,181,51
File,"AMQDisconnectedException.java",,,,1,8,23
File,"AMQException.java",,,,9,54,30
File,"AMQFrame.java",,,,7,43,20
File,"AMQFrame.java",,,,7,55,20
File,"AMQFrameDecodingException.java",,,,2,14,24
File,"AMQHeadersExchange.java",,,,3,19,26
File,"AMQInternalException.java",,,,3,14,31
File,"AMQInvalidArgumentException.java",,,,2,13,23
File,"AMQInvalidArgumentException.java",,,,4,19,20
File,"AMQInvalidRoutingKeyException.java",,,,1,9,23
File,"AMQMessage.java",,,,15,72,23
File,"AMQMessageDelegate.java",,,,0,62,20
File,"AMQMessageDelegateFactory.java",,,,2,22,20
File,"AMQMessageDelegate_0_10.java",,,,143,801,69
File,"AMQMessageDelegate_0_10Test.java",,,,6,90,28
File,"AMQMessageDelegate_0_8.java",,,,98,553,27
File,"AMQMessageHeader.java",,,,0,22,20
File,"AMQMethodBody.java",,,,0,12,22
File,"AMQMethodBodyImpl.java",,,,21,102,28
File,"AMQMethodEvent.java",,,,4,27,55
File,"AMQMethodListener.java",,,,0,8,53
File,"AMQMethodNotImplementedException.java",,,,1,10,20
File,"AMQNoConsumersException.java",,,,1,10,23
File,"AMQNoMethodHandlerException.java",,,,1,11,29
File,"AMQNoRouteException.java",,,,1,10,23
File,"AMQPConnection.java",,,,0,39,20
File,"AMQPConnectionActorTest.java",,,,8,71,44
File,"AMQPConnection_0_10.java",,,,41,278,20
File,"AMQPConnection_0_8.java",,,,0,34,20
File,"AMQPConnection_0_8Impl.java",,,,185,1223,43
File,"AMQPConnection_0_8Test.java",,,,5,182,21
File,"AMQPConnection_1_0.java",,,,217,1341,46
File,"AMQPDescribedTypeRegistry.java",,,,27,297,21
File,"AMQPEncodedListMessage.java",,,,147,745,31
File,"AMQPEncodedListMessageFactory.java",,,,1,12,20
File,"AMQPEncodedListMessageUnitTest.java",,,,8,114,23
File,"AMQPEncodedMapMessage.java",,,,10,75,22
File,"AMQPEncodedMapMessageFactory.java",,,,1,12,20
File,"AMQPEncodedMapMessageTest.java",,,,14,199,27
File,"AMQPFilterTypes.java",,,,3,23,34
File,"AMQPInvalidClassException.java",,,,1,9,26
File,"AMQPProtocolVersionWrapper.java",,,,19,94,20
File,"AMQPProtocolVersionWrapperTest.java",,,,6,50,21
File,"AMQProtocolClassException.java",,,,1,8,25
File,"AMQProtocolException.java",,,,1,9,29
File,"AMQProtocolHandler.java",,,,96,616,156
File,"AMQProtocolHandlerTest.java",,,,20,176,98
File,"AMQProtocolHeaderException.java",,,,1,9,20
File,"AMQProtocolInstanceException.java",,,,1,8,25
File,"AMQProtocolSession.java",,,,61,351,74
File,"AMQProtocolVersionException.java",,,,1,8,25
File,"AMQProtocolWriter.java",,,,0,6,30
File,"AMQQueue.java",,,,18,86,46
File,"AMQQueueBrowser.java",,,,29,174,24
File,"AMQQueueDeferredOrderingTest.java",,,,10,125,23
File,"AMQQueueSessionAdaptor.java",,,,9,42,29
File,"AMQQueueTest.java",,,,1,11,21
File,"AMQSecurityException.java",,,,2,10,31
File,"AMQSession.java",,,,458,2716,631
File,"AMQSessionAdapter.java",,,,32,137,20
File,"AMQSessionModel.java",,,,0,47,50
File,"AMQSessionTest.java",,,,9,92,20
File,"AMQSession_0_10.java",,,,206,1123,187
File,"AMQSession_0_10Test.java",,,,98,681,37
File,"AMQSession_0_8.java",,,,191,1222,100
File,"AMQSession_0_8Test.java",,,,11,138,33
File,"AMQShortString.java",,,,66,343,33
File,"AMQShortStringEncoding.java",,,,5,36,20
File,"AMQShortStringEncodingTest.java",,,,5,46,28
File,"AMQShortStringTest.java",,,,15,108,51
File,"AMQState.java",,,,0,10,24
File,"AMQStateChangedEvent.java",,,,3,19,24
File,"AMQStateListener.java",,,,0,5,20
File,"AMQStateManager.java",,,,20,126,77
File,"AMQTemporaryQueue.java",,,,5,37,23
File,"AMQTemporaryTopic.java",,,,5,38,29
File,"AMQTestConnection_0_10.java",,,,2,13,18
File,"AMQTimeoutException.java",,,,1,9,23
File,"AMQTopic.java",,,,30,176,27
File,"AMQTopicSessionAdaptor.java",,,,8,38,21
File,"AMQType.java",,,,118,611,113
File,"AMQTypeMap.java",,,,3,26,20
File,"AMQTypedValue.java",,,,50,234,28
File,"AMQUndefinedDestination.java",,,,3,19,20
File,"AMQUndeliveredException.java",,,,3,19,23
File,"AMQUnresolvedAddressException.java",,,,2,14,28
File,"AMQVersionAwareProtocolSession.java",,,,0,17,33
File,"AMQXAResource.java",,,,0,8,20
File,"AbruptClientDisconnectTest.java",,,,47,415,29
File,"AbstractACLTestCase.java",,,,17,114,51
File,"AbstractAMQMessageDelegate.java",,,,34,232,83
File,"AbstractAMQPConnection.java",,,,128,787,20
File,"AbstractAccessControlProvider.java",,,,7,65,20
File,"AbstractAuthenticationManager.java",,,,18,151,21
File,"AbstractAuthenticationManagerTest.java",,,,7,65,21
File,"AbstractBDBMessageStore.java",,,,187,1319,104
File,"AbstractBDBPreferenceStore.java",,,,43,356,18
File,"AbstractBrokerHolder.java",,,,32,226,18
File,"AbstractBrokerLogger.java",,,,4,34,20
File,"AbstractBytesTypedMessage.java",,,,11,67,24
File,"AbstractClientAuthCapablePortWithAuthProvider.java",,,,15,94,18
File,"AbstractCommonRulesBasedAccessControlProvider.java",,,,22,163,20
File,"AbstractConfiguredObject.java",,,,544,3106,55
File,"AbstractConfiguredObjectTest.java",,,,33,308,21
File,"AbstractConfiguredObjectTest.java",,,,57,785,59
File,"AbstractConfiguredObjectTest.java",,,,31,338,31
File,"AbstractConfiguredObjectTypeFactory.java",,,,14,103,20
File,"AbstractConsumerTarget.java",,,,31,212,20
File,"AbstractContainer.java",,,,81,430,23
File,"AbstractDecoder.java",,,,91,382,27
File,"AbstractDerbyMessageStore.java",,,,35,260,23
File,"AbstractDescribedTypeWriter.java",,,,21,135,20
File,"AbstractDurableConfigurationStoreTestCase.java",,,,39,454,27
File,"AbstractEncoder.java",,,,114,508,28
File,"AbstractExchange.java",,,,131,778,31
File,"AbstractFixedVirtualHostNodeAlias.java",,,,5,30,20
File,"AbstractFlowCreditManager.java",,,,8,47,20
File,"AbstractJDBCConfigurationStore.java",,,,87,809,30
File,"AbstractJDBCMessageStore.java",,,,207,1720,33
File,"AbstractJDBCPreferenceStore.java",,,,45,387,18
File,"AbstractJMSMessage.java",,,,68,335,37
File,"AbstractJMSMessageFactory.java",,,,25,205,24
File,"AbstractJMSMessageTest.java",,,,4,30,20
File,"AbstractJsonFileStore.java",,,,35,230,19
File,"AbstractKeyStore.java",,,,27,182,22
File,"AbstractLDAPSSLSocketFactory.java",,,,10,62,37
File,"AbstractLegacyAccessControlProvider.java",,,,11,85,20
File,"AbstractListWriter.java",,,,3,18,20
