Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ACLFileAccessControlProvider.java",,,,0,10,20
File,"ACLFileAccessControlProviderFactory.java",,,,3,26,20
File,"ACLFileAccessControlProviderFactoryTest.java",,,,6,81,21
File,"ACLFileAccessControlProviderImpl.java",,,,27,166,20
File,"AMQAnyDestination.java",,,,9,54,29
File,"AMQAuthenticationException.java",,,,1,10,30
File,"AMQBindingURL.java",,,,31,169,24
File,"AMQBody.java",,,,0,12,24
File,"AMQBrokerDetails.java",,,,67,371,47
File,"AMQCallbackHandler.java",,,,0,7,20
File,"AMQChannel.java",,,,220,1342,167
File,"AMQChannelClosedException.java",,,,1,9,30
File,"AMQChannelException.java",,,,3,28,31
File,"AMQChannelTest.java",,,,6,100,21
File,"AMQCodecFactory.java",,,,2,14,43
File,"AMQConnection.java",,,,206,1170,228
File,"AMQConnectionClosedException.java",,,,1,9,33
File,"AMQConnectionDelegate.java",,,,0,30,37
File,"AMQConnectionDelegate_0_10.java",,,,59,387,60
File,"AMQConnectionDelegate_0_9.java",,,,2,14,20
File,"AMQConnectionDelegate_8_0.java",,,,47,302,57
File,"AMQConnectionDelegate_9_1.java",,,,2,14,20
File,"AMQConnectionException.java",,,,2,32,32
File,"AMQConnectionFactory.java",,,,46,262,108
File,"AMQConnectionFactoryTest.java",,,,3,40,27
File,"AMQConnectionFailureException.java",,,,6,24,31
File,"AMQConnectionModel.java",,,,0,39,41
File,"AMQConnectionURL.java",,,,42,219,21
File,"AMQConnectionUnitTest.java",,,,9,77,27
File,"AMQConstant.java",,,,7,66,131
File,"AMQDataBlock.java",,,,0,8,33
File,"AMQDataBlockDecoder.java",,,,8,64,23
File,"AMQDecoder.java",,,,33,211,54
File,"AMQDecoderTest.java",,,,12,123,20
File,"AMQDestination.java",,,,153,794,41
File,"AMQDestinationTest.java",,,,8,101,46
File,"AMQDisconnectedException.java",,,,1,8,30
File,"AMQException.java",,,,14,62,66
File,"AMQExceptionTest.java",,,,7,55,47
File,"AMQFrame.java",,,,11,87,20
File,"AMQFrame.java",,,,7,43,20
File,"AMQFrameDecodingException.java",,,,2,14,29
File,"AMQHeadersExchange.java",,,,4,23,26
File,"AMQInternalException.java",,,,3,14,31
File,"AMQInvalidArgumentException.java",,,,2,13,28
File,"AMQInvalidArgumentException.java",,,,4,19,20
File,"AMQInvalidRoutingKeyException.java",,,,1,9,28
File,"AMQManagedObject.java",,,,5,38,32
File,"AMQMessage.java",,,,15,77,25
File,"AMQMessageDelegate.java",,,,0,62,20
File,"AMQMessageDelegateFactory.java",,,,2,22,20
File,"AMQMessageDelegate_0_10.java",,,,145,827,74
File,"AMQMessageDelegate_0_10Test.java",,,,6,90,28
File,"AMQMessageDelegate_0_8.java",,,,93,515,27
File,"AMQMessageHeader.java",,,,0,21,20
File,"AMQMethodBody.java",,,,0,26,30
File,"AMQMethodBodyFactory.java",,,,2,19,20
File,"AMQMethodBodyImpl.java",,,,43,180,33
File,"AMQMethodBodyInstanceFactory.java",,,,0,7,20
File,"AMQMethodBody_0_9.java",,,,2,12,20
File,"AMQMethodBody_0_91.java",,,,2,12,20
File,"AMQMethodBody_8_0.java",,,,2,12,20
File,"AMQMethodEvent.java",,,,4,27,60
File,"AMQMethodListener.java",,,,0,8,59
File,"AMQMethodNotImplementedException.java",,,,1,10,20
File,"AMQNoConsumersException.java",,,,1,10,28
File,"AMQNoMethodHandlerException.java",,,,1,11,33
File,"AMQNoRouteException.java",,,,1,10,28
File,"AMQPConnectionActorTest.java",,,,8,71,44
File,"AMQPDescribedTypeRegistry.java",,,,27,295,21
File,"AMQPEncodedListMessage.java",,,,147,768,31
File,"AMQPEncodedListMessageFactory.java",,,,2,18,20
File,"AMQPEncodedListMessageUnitTest.java",,,,8,114,23
File,"AMQPEncodedMapMessage.java",,,,10,75,22
File,"AMQPEncodedMapMessageFactory.java",,,,2,18,20
File,"AMQPEncodedMapMessageTest.java",,,,14,199,27
File,"AMQPFilterTypes.java",,,,3,23,39
File,"AMQPFrameTransport.java",,,,22,127,18
File,"AMQPInvalidClassException.java",,,,1,9,31
File,"AMQPProtocolHeaderHandler.java",,,,12,56,20
File,"AMQPTransport.java",,,,17,111,20
File,"AMQPlainSaslServerTest.java",,,,1,20,20
File,"AMQProtocolClassException.java",,,,1,8,30
File,"AMQProtocolEngine.java",,,,207,1269,108
File,"AMQProtocolEngineTest.java",,,,4,59,20
File,"AMQProtocolException.java",,,,1,9,27
File,"AMQProtocolHandler.java",,,,98,613,201
File,"AMQProtocolHandlerTest.java",,,,14,142,98
File,"AMQProtocolHeaderException.java",,,,1,9,30
File,"AMQProtocolInstanceException.java",,,,1,8,30
File,"AMQProtocolSession.java",,,,0,65,101
File,"AMQProtocolSession.java",,,,69,384,79
File,"AMQProtocolSessionTest.java",,,,27,140,21
File,"AMQProtocolVersionException.java",,,,1,8,30
File,"AMQProtocolWriter.java",,,,0,6,35
File,"AMQQueue.java",,,,0,67,45
File,"AMQQueue.java",,,,20,93,61
File,"AMQQueueBrowser.java",,,,28,171,24
File,"AMQQueueDeferredOrderingTest.java",,,,10,100,24
File,"AMQQueueSessionAdaptor.java",,,,9,42,29
File,"AMQQueueTest.java",,,,1,18,21
File,"AMQSecurityException.java",,,,4,18,31
File,"AMQSession.java",,,,409,2417,648
File,"AMQSessionAdapter.java",,,,32,137,20
File,"AMQSessionDirtyException.java",,,,1,10,30
File,"AMQSessionModel.java",,,,0,38,40
File,"AMQSessionTest.java",,,,7,65,24
File,"AMQSession_0_10.java",,,,225,1235,217
File,"AMQSession_0_10Test.java",,,,91,641,32
File,"AMQSession_0_8.java",,,,114,694,92
File,"AMQSession_0_8Test.java",,,,4,43,22
File,"AMQShortString.java",,,,125,606,39
File,"AMQShortStringEncoding.java",,,,5,36,20
File,"AMQShortStringEncodingTest.java",,,,5,46,28
File,"AMQShortStringTest.java",,,,29,234,81
File,"AMQShortStringTokenizer.java",,,,0,7,20
File,"AMQState.java",,,,0,11,24
File,"AMQState.java",,,,2,21,24
File,"AMQStateChangedEvent.java",,,,3,19,24
File,"AMQStateListener.java",,,,0,5,20
File,"AMQStateManager.java",,,,13,99,30
File,"AMQStateManager.java",,,,20,124,73
File,"AMQTemporaryQueue.java",,,,5,38,23
File,"AMQTemporaryTopic.java",,,,5,38,29
File,"AMQTestConnection_0_10.java",,,,2,13,18
File,"AMQTimeoutException.java",,,,1,9,28
File,"AMQTopic.java",,,,33,190,36
File,"AMQTopicSessionAdaptor.java",,,,8,38,21
File,"AMQType.java",,,,111,578,128
File,"AMQTypeMap.java",,,,3,26,20
File,"AMQTypedValue.java",,,,48,227,37
File,"AMQUndefinedDestination.java",,,,3,19,20
File,"AMQUndeliveredException.java",,,,3,19,28
File,"AMQUnknownExchangeType.java",,,,1,8,31
File,"AMQUnresolvedAddressException.java",,,,2,14,33
File,"AMQVersionAwareProtocolSession.java",,,,0,18,38
File,"AMQXAResource.java",,,,0,8,20
File,"AbstractACLTestCase.java",,,,17,115,52
File,"AbstractAMQMessageDelegate.java",,,,23,161,77
File,"AbstractAuthenticationManager.java",,,,42,246,21
File,"AbstractBytesTypedMessage.java",,,,11,69,24
File,"AbstractConfiguration.java",,,,7,46,20
File,"AbstractConfiguredObject.java",,,,272,1484,28
File,"AbstractConfiguredObjectTypeFactory.java",,,,12,78,20
File,"AbstractConsumerTarget.java",,,,7,41,20
File,"AbstractDecoder.java",,,,91,382,27
File,"AbstractDescribedTypeWriter.java",,,,21,135,20
File,"AbstractDurableConfigurationStoreTestCase.java",,,,37,434,26
File,"AbstractEncoder.java",,,,114,508,28
File,"AbstractExchange.java",,,,133,738,27
File,"AbstractFlowCreditManager.java",,,,8,47,20
File,"AbstractJDBCMessageStore.java",,,,244,2161,32
File,"AbstractJMSMessage.java",,,,68,335,37
File,"AbstractJMSMessageFactory.java",,,,15,131,24
File,"AbstractJMSMessageTest.java",,,,4,30,20
File,"AbstractLDAPSSLSocketFactory.java",,,,10,62,40
File,"AbstractListWriter.java",,,,3,18,20
File,"AbstractLogSubject.java",,,,4,23,42
File,"AbstractMapWriter.java",,,,9,59,20
File,"AbstractMemoryMessageStore.java",,,,54,303,21
File,"AbstractMessageLogger.java",,,,27,164,30
File,"AbstractMethodConverter.java",,,,3,19,20
File,"AbstractPasswordFilePrincipalDatabase.java",,,,47,352,51
File,"AbstractPluginAdapter.java",,,,15,81,20
File,"AbstractPort.java",,,,61,340,24
File,"AbstractPortWithAuthProvider.java",,,,12,83,20
File,"AbstractQueue.java",,,,417,2150,156
File,"AbstractQueueTestBase.java",,,,78,763,179
File,"AbstractRunner.java",,,,5,44,20
File,"AbstractServerMessageImpl.java",,,,21,115,34
File,"AbstractServlet.java",,,,29,215,36
File,"AbstractStandardVirtualHostNode.java",,,,14,122,22
File,"AbstractStandardVirtualHostNodeTest.java",,,,7,127,22
File,"AbstractStatisticsGatheringMBean.java",,,,22,150,21
File,"AbstractStoreUpgrade.java",,,,8,48,20
File,"AbstractTestLogSubject.java",,,,16,122,105
File,"AbstractTestLogging.java",,,,37,205,163
File,"AbstractTestMessages.java",,,,15,101,36
File,"AbstractUnresolvedObject.java",,,,40,229,20
File,"AbstractUpgradeTestCase.java",,,,14,135,22
File,"AbstractVirtualHost.java",,,,235,1318,58
File,"AbstractVirtualHostNode.java",,,,37,233,20
File,"AbstractXATestCase.java",,,,7,81,45
File,"Accepted.java",,,,1,14,20
File,"AcceptedConstructor.java",,,,4,38,21
File,"AcceptedWriter.java",,,,16,102,20
File,"AcceptingTransport.java",,,,0,6,20
File,"AccessControl.java",,,,0,13,41
File,"AccessControlFirewallException.java",,,,4,21,21
File,"AccessControlLoggingTest.java",,,,9,106,46
File,"AccessControlMessages.java",,,,7,62,46
File,"AccessControlProvider.java",,,,0,7,20
File,"AccessControlProviderFactory.java",,,,0,12,21
File,"AccessControlProviderRestTest.java",,,,11,173,64
File,"AccessRequestBody.java",,,,0,10,27
File,"AccessRequestBodyImpl.java",,,,21,132,29
File,"AccessRequestBodyImpl.java",,,,21,132,29
File,"AccessRequestHandler.java",,,,6,48,27
File,"AccessRequestOkBody.java",,,,0,5,27
File,"AccessRequestOkBodyImpl.java",,,,11,66,28
File,"AccessRequestOkBodyImpl.java",,,,11,66,28
File,"AccessRequestOkMethodHandler.java",,,,2,22,20
File,"Accessor.java",,,,24,135,20
File,"AckTest.java",,,,27,261,62
File,"Acknowledge2ConsumersTest.java",,,,12,89,82
File,"AcknowledgeMode.java",,,,0,7,20
File,"AcknowledgeOnMessageTest.java",,,,15,112,88
File,"AcknowledgeTest.java",,,,17,106,53
File,"AcknowledgeTest.java",,,,16,115,32
File,"AclAction.java",,,,12,73,18
File,"AclActionTest.java",,,,2,35,18
File,"AclRulePredicates.java",,,,10,66,22
File,"AclRulePredicatesTest.java",,,,6,52,19
File,"Acquired.java",,,,20,81,20
File,"Action.java",,,,0,8,20
File,"Action.java",,,,0,5,20
File,"Action.java",,,,21,117,33
File,"ActionTest.java",,,,9,62,18
File,"AddQueue.java",,,,9,98,29
File,"Address.java",,,,6,38,24
File,"AddressBasedDestinationTest.java",,,,83,1071,144
File,"AddressBasedFailoverBehaviourTest.java",,,,1,12,20
File,"AddressHelper.java",,,,40,243,26
File,"AddressHelperTest.java",,,,9,119,20
File,"AddressParser.java",,,,61,353,30
File,"AdminObjectFactory.java",,,,6,41,20
File,"AggregatedTestResult.java",,,,10,58,24
File,"Aggregator.java",,,,3,20,18
File,"AggregatorTest.java",,,,2,31,18
File,"AlertingTest.java",,,,7,101,68
File,"AlreadyKnownDtxException.java",,,,1,9,20
File,"AmqPlainInitialiser.java",,,,1,9,20
File,"AmqPlainSaslClient.java",,,,10,64,28
File,"AmqPlainSaslClientFactory.java",,,,6,38,21
File,"AmqPlainSaslServer.java",,,,14,94,23
File,"AmqPlainSaslServerFactory.java",,,,4,36,21
File,"AmqpClass.java",,,,25,151,20
File,"AmqpClassMap.java",,,,0,6,20
File,"AmqpConstant.java",,,,15,83,93
File,"AmqpConstantSet.java",,,,15,82,59
File,"AmqpDomain.java",,,,11,59,21
File,"AmqpDomainMap.java",,,,16,91,27
File,"AmqpDomainVersionMap.java",,,,7,38,21
File,"AmqpError.java",,,,30,144,21
File,"AmqpErrorException.java",,,,4,26,20
File,"AmqpField.java",,,,41,210,28
File,"AmqpFieldMap.java",,,,68,354,62
File,"AmqpFlagMap.java",,,,10,51,21
File,"AmqpMessage.java",,,,0,9,18
File,"AmqpMessageImpl.java",,,,7,51,18
File,"AmqpMethod.java",,,,51,286,22
File,"AmqpMethodMap.java",,,,2,13,20
File,"AmqpModel.java",,,,15,90,20
File,"AmqpOrdinalFieldMap.java",,,,11,65,30
File,"AmqpOrdinalVersionMap.java",,,,10,51,21
File,"AmqpOverloadedParameterMap.java",,,,0,6,20
File,"AmqpParseException.java",,,,1,9,20
File,"AmqpPort.java",,,,0,28,20
File,"AmqpPortFactory.java",,,,2,18,20
File,"AmqpPortImpl.java",,,,32,210,20
File,"AmqpSequence.java",,,,4,30,20
File,"AmqpSequenceConstructor.java",,,,4,33,21
File,"AmqpSequenceWriter.java",,,,7,43,20
File,"AmqpTemplateException.java",,,,1,9,20
File,"AmqpTypeMappingException.java",,,,1,9,20
File,"AmqpValue.java",,,,4,27,20
File,"AmqpValueConstructor.java",,,,4,32,21
File,"AmqpValueWriter.java",,,,7,43,20
File,"AmqpVersion.java",,,,9,44,20
File,"AmqpVersionSet.java",,,,10,53,20
File,"AnonymousAccessRestTest.java",,,,7,73,23
File,"AnonymousAuthenticationManager.java",,,,12,82,22
File,"AnonymousAuthenticationManagerFactory.java",,,,4,32,19
File,"AnonymousAuthenticationManagerTest.java",,,,7,58,21
File,"AnonymousSaslClient.java",,,,8,30,20
File,"AnonymousSaslClientFactory.java",,,,4,28,20
File,"AnonymousSaslServer.java",,,,9,44,20
File,"AnonymousSaslServerFactory.java",,,,4,37,21
File,"ApplicationProperties.java",,,,3,23,20
File,"ApplicationPropertiesConstructor.java",,,,4,33,21
File,"ApplicationPropertiesWriter.java",,,,7,43,20
File,"ApplicationRegistry.java",,,,7,82,29
File,"ArgumentParser.java",,,,5,28,20
File,"ArgumentParserTest.java",,,,5,59,20
File,"ArithmeticExpression.java",,,,42,196,32
File,"ArrayTypeConstructor.java",,,,11,75,18
File,"ArrayWriter.java",,,,8,42,24
File,"Assembler.java",,,,35,223,27
File,"Asserts.java",,,,20,327,20
File,"AssignedConsumerMessageGroupManager.java",,,,21,121,20
File,"AsyncAutoCommitTransaction.java",,,,39,245,34
File,"AsyncAutoCommitTransactionTest.java",,,,6,89,18
File,"AsynchMessageListenerTest.java",,,,25,247,47
File,"Attach.java",,,,60,269,20
File,"AttachConstructor.java",,,,48,318,35
File,"AttachWriter.java",,,,43,178,20
File,"AttributeValueConverter.java",,,,122,666,23
File,"AuthenticatedPrincipal.java",,,,15,83,24
File,"AuthenticatedPrincipalTest.java",,,,13,102,20
File,"AuthenticatedPrincipalTestHelper.java",,,,2,25,22
File,"AuthenticationManager.java",,,,0,15,67
File,"AuthenticationManagerFactory.java",,,,0,12,31
File,"AuthenticationMethod.java",,,,0,7,22
File,"AuthenticationProvider.java",,,,0,20,65
File,"AuthenticationProviderInitialiser.java",,,,0,7,29
File,"AuthenticationProviderRestTest.java",,,,18,253,24
File,"AuthenticationResult.java",,,,12,84,44
File,"AuthenticationResultTest.java",,,,9,75,20
File,"AuthorizationHolder.java",,,,0,8,38
File,"AutoCommitTransaction.java",,,,30,177,31
File,"AutoCommitTransactionTest.java",,,,29,259,100
File,"AveragedRun.java",,,,7,39,20
File,"BBDecoder.java",,,,20,101,26
File,"BBEncoder.java",,,,49,301,26
File,"BBEncoderTest.java",,,,1,17,24
File,"BDBBackup.java",,,,28,196,118
File,"BDBBackupTest.java",,,,13,147,23
File,"BDBConfiguredObjectRecord.java",,,,20,78,20
File,"BDBHAMessageStoreManagerMBean.java",,,,22,182,22
File,"BDBHAMessageStoreManagerMBeanProvider.java",,,,5,44,25
File,"BDBHAMessageStoreManagerMBeanTest.java",,,,22,157,21
File,"BDBHAVirtualHost.java",,,,5,40,20
File,"BDBHAVirtualHostFactory.java",,,,2,19,20
File,"BDBHAVirtualHostNode.java",,,,0,33,20
File,"BDBHAVirtualHostNodeFactory.java",,,,2,18,20
File,"BDBHAVirtualHostNodeImpl.java",,,,42,296,20
File,"BDBHAVirtualHostNodeTest.java",,,,11,144,20
File,"BDBMessageStore.java",,,,222,1438,118
File,"BDBMessageStoreConfigurationTest.java",,,,1,11,20
File,"BDBMessageStoreFactory.java",,,,9,53,20
File,"BDBMessageStoreQuotaEventsTest.java",,,,3,38,33
File,"BDBMessageStoreTest.java",,,,23,295,63
File,"BDBStoreUpgradeTestPreparer.java",,,,18,213,103
File,"BDBUpgradeTest.java",,,,30,376,106
File,"BDBVirtualHostNode.java",,,,0,10,20
File,"BDBVirtualHostNodeFactory.java",,,,2,18,20
File,"BDBVirtualHostNodeImpl.java",,,,5,41,20
File,"BarChart3DBuilder.java",,,,2,29,19
File,"BarChartBuilder.java",,,,2,29,19
File,"Base64MD5PasswordDatabaseAuthenticationManager.java",,,,2,21,20
File,"Base64MD5PasswordFileAuthenticationManagerFactory.java",,,,5,60,20
File,"Base64MD5PasswordFilePrincipalDatabase.java",,,,14,95,38
File,"Base64MD5PasswordFilePrincipalDatabaseTest.java",,,,38,340,27
File,"BaseActorTestCase.java",,,,12,71,20
File,"BaseChartBuilder.java",,,,6,60,32
File,"BaseChartBuilderTest.java",,,,6,84,22
File,"BaseConnectionActorTestCase.java",,,,6,46,20
File,"BaseQueue.java",,,,0,12,20
File,"BaseTask.java",,,,7,38,23
File,"BasicAckBody.java",,,,0,6,27
File,"BasicAckBodyImpl.java",,,,13,83,29
File,"BasicAckBodyImpl.java",,,,13,83,29
File,"BasicAckBodyImpl.java",,,,13,83,29
File,"BasicAckMethodHandler.java",,,,5,34,21
File,"BasicAuthRestTest.java",,,,9,75,30
File,"BasicCancelBody.java",,,,0,6,27
File,"BasicCancelBodyImpl.java",,,,13,84,29
File,"BasicCancelBodyImpl.java",,,,13,84,29
File,"BasicCancelBodyImpl.java",,,,13,84,29
File,"BasicCancelMethodHandler.java",,,,6,44,20
File,"BasicCancelOkBody.java",,,,0,5,27
File,"BasicCancelOkBodyImpl.java",,,,11,67,28
File,"BasicCancelOkBodyImpl.java",,,,11,67,28
File,"BasicCancelOkBodyImpl.java",,,,11,67,28
File,"BasicCancelOkMethodHandler.java",,,,4,27,20
File,"BasicConsumeBody.java",,,,0,12,27
File,"BasicConsumeBodyImpl.java",,,,22,158,32
File,"BasicConsumeBodyImpl.java",,,,22,158,32
File,"BasicConsumeBodyImpl.java",,,,22,158,32
File,"BasicConsumeMethodHandler.java",,,,17,146,22
File,"BasicConsumeOkBody.java",,,,0,5,27
File,"BasicConsumeOkBodyImpl.java",,,,11,67,28
File,"BasicConsumeOkBodyImpl.java",,,,11,67,28
File,"BasicConsumeOkBodyImpl.java",,,,11,67,28
File,"BasicContentHeaderProperties.java",,,,132,581,21
File,"BasicContentHeaderPropertiesTest.java",,,,20,136,27
File,"BasicDeliverBody.java",,,,0,9,27
File,"BasicDeliverBodyImpl.java",,,,16,122,32
File,"BasicDeliverBodyImpl.java",,,,16,122,32
File,"BasicDeliverBodyImpl.java",,,,16,122,32
File,"BasicDeliverMethodHandler.java",,,,3,32,20
File,"BasicDistributedClientTest.java",,,,11,134,19
File,"BasicGetBody.java",,,,0,7,27
File,"BasicGetBodyImpl.java",,,,14,96,30
File,"BasicGetBodyImpl.java",,,,14,96,30
File,"BasicGetBodyImpl.java",,,,14,96,30
File,"BasicGetEmptyBody.java",,,,0,5,27
File,"BasicGetEmptyBodyImpl.java",,,,11,67,28
File,"BasicGetEmptyBodyImpl.java",,,,11,67,28
File,"BasicGetEmptyBodyImpl.java",,,,11,67,28
File,"BasicGetMethodHandler.java",,,,18,171,21
File,"BasicGetOkBody.java",,,,0,9,27
File,"BasicGetOkBodyImpl.java",,,,16,121,32
File,"BasicGetOkBodyImpl.java",,,,16,121,32
File,"BasicGetOkBodyImpl.java",,,,16,121,32
File,"BasicMessageConsumer.java",,,,130,737,155
File,"BasicMessageConsumer_0_10.java",,,,72,416,95
File,"BasicMessageConsumer_0_8.java",,,,12,94,21
File,"BasicMessageConsumer_0_8_Test.java",,,,4,49,46
File,"BasicMessageProducer.java",,,,94,529,76
File,"BasicMessageProducer_0_10.java",,,,38,225,30
File,"BasicMessageProducer_0_8.java",,,,22,182,36
File,"BasicPublishBody.java",,,,0,9,27
File,"BasicPublishBodyImpl.java",,,,17,121,31
File,"BasicPublishBodyImpl.java",,,,17,121,31
File,"BasicPublishBodyImpl.java",,,,17,121,31
File,"BasicPublishMethodHandler.java",,,,8,67,25
File,"BasicQosBody.java",,,,0,7,27
File,"BasicQosBodyImpl.java",,,,14,95,30
File,"BasicQosBodyImpl.java",,,,14,95,30
File,"BasicQosBodyImpl.java",,,,14,95,30
File,"BasicQosHandler.java",,,,3,31,20
File,"BasicQosOkBody.java",,,,0,4,27
File,"BasicQosOkBodyImpl.java",,,,10,55,27
File,"BasicQosOkBodyImpl.java",,,,10,55,27
File,"BasicQosOkBodyImpl.java",,,,10,55,27
File,"BasicRecoverBody.java",,,,0,5,27
File,"BasicRecoverBodyImpl.java",,,,12,71,28
File,"BasicRecoverBodyImpl.java",,,,12,71,28
File,"BasicRecoverBodyImpl.java",,,,12,71,28
File,"BasicRecoverMethodHandler.java",,,,4,38,22
File,"BasicRecoverOkBody.java",,,,0,4,27
File,"BasicRecoverOkBodyImpl.java",,,,10,55,27
File,"BasicRecoverSyncBody.java",,,,0,5,27
File,"BasicRecoverSyncBodyImpl.java",,,,12,71,28
File,"BasicRecoverSyncBodyImpl.java",,,,12,71,28
File,"BasicRecoverSyncMethodHandler.java",,,,5,45,22
File,"BasicRecoverSyncOkBody.java",,,,0,4,27
File,"BasicRecoverSyncOkBodyImpl.java",,,,10,55,27
File,"BasicRecoverSyncOkBodyImpl.java",,,,10,55,27
File,"BasicRejectBody.java",,,,0,6,27
File,"BasicRejectBodyImpl.java",,,,13,83,29
File,"BasicRejectBodyImpl.java",,,,13,83,29
File,"BasicRejectBodyImpl.java",,,,13,83,29
File,"BasicRejectMethodHandler.java",,,,11,84,29
File,"BasicReporter.java",,,,11,71,33
File,"BasicReturnBody.java",,,,0,8,27
File,"BasicReturnBodyImpl.java",,,,14,105,31
File,"BasicReturnBodyImpl.java",,,,14,105,31
File,"BasicReturnBodyImpl.java",,,,14,105,31
File,"BasicReturnMethodHandler.java",,,,2,29,20
File,"Begin.java",,,,36,167,20
File,"BeginConstructor.java",,,,30,204,29
File,"BeginWriter.java",,,,31,142,20
File,"Benchmark.java",,,,27,227,34
File,"BenchmarkResultWriter.java",,,,6,43,18
File,"Binary.java",,,,21,104,24
File,"Binary.java",,,,21,114,20
File,"BinaryExpression.java",,,,7,36,42
File,"BinaryString.java",,,,10,57,20
File,"BinaryTypeConstructor.java",,,,5,38,27
File,"BinaryWriter.java",,,,7,44,20
File,"Binding.java",,,,0,6,24
File,"Binding.java",,,,0,19,22
File,"BindingFactory.java",,,,2,24,20
File,"BindingImpl.java",,,,42,221,20
File,"BindingLogSubject.java",,,,1,21,29
File,"BindingLogSubjectTest.java",,,,4,43,28
File,"BindingLoggingTest.java",,,,7,97,87
File,"BindingMessages.java",,,,9,74,48
File,"BindingMessagesTest.java",,,,3,27,23
File,"BindingRestTest.java",,,,10,91,20
File,"BindingURL.java",,,,0,25,31
File,"BindingURLParser.java",,,,57,368,62
File,"BitFieldGenerateMethod.java",,,,0,6,20
File,"BlockingMethodFrameListener.java",,,,4,36,85
File,"BlockingWaiter.java",,,,25,176,124
File,"BodyFactory.java",,,,0,7,23
File,"BoneCPConnectionProvider.java",,,,3,37,20
File,"BoneCPConnectionProviderFactory.java",,,,2,18,20
File,"BooleanConstructor.java",,,,7,52,18
File,"BooleanExpression.java",,,,0,5,28
File,"BooleanWriter.java",,,,8,40,20
File,"Broker.java",,,,0,107,34
File,"Broker.java",,,,31,257,25
File,"BrokerACLTest.java",,,,67,754,31
File,"BrokerAdapter.java",,,,171,939,48
File,"BrokerAdapterFactory.java",,,,2,18,20
File,"BrokerClosesClientConnectionTest.java",,,,17,144,26
File,"BrokerCommandHelper.java",,,,7,48,24
File,"BrokerCommandHelperTest.java",,,,5,34,17
File,"BrokerConfigurationStoreCreator.java",,,,6,44,33
File,"BrokerConfigurationStoreCreatorTest.java",,,,11,142,24
File,"BrokerDetails.java",,,,0,51,36
File,"BrokerDetailsTest.java",,,,17,130,38
File,"BrokerHolder.java",,,,0,8,20
File,"BrokerLoggingTest.java",,,,69,519,342
File,"BrokerManagementTest.java",,,,7,61,37
File,"BrokerMessages.java",,,,37,258,132
File,"BrokerMessagesTest.java",,,,9,84,23
File,"BrokerModel.java",,,,15,119,29
File,"BrokerOptions.java",,,,40,209,102
File,"BrokerOptionsTest.java",,,,37,225,27
File,"BrokerProperties.java",,,,6,47,23
File,"BrokerPropertiesTest.java",,,,3,25,20
File,"BrokerRecovererTest.java",,,,22,246,23
File,"BrokerRestHttpsClientCertAuthTest.java",,,,3,52,21
File,"BrokerRestHttpsTest.java",,,,3,49,20
File,"BrokerRestTest.java",,,,14,183,20
File,"BrokerStartupTest.java",,,,8,85,68
File,"BrokerStoreUpgraderAndRecoverer.java",,,,63,466,22
File,"BrokerTestHelper.java",,,,13,164,20
File,"BrokerTestHelper_0_8.java",,,,8,69,23
File,"ByteArrayDataInput.java",,,,27,142,20
File,"ByteArrayWriter.java",,,,6,35,20
File,"ByteBufferInputStream.java",,,,11,61,23
File,"ByteBufferInputStreamTest.java",,,,8,72,20
File,"ByteBufferMessage.java",,,,24,136,35
File,"ByteBufferOutputStream.java",,,,3,21,20
File,"ByteBufferWriter.java",,,,7,45,20
File,"ByteTypeConstructor.java",,,,4,30,20
File,"ByteWriter.java",,,,10,57,20
File,"BytesDataOutput.java",,,,24,129,20
File,"BytesMessage.java",,,,0,4,20
File,"BytesMessageImpl.java",,,,76,468,20
File,"BytesMessageTest.java",,,,62,476,56
File,"BytesMessageTest.java",,,,33,249,33
