Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteMojo.java",,,,28,184,29
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"HelloWorld.java",,,,1,6,0
File,"MavenLoggingMeterRegistry.java",,,,44,183,16
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,98,2
File,"MyInterface.java",,,,0,3,0
File,"RewriteDiffMojo.java",,,,9,66,16
File,"RewriteDiscoverMojo.java",,,,6,40,0
File,"RewriteFixMojo.java",,,,13,78,19
File,"RewritePublishMojo.java",,,,9,87,55
File,"RewriteWarnMojo.java",,,,6,43,15
File,"RewriteWarnMojoTest.java",,,,5,87,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,141,866,152
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",31,71,67,20,159,29
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ChangesContainer",5,0,0,8,31,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ChangesContainer.ChangesContainer",,,,6,16,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ChangesContainer.isNotEmpty",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ChangesContainer.stream",,,,1,6,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,5,24,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.environment.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listChanges",,,,9,69,28
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listChanges.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listChanges.(lambda_expr_2)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listChanges.(lambda_expr_3)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listChanges.(lambda_expr_4)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources",,,,4,14,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logVisitorsThatMadeChanges",,,,2,5,0
Public Class,"org.openrewrite.maven.MavenLoggingMeterRegistry",35,92,92,23,162,1
Public Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.MavenLoggingMeterRegistry",,,,1,4,0
Class,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer",10,62,37,12,37,1
Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.Printer",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.count",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableBaseUnit",,,,3,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableByteCount",,,,2,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id",,,,2,5,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id.(lambda_expr_1)",,,,1,1,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.time",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.unitlessCount",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.value",,,,1,3,0
Public Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close",,,,4,54,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_1)",,,,2,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2)",,,,10,44,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_10)",,,,1,5,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_11)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_3)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_4)",,,,1,4,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_5)",,,,1,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_6)",,,,1,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_7)",,,,1,6,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_8)",,,,1,4,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_9)",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.defaultHistogramConfig",,,,1,7,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.getBaseTimeUnit",,,,1,4,0
