Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteMojo.java",,,,45,286,9
File,"CycloneDxBomMojo.java",,,,4,44,4
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"HelloWorld.java",,,,1,6,0
File,"MavenLoggingMeterRegistry.java",,,,44,183,16
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,104,2
File,"MyInterface.java",,,,0,3,0
File,"RewriteDiffMojo.java",,,,10,72,16
File,"RewriteDiscoverMojo.java",,,,32,127,0
File,"RewriteFixMojo.java",,,,13,91,21
File,"RewriteWarnMojo.java",,,,6,48,15
File,"RewriteWarnMojoTest.java",,,,5,89,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,180,1044,83
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",43,82,79,35,258,9
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer",5,33,33,8,30,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.ResultsContainer",,,,6,17,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getProjectRoot",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.isNotEmpty",,,,1,3,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,5,21,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.environment.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext",,,,3,8,4
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext.(lambda_expr_1)",,,,2,6,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getBaseDir",,,,3,13,2
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources",,,,6,21,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources.(lambda_expr_2)",,,,2,7,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults",,,,6,82,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_2)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_3)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listener",,,,1,12,0
Anonymous Class,"org.openrewrite.maven.AbstractRewriteMojo.listener.(Anon_1)",3,0,0,2,9,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.listener.(Anon_1).onError",,,,1,4,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.listener.(Anon_1).onError",,,,1,4,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipesThatMadeChanges",,,,2,5,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven",,,,9,44,2
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_2)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_3)",,,,2,8,0
Public Class,"org.openrewrite.maven.CycloneDxBomMojo",16,50,50,4,32,4
