Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteMojo.java",,,,41,226,5
File,"ArtifactResolver.java",,,,8,57,0
File,"BadSpacing.java",,,,0,3,0
File,"BasicIT.java",,,,8,56,2
File,"ConfigurableRewriteMojo.java",,,,19,118,11
File,"ConfigureMojo.java",,,,9,95,5
File,"ConfigureMojoIT.java",,,,2,22,0
File,"CycloneDxBomMojo.java",,,,4,49,4
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"InitMojo.java",,,,12,105,6
File,"InitMojoIT.java",,,,2,23,0
File,"MavenLoggingMeterRegistry.java",,,,44,184,16
File,"MavenMojoProjectParser.java",,,,47,323,30
File,"MavenOptsHelper.java",,,,9,44,15
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,104,2
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"RecipeDescriptorTree.java",,,,17,64,8
File,"RecipeDescriptorTreePrompter.java",,,,15,79,9
File,"RemoveMojo.java",,,,2,48,5
File,"RemoveMojoIT.java",,,,2,18,0
File,"ResourceParser.java",,,,15,95,0
File,"RewriteCycloneDxIT.java",,,,3,66,0
File,"RewriteDiscoverIT.java",,,,13,67,0
File,"RewriteDiscoverMojo.java",,,,20,108,21
File,"RewriteDryRunIT.java",,,,8,42,0
File,"RewriteDryRunMojo.java",,,,10,83,22
File,"RewriteRunIT.java",,,,4,29,0
File,"RewriteRunMojo.java",,,,16,104,21
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,319,2067,180
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",55,77,68,33,189,5
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer",5,33,33,8,30,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.ResultsContainer",,,,6,17,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getProjectRoot",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.isNotEmpty",,,,1,3,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,5,22,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext",,,,2,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext.(lambda_expr_1)",,,,1,4,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getBaseDir",,,,3,12,2
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeClassloader",,,,4,20,0
Public Static Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor",,,,3,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_2)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults",,,,14,70,2
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_1)",,,,1,3,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_2)",,,,2,6,1
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipesThatMadeChanges",,,,2,5,0
Public Class,"org.openrewrite.maven.ArtifactResolver",16,22,22,8,43,0
Public Constructor,"org.openrewrite.maven.ArtifactResolver.ArtifactResolver",,,,1,5,0
Public Method,"org.openrewrite.maven.ArtifactResolver.createArtifact",,,,2,7,0
Public Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies",,,,5,25,0
Lambda Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies.(lambda_expr_1)",,,,1,1,0
Public Class,"org.openrewrite.maven.BasicIT",8,0,0,8,51,2
Method,"org.openrewrite.maven.BasicIT.groupid_artifactid_should_be_ok",,,,1,8,0
Method,"org.openrewrite.maven.BasicIT.null_check_profile_activation",,,,2,15,0
Lambda Method,"org.openrewrite.maven.BasicIT.null_check_profile_activation.(lambda_expr_1)",,,,1,1,0
Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties",,,,3,11,1
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_maven_properties_from_user_provided_system_properties.(lambda_expr_2)",,,,1,1,0
Method,"org.openrewrite.maven.BasicIT.resolves_settings",,,,2,12,1
Lambda Method,"org.openrewrite.maven.BasicIT.resolves_settings.(lambda_expr_1)",,,,1,1,0
Public Abstract Class,"org.openrewrite.maven.ConfigurableRewriteMojo",11,91,91,19,113,11
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getActiveRecipes",,,,4,14,0
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getActiveStyles",,,,4,14,0
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getExclusions",,,,2,9,0
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getRecipeArtifactCoordinates",,,,3,10,0
Private Static Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toLinkedHashSet",,,,3,6,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toLinkedHashSet.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toLinkedHashSet.(lambda_expr_2)",,,,1,1,0
Private Static Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet",,,,3,6,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet.(lambda_expr_2)",,,,1,1,0
Public Class,"org.openrewrite.maven.ConfigureMojo",27,66,50,9,76,5
Public Method,"org.openrewrite.maven.ConfigureMojo.execute",,,,3,27,0
Protected Method,"org.openrewrite.maven.ConfigureMojo.getConfiguration",,,,3,12,0
Lambda Method,"org.openrewrite.maven.ConfigureMojo.getConfiguration.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.ConfigureMojo.getExecutions",,,,3,14,0
Lambda Method,"org.openrewrite.maven.ConfigureMojo.getExecutions.(lambda_expr_1)",,,,1,1,0
Public Class,"org.openrewrite.maven.ConfigureMojoIT",7,0,0,2,18,0
Method,"org.openrewrite.maven.ConfigureMojoIT.single_project",,,,2,8,0
Lambda Method,"org.openrewrite.maven.ConfigureMojoIT.single_project.(lambda_expr_1)",,,,1,1,0
Public Class,"org.openrewrite.maven.CycloneDxBomMojo",16,50,50,4,34,4
Private Method,"org.openrewrite.maven.CycloneDxBomMojo.buildCycloneDxBom",,,,2,14,1
Public Method,"org.openrewrite.maven.CycloneDxBomMojo.execute",,,,2,12,0
Public Class,"org.openrewrite.maven.InitMojo",27,75,62,12,90,6
Public Method,"org.openrewrite.maven.InitMojo.execute",,,,4,30,0
Protected Method,"org.openrewrite.maven.InitMojo.getConfiguration",,,,3,12,0
Lambda Method,"org.openrewrite.maven.InitMojo.getConfiguration.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.InitMojo.getExecutions",,,,3,14,0
Lambda Method,"org.openrewrite.maven.InitMojo.getExecutions.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.InitMojo.getVersion",,,,2,6,1
Public Class,"org.openrewrite.maven.InitMojoIT",7,0,0,2,19,0
Method,"org.openrewrite.maven.InitMojoIT.single_project",,,,2,8,0
