Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"AsyncFuture.java",,,,18,84,6
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,36,0
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncService.java",,,,1,15,15
File,"AsynchronousCircuitBreakerTest.java",,,,8,51,21
File,"AsynchronousCompletionStageFallbackTest.java",,,,4,34,15
File,"AsynchronousCompletionStageRetryTest.java",,,,8,67,15
File,"AsynchronousFallbackTest.java",,,,5,39,15
File,"AsynchronousMethodNotFutureTest.java",,,,2,21,19
File,"AsynchronousRequestContextTest.java",,,,2,21,19
File,"AsynchronousRetryTest.java",,,,9,68,19
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BaseService.java",,,,2,13,0
File,"BitsetRollingWindow.java",,,,6,37,0
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"BulkheadBase.java",,,,8,42,3
File,"BulkheadConfig.java",,,,7,40,18
File,"BulkheadFallbackRejectTest.java",,,,6,47,20
File,"BulkheadTest.java",,,,5,49,20
File,"BulkheadTest.java",,,,20,112,6
File,"Cancellator.java",,,,4,24,3
File,"CircuitBreakerAndRetryTest.java",,,,10,66,10
File,"CircuitBreakerBase.java",,,,37,216,8
File,"CircuitBreakerConfig.java",,,,9,63,18
File,"CircuitBreakerFailOnMetricsTest.java",,,,4,40,15
File,"CircuitBreakerFailOnTest.java",,,,3,23,20
File,"CircuitBreakerLastSuccessOpensTest.java",,,,8,54,20
File,"CircuitBreakerListener.java",,,,0,6,4
File,"CircuitBreakerRetryFallbackTest.java",,,,3,24,22
File,"CircuitBreakerRollingWindowTest.java",,,,11,68,24
File,"CircuitBreakerTest.java",,,,51,88,11
File,"CircuitBreakerWithFallbackTest.java",,,,3,24,21
File,"CommandInterceptorTest.java",,,,47,213,38
File,"CompletionStageBulkhead.java",,,,11,88,3
File,"CompletionStageBulkheadTest.java",,,,36,213,8
File,"CompletionStageCircuitBreaker.java",,,,21,124,4
File,"CompletionStageCircuitBreakerTest.java",,,,9,121,14
File,"CompletionStageFallback.java",,,,10,54,0
File,"CompletionStageFallbackTest.java",,,,48,229,2
File,"CompletionStageRetry.java",,,,23,122,2
File,"CompletionStageRetryTest.java",,,,22,145,3
File,"CompletionStageTimeout.java",,,,11,49,7
File,"CompletionStageTimeoutTest.java",,,,32,212,0
File,"CompletionStages.java",,,,2,13,3
File,"ConfigParameterPriorityTest.java",,,,2,45,25
File,"ContextPropagationExecutorFactory.java",,,,4,30,3
File,"CustomExtension.java",,,,21,108,15
File,"DefaultExecutorFactory.java",,,,4,26,3
File,"DefaultFallbackHandlerProvider.java",,,,3,34,7
File,"DefaultFaultToleranceOperationProvider.java",,,,11,50,23
File,"DefaultMethodFallbackProvider.java",,,,1,17,6
File,"DefaultMethodFallbackProvider.java",,,,2,19,6
File,"DefaultRollingWindowTest.java",,,,1,7,0
File,"Delay.java",,,,0,6,0
File,"ExecutionContextWithInvocationContext.java",,,,7,32,18
File,"ExecutorFactory.java",,,,0,10,33
File,"ExecutorProvider.java",,,,7,53,5
File,"ExtensionAnnotationTest.java",,,,3,45,21
File,"FallbackAndRetryTest.java",,,,6,37,0
File,"FallbackBase.java",,,,5,36,0
File,"FallbackConfig.java",,,,27,120,25
File,"FallbackFunction.java",,,,0,5,0
File,"FallbackHandlerProvider.java",,,,0,7,26
File,"FallbackTest.java",,,,25,104,2
File,"FaultToleranceApplicationArchiveProcessor.java",,,,7,60,19
File,"FaultToleranceBinding.java",,,,0,21,18
File,"FaultToleranceExtension.java",,,,22,130,33
File,"FaultToleranceExtension.java",,,,1,11,19
File,"FaultToleranceInterceptor.java",,,,74,494,28
File,"FaultToleranceOperation.java",,,,48,213,23
File,"FaultToleranceOperationProvider.java",,,,0,7,29
File,"FaultToleranceOperations.java",,,,1,13,15
File,"FaultToleranceStrategy.java",,,,0,6,21
File,"FaultyService.java",,,,2,12,23
File,"FaultyService.java",,,,4,29,15
File,"FixedJitter.java",,,,2,12,3
File,"FixedJitterTest.java",,,,8,33,0
File,"FutureBulkhead.java",,,,12,78,4
File,"FutureBulkheadTest.java",,,,32,192,11
File,"FutureCircuitBreaker.java",,,,2,19,0
File,"FutureCircuitBreakerTest.java",,,,51,96,11
File,"FutureFallback.java",,,,3,16,3
File,"FutureFallbackTest.java",,,,10,54,0
File,"FutureInvocationContext.java",,,,3,18,7
File,"FutureOrFailure.java",,,,20,106,4
File,"FutureRetry.java",,,,2,23,3
File,"FutureRetryTest.java",,,,16,123,3
File,"FutureStringFallbackHandler.java",,,,3,25,18
File,"FutureTestInvocation.java",,,,6,33,0
File,"FutureTestInvocation.java",,,,7,35,0
File,"FutureTestInvocation.java",,,,9,49,0
File,"FutureTestInvocation.java",,,,7,35,0
File,"FutureTestThread.java",,,,9,46,2
File,"FutureTimeout.java",,,,15,70,6
File,"FutureTimeoutTest.java",,,,33,200,4
File,"GenericConfig.java",,,,28,114,38
File,"HelloService.java",,,,2,15,0
File,"HelloService.java",,,,2,15,15
File,"HelloService.java",,,,0,5,0
File,"InterfaceFaultToleranceOperationsTest.java",,,,1,33,0
File,"InvalidParameterizedFallbackMethod.java",,,,2,19,15
File,"Invocation.java",,,,3,15,7
File,"InvocationContext.java",,,,0,5,6
File,"InvocationTest.java",,,,4,17,0
File,"Jitter.java",,,,0,5,3
File,"MetricNames.java",,,,2,32,0
File,"MetricsCollector.java",,,,0,11,0
File,"MetricsCollectorFactory.java",,,,43,205,3
File,"MyFallbackHandler.java",,,,3,23,18
File,"MyMicroservice.java",,,,23,112,21
File,"MyRetryMicroservice.java",,,,11,60,16
File,"NaiveRollingWindow.java",,,,8,40,0
File,"NaiveRollingWindowTest.java",,,,1,7,0
File,"NonPublicFallbackMethodTest.java",,,,3,32,19
File,"ParameterizedFallbackMethodTest.java",,,,2,21,19
File,"PingService.java",,,,4,24,15
File,"PingService.java",,,,3,21,15
File,"PingService.java",,,,2,17,15
File,"PingService.java",,,,2,13,15
File,"PingService.java",,,,3,21,15
File,"Preconditions.java",,,,5,17,1
File,"RandomJitter.java",,,,2,13,5
File,"RandomJitterTest.java",,,,8,32,0
File,"RealWorldCompletionStageTimeoutTest.java",,,,10,98,0
File,"RequestFoo.java",,,,2,14,15
File,"RetryBase.java",,,,22,110,3
File,"RetryConfig.java",,,,10,68,18
File,"RetryOnErrorTest.java",,,,3,26,19
File,"RetryOnSubclassOverrideTest.java",,,,2,22,6
File,"RetryTest.java",,,,61,533,0
