Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"AsyncCompletionStageBulkheadTimeoutFallbackTest.java",,,,14,76,0
File,"AsyncCompletionStageRetryCircuitBreakerFallbackTest.java",,,,19,116,6
File,"AsyncHelloService.java",,,,3,25,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,36,0
File,"AsyncHelloService.java",,,,5,40,2
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncService.java",,,,1,15,15
File,"AsyncTimeout.java",,,,6,37,12
File,"AsynchronousCircuitBreakerTest.java",,,,8,51,21
File,"AsynchronousCompletionStageFallbackTest.java",,,,4,34,15
File,"AsynchronousCompletionStageRetryTest.java",,,,8,67,15
File,"AsynchronousFallbackTest.java",,,,5,39,15
File,"AsynchronousMethodNotFutureTest.java",,,,2,21,19
File,"AsynchronousRequestContextTest.java",,,,2,21,19
File,"AsynchronousRetryTest.java",,,,9,68,19
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BaseService.java",,,,2,13,0
File,"BitsetRollingWindow.java",,,,6,37,1
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"BulkheadBase.java",,,,8,40,3
File,"BulkheadConfig.java",,,,7,40,18
File,"BulkheadFallbackRejectTest.java",,,,6,47,20
File,"BulkheadTest.java",,,,20,111,6
File,"BulkheadTest.java",,,,5,49,20
File,"CancellationEvent.java",,,,1,7,1
File,"CircuitBreaker.java",,,,38,220,8
File,"CircuitBreakerAndRetryTest.java",,,,10,65,10
File,"CircuitBreakerConfig.java",,,,9,65,18
File,"CircuitBreakerFailOnMetricsTest.java",,,,4,40,15
File,"CircuitBreakerFailOnTest.java",,,,3,23,20
File,"CircuitBreakerLastSuccessOpensTest.java",,,,8,54,20
File,"CircuitBreakerListener.java",,,,0,6,4
File,"CircuitBreakerRetryFallbackTest.java",,,,3,24,22
