Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAsyncThreadPoolSizingTest.java",,,,4,36,0
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"AbstractVertxTest.java",,,,4,26,0
File,"ApplyFaultTolerance.java",,,,0,18,39
File,"ApplyFaultToleranceConfig.java",,,,2,16,0
File,"AsyncBulkheadOnVertxThreadTest.java",,,,9,37,3
File,"AsyncBulkheadRetryOnVertxThreadTest.java",,,,9,37,4
File,"AsyncCompletionStageRetryCircuitBreakerFallbackTest.java",,,,17,101,6
File,"AsyncCompletionStageThreadPoolBulkheadTimeoutFallbackTest.java",,,,12,64,0
File,"AsyncDelay.java",,,,2,10,14
File,"AsyncExecutorProvider.java",,,,0,5,8
File,"AsyncFallbackFunction.java",,,,4,25,0
File,"AsyncHelloService.java",,,,3,25,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,4,31,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,36,0
File,"AsyncHelloService.java",,,,3,24,0
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncHelloService.java",,,,3,26,0
File,"AsyncHelloService.java",,,,5,40,2
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncLogger.java",,,,0,8,0
File,"AsyncRetryFallbackOnVertxThreadTest.java",,,,7,30,1
File,"AsyncRetryOnVertxThreadTest.java",,,,7,30,1
File,"AsyncRetryWithRequestContextOnVertxThreadTest.java",,,,8,46,1
File,"AsyncService.java",,,,1,15,15
File,"AsyncSupport.java",,,,0,10,5
File,"AsyncSupportRegistry.java",,,,8,43,0
File,"AsyncThreadPoolSizingOldConfigTest.java",,,,0,8,0
File,"AsyncThreadPoolSizingTest.java",,,,0,8,0
File,"AsyncTimeout.java",,,,7,50,10
File,"AsyncTimeoutNotification.java",,,,0,6,0
File,"AsynchronousCircuitBreakerTest.java",,,,7,35,17
File,"AsynchronousCompletionStageExceptionHandlingTest.java",,,,1,13,0
File,"AsynchronousCompletionStageFallbackTest.java",,,,3,27,15
File,"AsynchronousCompletionStageRetryTest.java",,,,7,50,15
File,"AsynchronousConfig.java",,,,3,26,0
File,"AsynchronousFallbackTest.java",,,,4,26,15
File,"AsynchronousMethodNotFutureTest.java",,,,1,12,15
File,"AsynchronousRequestContextTest.java",,,,2,23,17
File,"AsynchronousRetryTest.java",,,,8,48,15
File,"AutoConfig.java",,,,0,10,15
File,"AutoConfigProcessor.java",,,,32,276,9
File,"BackOff.java",,,,0,5,11
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BaseService.java",,,,2,15,0
File,"BasicCircuitBreakerMaintenanceImpl.java",,,,23,90,4
File,"BitsetRollingWindow.java",,,,6,37,1
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"BlockingAsyncTest.java",,,,2,18,0
File,"BlockingConfig.java",,,,1,10,2
File,"BlockingHelloService.java",,,,3,24,0
File,"BlockingNonBlockingOnClassService.java",,,,1,15,0
File,"BlockingNonBlockingOnClassTest.java",,,,1,12,0
File,"BlockingNonBlockingOnMethodService.java",,,,1,15,0
File,"BlockingNonBlockingOnMethodTest.java",,,,1,12,0
File,"BlockingPriorityAsyncTest.java",,,,2,18,0
File,"BlockingPriorityHelloService.java",,,,3,26,0
File,"BuilderEagerDependencies.java",,,,0,4,1
File,"BuilderLazyDependencies.java",,,,0,10,1
File,"BulkheadBase.java",,,,2,14,0
File,"BulkheadConfig.java",,,,3,20,0
File,"BulkheadEvents.java",,,,1,25,0
File,"BulkheadFallbackRejectTest.java",,,,4,33,15
File,"BulkheadLogger.java",,,,2,15,0
File,"BulkheadService.java",,,,4,31,2
File,"BulkheadService.java",,,,2,21,2
File,"BulkheadTest.java",,,,21,117,3
File,"BulkheadTest.java",,,,4,40,16
File,"CallableInvoker.java",,,,5,26,0
File,"Callbacks.java",,,,8,26,3
File,"CallbacksTest.java",,,,11,52,0
File,"CdiBulkheadAsyncEventsTest.java",,,,0,6,0
File,"CdiBulkheadAsyncTest.java",,,,0,6,0
File,"CdiBulkheadEventsTest.java",,,,0,6,0
File,"CdiBulkheadTest.java",,,,0,6,0
File,"CdiCircuitBreakerAsyncEventsTest.java",,,,0,6,0
File,"CdiCircuitBreakerAsyncTest.java",,,,0,6,0
File,"CdiCircuitBreakerEventsTest.java",,,,0,6,0
File,"CdiCircuitBreakerMaintenanceTest.java",,,,0,6,0
File,"CdiCircuitBreakerTest.java",,,,0,6,0
File,"CdiFallbackAsyncTest.java",,,,0,6,0
File,"CdiFallbackTest.java",,,,0,6,0
File,"CdiFaultToleranceSpi.java",,,,13,84,4
File,"CdiLogger.java",,,,0,24,0
File,"CdiPassthroughAsyncTest.java",,,,0,6,0
File,"CdiPassthroughTest.java",,,,0,6,0
File,"CdiRetryAsyncEventsTest.java",,,,0,6,0
File,"CdiRetryAsyncTest.java",,,,0,6,0
File,"CdiRetryEventsTest.java",,,,0,6,0
File,"CdiRetryTest.java",,,,0,6,0
File,"CdiSkipFaultToleranceTest.java",,,,4,34,3
File,"CdiTimeoutAsyncEventsTest.java",,,,0,6,0
File,"CdiTimeoutAsyncTest.java",,,,0,6,0
File,"CdiTimeoutEventsTest.java",,,,0,6,0
File,"CdiTimeoutTest.java",,,,0,6,0
