Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AsyncHelloService.java",,,,3,34,0
File,"AsyncHelloService.java",,,,5,41,15
File,"AsyncService.java",,,,1,15,15
File,"AsynchronousCircuitBreakerTest.java",,,,8,50,21
File,"AsynchronousMethodNotFutureTest.java",,,,2,21,19
File,"AsynchronousRequestContextTest.java",,,,2,21,19
File,"AsynchronousRetryTest.java",,,,6,50,19
File,"BulkheadConfig.java",,,,8,42,18
File,"BulkheadFallbackRejectTest.java",,,,6,43,20
File,"BulkheadTest.java",,,,5,44,20
File,"CircuitBreakerConfig.java",,,,11,68,18
File,"CircuitBreakerFailOnTest.java",,,,4,28,20
File,"CircuitBreakerWithFallbackTest.java",,,,3,23,21
File,"CommandInterceptorTest.java",,,,47,207,37
File,"CompositeCommand.java",,,,4,40,26
File,"ConfigParameterPriorityTest.java",,,,2,45,25
File,"CustomExtension.java",,,,21,108,15
File,"DefaultHystrixConcurrencyStrategy.java",,,,7,59,26
File,"ExecutionContextWithInvocationContext.java",,,,5,24,18
File,"ExtensionAnnotationTest.java",,,,3,47,21
File,"FailureNotHandledException.java",,,,1,8,21
File,"FallbackConfig.java",,,,27,112,25
File,"FaultToleranceApplicationArchiveProcessor.java",,,,2,20,19
File,"FaultToleranceExtension.java",,,,1,9,19
File,"FaultToleranceOperation.java",,,,30,134,23
File,"FaultToleranceOperations.java",,,,1,12,15
File,"FaultyService.java",,,,2,12,23
File,"FaultyService.java",,,,4,29,15
File,"FutureStringFallbackHandler.java",,,,3,25,18
File,"GenericConfig.java",,,,25,91,37
File,"HelloService.java",,,,2,15,0
File,"HystrixCommandBinding.java",,,,0,21,18
File,"HystrixCommandInterceptor.java",,,,83,414,58
File,"HystrixExtension.java",,,,16,93,33
File,"HystrixInitializer.java",,,,3,31,21
File,"InvalidParameterizedFallbackMethod.java",,,,2,19,15
File,"MyFallbackHandler.java",,,,3,23,18
File,"MyMicroservice.java",,,,23,112,21
File,"MyRetryMicroservice.java",,,,11,61,16
File,"NonPublicFallbackMethodTest.java",,,,3,32,19
File,"ParameterizedFallbackMethodTest.java",,,,2,21,19
File,"PingService.java",,,,2,13,15
File,"PingService.java",,,,4,24,15
File,"PingService.java",,,,3,21,15
File,"PingService.java",,,,3,21,15
File,"RequestFoo.java",,,,2,14,15
File,"RetryConfig.java",,,,15,79,18
File,"RetryContext.java",,,,18,78,33
File,"RetryOnErrorTest.java",,,,3,26,19
File,"SecurityActions.java",,,,10,43,19
File,"SecurityActions.java",,,,7,31,19
File,"ShakyServiceClient.java",,,,1,10,16
File,"SharedFallback.java",,,,1,8,18
File,"SimpleCommand.java",,,,12,71,28
File,"SimpleCommandTest.java",,,,3,21,15
File,"StringFallbackHandler.java",,,,1,9,15
File,"SyncCircuitBreakerDisabledTest.java",,,,8,70,24
File,"SynchronousCircuitBreaker.java",,,,27,140,34
File,"TestArchive.java",,,,2,18,20
File,"TestHystrixConcurrencyStrategy.java",,,,0,10,15
File,"TimeoutConfig.java",,,,7,40,18
File,"TimeoutTest.java",,,,4,35,19
File,"TimingOutService.java",,,,2,18,15
