Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAsyncThreadPoolSizingTest.java",,,,4,36,0
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"AbstractVertxTest.java",,,,4,26,0
File,"AsyncBulkheadOnVertxThreadTest.java",,,,9,37,3
File,"AsyncBulkheadRetryOnVertxThreadTest.java",,,,9,37,4
File,"AsyncCompletionStageRetryCircuitBreakerFallbackTest.java",,,,17,101,6
File,"AsyncCompletionStageThreadPoolBulkheadTimeoutFallbackTest.java",,,,12,64,0
File,"AsyncDelay.java",,,,2,10,14
File,"AsyncExecutorProvider.java",,,,0,5,8
File,"AsyncFallbackFunction.java",,,,4,25,0
File,"AsyncHelloService.java",,,,3,25,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,4,31,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,36,0
File,"AsyncHelloService.java",,,,3,24,0
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncHelloService.java",,,,3,26,0
File,"AsyncHelloService.java",,,,5,40,2
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncLogger.java",,,,0,8,0
File,"AsyncRetryFallbackOnVertxThreadTest.java",,,,7,30,1
File,"AsyncRetryOnVertxThreadTest.java",,,,7,30,1
File,"AsyncRetryWithRequestContextOnVertxThreadTest.java",,,,8,46,1
File,"AsyncService.java",,,,1,15,15
File,"AsyncThreadPoolSizingOldConfigTest.java",,,,0,8,0
File,"AsyncThreadPoolSizingTest.java",,,,0,8,0
File,"AsyncTimeout.java",,,,7,50,10
File,"AsyncTimeoutNotification.java",,,,0,6,0
File,"AsyncTypes.java",,,,13,76,2
File,"AsyncTypesConversion.java",,,,4,45,0
File,"AsyncValidation.java",,,,3,17,0
File,"AsynchronousCircuitBreakerTest.java",,,,7,35,17
File,"AsynchronousCompletionStageExceptionHandlingTest.java",,,,1,13,0
File,"AsynchronousCompletionStageFallbackTest.java",,,,3,27,15
File,"AsynchronousCompletionStageRetryTest.java",,,,7,50,15
File,"AsynchronousConfig.java",,,,2,15,0
File,"AsynchronousFallbackTest.java",,,,4,26,15
File,"AsynchronousMethodNotFutureTest.java",,,,1,12,15
File,"AsynchronousRequestContextTest.java",,,,2,23,17
File,"AsynchronousRetryTest.java",,,,8,48,15
File,"AutoConfig.java",,,,0,10,15
File,"AutoConfigProcessor.java",,,,30,257,9
File,"BackOff.java",,,,0,5,11
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BaseService.java",,,,2,15,0
File,"BitsetRollingWindow.java",,,,6,37,1
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"BlockingAsyncTest.java",,,,2,18,0
File,"BlockingConfig.java",,,,2,16,0
File,"BlockingHelloService.java",,,,3,24,0
File,"BulkheadBase.java",,,,2,14,0
File,"BulkheadConfig.java",,,,3,20,0
File,"BulkheadEvents.java",,,,1,25,0
File,"BulkheadFallbackRejectTest.java",,,,4,33,15
File,"BulkheadLogger.java",,,,0,8,0
File,"BulkheadService.java",,,,4,31,2
File,"BulkheadService.java",,,,2,21,2
File,"BulkheadTest.java",,,,21,117,3
File,"BulkheadTest.java",,,,4,40,16
File,"CdiLogger.java",,,,0,22,0
File,"CircuitBreaker.java",,,,34,185,9
File,"CircuitBreakerAndRetryTest.java",,,,16,74,10
File,"CircuitBreakerConfig.java",,,,5,28,0
File,"CircuitBreakerEvents.java",,,,2,34,0
File,"CircuitBreakerFailOnHalfOpenTest.java",,,,8,30,4
File,"CircuitBreakerFailOnMetricsTest.java",,,,3,32,15
File,"CircuitBreakerFailOnTest.java",,,,2,15,16
File,"CircuitBreakerHalfOpenTest.java",,,,13,63,6
File,"CircuitBreakerLastSuccessOpensTest.java",,,,7,41,16
File,"CircuitBreakerLogger.java",,,,0,9,0
File,"CircuitBreakerMaintenance.java",,,,0,8,40
File,"CircuitBreakerMaintenanceImpl.java",,,,12,55,3
File,"CircuitBreakerMaintenanceTest.java",,,,16,76,0
File,"CircuitBreakerName.java",,,,0,12,22
File,"CircuitBreakerNameConfig.java",,,,2,15,0
File,"CircuitBreakerNameInheritanceTest.java",,,,1,21,0
File,"CircuitBreakerRetryFallbackTest.java",,,,2,15,18
File,"CircuitBreakerRollingWindowTest.java",,,,10,53,22
File,"CircuitBreakerService1.java",,,,1,12,0
File,"CircuitBreakerService2.java",,,,1,12,0
File,"CircuitBreakerState.java",,,,0,8,15
File,"CircuitBreakerTest.java",,,,51,88,11
File,"CircuitBreakerWithFallbackTest.java",,,,2,15,17
File,"ClassAndMethodBackoffService.java",,,,1,14,0
File,"ClassAndMethodBackoffTest.java",,,,1,12,0
File,"CleanupMetricRegistries.java",,,,1,9,8
File,"CommandInterceptorTest.java",,,,46,191,36
File,"CompletionStageCircuitBreaker.java",,,,17,94,4
File,"CompletionStageCircuitBreakerFailOnHalfOpenTest.java",,,,8,35,4
File,"CompletionStageCircuitBreakerHalfOpenTest.java",,,,10,52,6
File,"CompletionStageCircuitBreakerTest.java",,,,11,137,11
File,"CompletionStageExecution.java",,,,5,38,7
File,"CompletionStageFallback.java",,,,8,53,0
File,"CompletionStageFallbackTest.java",,,,49,226,0
File,"CompletionStageMetricsCollector.java",,,,6,41,0
