Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractAsyncThreadPoolSizingTest.java",,,,4,36,0
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"AsyncCompletionStageBulkheadTimeoutFallbackTest.java",,,,12,64,0
File,"AsyncCompletionStageRetryCircuitBreakerFallbackTest.java",,,,17,101,6
File,"AsyncDelay.java",,,,0,6,3
File,"AsyncExecutorProvider.java",,,,0,5,8
File,"AsyncHelloService.java",,,,3,25,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,26,0
File,"AsyncHelloService.java",,,,4,31,0
File,"AsyncHelloService.java",,,,4,33,15
File,"AsyncHelloService.java",,,,3,36,0
File,"AsyncHelloService.java",,,,3,24,0
File,"AsyncHelloService.java",,,,5,40,2
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncHelloService.java",,,,5,43,15
File,"AsyncLogger.java",,,,0,8,0
File,"AsyncService.java",,,,1,15,15
File,"AsyncThreadPoolSizingOldConfigTest.java",,,,0,8,0
File,"AsyncThreadPoolSizingTest.java",,,,0,8,0
File,"AsyncTimeout.java",,,,7,46,10
File,"AsyncTypes.java",,,,13,76,2
File,"AsyncTypesConversion.java",,,,4,45,0
File,"AsynchronousCircuitBreakerTest.java",,,,7,35,17
File,"AsynchronousCompletionStageExceptionHandlingTest.java",,,,1,13,0
File,"AsynchronousCompletionStageFallbackTest.java",,,,3,27,15
File,"AsynchronousCompletionStageRetryTest.java",,,,7,50,15
File,"AsynchronousFallbackTest.java",,,,4,26,15
File,"AsynchronousMethodNotFutureTest.java",,,,1,12,15
File,"AsynchronousRequestContextTest.java",,,,2,23,17
File,"AsynchronousRetryTest.java",,,,8,48,15
File,"BackOff.java",,,,0,5,8
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BaseService.java",,,,2,15,0
File,"BitsetRollingWindow.java",,,,6,37,1
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"BlockingAsyncTest.java",,,,2,18,0
File,"BlockingHelloService.java",,,,3,24,0
File,"BulkheadBase.java",,,,2,14,0
File,"BulkheadConfig.java",,,,7,41,18
File,"BulkheadEvents.java",,,,1,25,0
File,"BulkheadFallbackRejectTest.java",,,,4,33,15
File,"BulkheadLogger.java",,,,0,8,0
File,"BulkheadService.java",,,,4,31,2
File,"BulkheadService.java",,,,2,21,2
File,"BulkheadTest.java",,,,21,117,3
File,"BulkheadTest.java",,,,4,40,16
File,"CancellationEvent.java",,,,1,10,0
File,"CdiLogger.java",,,,0,17,0
File,"CircuitBreaker.java",,,,34,185,9
File,"CircuitBreakerAndRetryTest.java",,,,16,74,10
File,"CircuitBreakerConfig.java",,,,12,72,18
File,"CircuitBreakerEvents.java",,,,2,34,0
File,"CircuitBreakerFailOnHalfOpenTest.java",,,,8,30,4
File,"CircuitBreakerFailOnMetricsTest.java",,,,3,32,15
File,"CircuitBreakerFailOnTest.java",,,,2,15,16
File,"CircuitBreakerHalfOpenTest.java",,,,13,63,6
File,"CircuitBreakerLastSuccessOpensTest.java",,,,7,41,16
File,"CircuitBreakerLogger.java",,,,0,9,0
File,"CircuitBreakerMaintenance.java",,,,0,8,40
File,"CircuitBreakerMaintenanceImpl.java",,,,12,55,3
File,"CircuitBreakerMaintenanceTest.java",,,,16,76,0
File,"CircuitBreakerName.java",,,,0,12,22
File,"CircuitBreakerNameInheritanceTest.java",,,,1,21,0
File,"CircuitBreakerRetryFallbackTest.java",,,,2,15,18
File,"CircuitBreakerRollingWindowTest.java",,,,10,53,20
File,"CircuitBreakerService1.java",,,,1,12,0
File,"CircuitBreakerService2.java",,,,1,12,0
File,"CircuitBreakerState.java",,,,0,8,15
File,"CircuitBreakerTest.java",,,,51,88,11
File,"CircuitBreakerWithFallbackTest.java",,,,2,15,17
File,"CleanupMetricRegistries.java",,,,1,9,8
File,"CommandInterceptorTest.java",,,,46,191,36
File,"CompletionStageBulkhead.java",,,,14,97,5
File,"CompletionStageBulkheadStressTest.java",,,,14,66,2
File,"CompletionStageBulkheadTest.java",,,,35,212,2
File,"CompletionStageCircuitBreaker.java",,,,17,94,4
File,"CompletionStageCircuitBreakerFailOnHalfOpenTest.java",,,,8,35,4
File,"CompletionStageCircuitBreakerHalfOpenTest.java",,,,10,52,6
File,"CompletionStageCircuitBreakerTest.java",,,,11,137,11
File,"CompletionStageExecution.java",,,,5,37,0
File,"CompletionStageFallback.java",,,,9,57,0
File,"CompletionStageFallbackTest.java",,,,48,270,2
File,"CompletionStageMetricsCollector.java",,,,6,41,0
File,"CompletionStageRetry.java",,,,16,93,2
File,"CompletionStageRetryTest.java",,,,31,170,0
File,"CompletionStageTimeout.java",,,,9,56,4
File,"CompletionStageTimeoutTest.java",,,,32,250,0
File,"CompletionStages.java",,,,8,32,3
File,"ConfigParameterPriorityTest.java",,,,1,35,21
File,"ContextPropagationRequestContextControllerProvider.java",,,,3,19,0
File,"ContextPropagationTimerRunnableWrapper.java",,,,1,10,0
File,"CoreLogger.java",,,,0,8,0
File,"CustomExtension.java",,,,21,108,15
File,"DefaultAsyncExecutorProvider.java",,,,7,49,12
File,"DefaultExistingCircuitBreakerNames.java",,,,2,18,0
File,"DefaultFallbackHandlerProvider.java",,,,3,34,7
