Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AsyncHelloService.java",,,,3,34,0
File,"AsyncHelloService.java",,,,5,41,15
File,"AsyncService.java",,,,1,15,15
File,"AsynchronousCircuitBreakerTest.java",,,,8,50,21
File,"AsynchronousMethodNotFutureTest.java",,,,2,21,19
File,"AsynchronousRequestContextTest.java",,,,2,21,19
File,"AsynchronousRetryTest.java",,,,6,50,19
File,"BaseService.java",,,,2,13,0
File,"BasicCommand.java",,,,1,10,0
File,"BulkheadConfig.java",,,,7,38,18
File,"BulkheadFallbackRejectTest.java",,,,6,46,20
File,"BulkheadTest.java",,,,5,50,20
File,"BulkheadWaitRecorder.java",,,,6,38,20
File,"CircuitBreakerConfig.java",,,,10,64,18
File,"CircuitBreakerFailOnMetricsTest.java",,,,4,30,15
File,"CircuitBreakerFailOnTest.java",,,,4,28,20
File,"CircuitBreakerLastSuccessOpensTest.java",,,,8,53,20
File,"CircuitBreakerRetryFallbackTest.java",,,,3,23,22
File,"CircuitBreakerRollingWindowTest.java",,,,11,67,24
File,"CircuitBreakerWithFallbackTest.java",,,,3,23,21
File,"CommandInterceptorTest.java",,,,47,207,37
File,"CommandListener.java",,,,4,17,40
File,"CommandListenerTest.java",,,,8,71,21
File,"CommandListenersProvider.java",,,,0,6,27
File,"CompositeCommand.java",,,,20,112,30
File,"CompositeObservableCommand.java",,,,23,142,28
File,"ConfigParameterPriorityTest.java",,,,2,45,25
File,"CustomExtension.java",,,,21,108,15
File,"DefaultCommandListenersProvider.java",,,,2,19,20
File,"DefaultFallbackHandlerProvider.java",,,,3,33,6
File,"DefaultFaultToleranceOperationProvider.java",,,,11,50,23
File,"DefaultHystrixConcurrencyStrategy.java",,,,7,58,26
File,"DefaultMethodFallbackProvider.java",,,,1,17,6
File,"DefaultMethodFallbackProvider.java",,,,1,15,6
File,"ExecutionContextWithInvocationContext.java",,,,7,32,18
File,"ExtensionAnnotationTest.java",,,,3,45,21
File,"FailureNotHandledException.java",,,,1,8,21
File,"FallbackConfig.java",,,,27,117,25
File,"FallbackHandlerProvider.java",,,,0,7,26
File,"FaultToleranceApplicationArchiveProcessor.java",,,,4,38,19
File,"FaultToleranceCommandExecutionHook.java",,,,2,13,0
File,"FaultToleranceExtension.java",,,,1,11,19
File,"FaultToleranceOperation.java",,,,47,209,23
File,"FaultToleranceOperationProvider.java",,,,0,7,27
File,"FaultToleranceOperations.java",,,,1,13,15
File,"FaultyService.java",,,,2,12,23
File,"FaultyService.java",,,,4,29,15
File,"FutureStringFallbackHandler.java",,,,3,25,18
File,"GenericConfig.java",,,,28,106,37
File,"HelloService.java",,,,2,15,0
File,"HelloService.java",,,,2,15,15
File,"HelloService.java",,,,0,5,0
File,"HystrixCommandBinding.java",,,,0,21,18
File,"HystrixCommandInterceptor.java",,,,111,558,74
File,"HystrixCommandSemaphoreCleanup.java",,,,5,30,19
File,"HystrixExtension.java",,,,22,127,33
File,"HystrixInitializer.java",,,,3,38,21
File,"InterfaceFaultToleranceOperationsTest.java",,,,1,33,0
File,"InvalidParameterizedFallbackMethod.java",,,,2,19,15
File,"MetricNames.java",,,,2,32,0
