Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractRollingWindowTest.java",,,,2,23,0
File,"Barrier.java",,,,2,11,0
File,"BarrierImpl.java",,,,8,33,3
File,"BitsetRollingWindow.java",,,,6,36,0
File,"BitsetRollingWindowTest.java",,,,1,7,0
File,"Bulkhead.java",,,,8,55,6
File,"CircuitBreaker.java",,,,32,196,8
File,"CircuitBreakerAndRetryTest.java",,,,10,74,10
File,"CircuitBreakerListener.java",,,,0,6,4
File,"CircuitBreakerTest.java",,,,51,67,11
File,"CompletionStageFallback.java",,,,10,52,0
File,"CompletionStageFallbackTest.java",,,,48,195,2
File,"CompletionStageTimeout.java",,,,8,41,8
File,"CompletionStageTimeoutTest.java",,,,28,165,0
File,"CompletionStages.java",,,,2,13,3
File,"DefaultRollingWindowTest.java",,,,1,7,0
File,"Delay.java",,,,0,5,0
File,"Fallback.java",,,,5,35,0
File,"FallbackAndRetryTest.java",,,,6,39,0
File,"FallbackFunction.java",,,,0,5,0
File,"FallbackTest.java",,,,25,98,2
File,"FaultToleranceStrategy.java",,,,0,6,17
File,"FixedJitter.java",,,,2,12,3
File,"FixedJitterTest.java",,,,8,33,0
File,"Invocation.java",,,,3,13,7
File,"InvocationTest.java",,,,4,16,0
File,"Jitter.java",,,,0,5,3
File,"NaiveRollingWindow.java",,,,8,39,0
File,"NaiveRollingWindowTest.java",,,,1,7,0
File,"Preconditions.java",,,,5,16,1
File,"RandomJitter.java",,,,2,13,5
File,"RandomJitterTest.java",,,,8,32,0
File,"RealWorldCompletionStageTimeoutTest.java",,,,10,93,0
File,"Retry.java",,,,22,113,9
File,"RetryTest.java",,,,61,524,0
File,"RollingWindow.java",,,,1,8,6
File,"RunningStopwatch.java",,,,0,4,0
File,"ScheduledExecutorTimeoutWatcher.java",,,,4,24,0
File,"ScheduledExecutorTimeoutWatcherTest.java",,,,7,65,1
File,"SetOfThrowables.java",,,,8,35,11
File,"SetOfThrowablesTest.java",,,,10,87,0
File,"SneakyThrow.java",,,,2,8,0
File,"Stopwatch.java",,,,0,4,0
File,"Strategies.java",,,,5,29,5
File,"SystemStopwatch.java",,,,2,11,0
File,"SystemStopwatchTest.java",,,,2,20,0
File,"TestDelay.java",,,,7,39,0
File,"TestException.java",,,,2,8,1
File,"TestExecutor.java",,,,3,19,3
File,"TestInvocation.java",,,,7,33,0
File,"TestInvocation.java",,,,6,30,0
File,"TestInvocation.java",,,,6,33,0
File,"TestStopwatch.java",,,,3,16,0
File,"TestThread.java",,,,7,35,4
File,"TestTimeoutWatcher.java",,,,8,43,5
File,"ThreadSleepDelay.java",,,,3,18,0
File,"ThreadSleepDelayTest.java",,,,10,65,2
File,"Timeout.java",,,,12,71,3
File,"TimeoutExecution.java",,,,9,37,0
File,"TimeoutExecutionTest.java",,,,10,53,2
File,"TimeoutTest.java",,,,22,137,0
File,"TimeoutWatch.java",,,,0,5,0
File,"TimeoutWatcher.java",,,,0,4,0
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.ladicek",,,,0,0,0
Package,"com.github.ladicek.oaken_ocean",,,,0,0,0
Package,"com.github.ladicek.oaken_ocean.core",,,,7,36,30
Public Generic Interface,"com.github.ladicek.oaken_ocean.core.FaultToleranceStrategy",3,0,0,0,4,7
TypeVariable,"com.github.ladicek.oaken_ocean.core.FaultToleranceStrategy.V",0,0,0,0,0,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.FaultToleranceStrategy.apply",,,,0,1,7
Public Final Generic Class,"com.github.ladicek.oaken_ocean.core.Invocation",3,0,0,3,11,7
Private Constructor,"com.github.ladicek.oaken_ocean.core.Invocation.Invocation",,,,1,1,1
TypeVariable,"com.github.ladicek.oaken_ocean.core.Invocation.V",0,0,0,0,0,0
Public Method,"com.github.ladicek.oaken_ocean.core.Invocation.apply",,,,1,4,0
Public Static Generic Method,"com.github.ladicek.oaken_ocean.core.Invocation.invocation",,,,1,3,0
TypeVariable,"com.github.ladicek.oaken_ocean.core.Invocation.invocation.V",0,0,0,0,0,0
Public Class,"com.github.ladicek.oaken_ocean.core.InvocationTest",5,0,0,4,10,0
Public Method,"com.github.ladicek.oaken_ocean.core.InvocationTest.identicalException",,,,2,4,0
Lambda Method,"com.github.ladicek.oaken_ocean.core.InvocationTest.identicalException.(lambda_expr_1)",,,,1,1,0
Public Method,"com.github.ladicek.oaken_ocean.core.InvocationTest.identicalResult",,,,2,4,0
Lambda Method,"com.github.ladicek.oaken_ocean.core.InvocationTest.identicalResult.(lambda_expr_1)",,,,1,1,0
Package,"com.github.ladicek.oaken_ocean.core.bulkhead",,,,8,55,6
Public Generic Class,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead",8,12,12,4,50,6
Public Constructor,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.Bulkhead",,,,2,7,0
Public Interface,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder",0,0,0,0,20,0
Anonymous Class,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.(Anon_1)",1,0,0,4,13,0
Public Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.(Anon_1).bulkheadEntered",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.(Anon_1).bulkheadLeft",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.(Anon_1).bulkheadQueueEntered",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.(Anon_1).bulkheadRejected",,,,1,3,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.bulkheadEntered",,,,0,1,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.bulkheadLeft",,,,0,1,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.bulkheadQueueEntered",,,,0,1,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.MetricsRecorder.bulkheadRejected",,,,0,1,0
TypeVariable,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.V",0,0,0,0,0,0
Public Method,"com.github.ladicek.oaken_ocean.core.bulkhead.Bulkhead.apply",,,,2,17,3
Package,"com.github.ladicek.oaken_ocean.core.circuit",,,,0,0,0
Package,"com.github.ladicek.oaken_ocean.core.circuit.breaker",,,,103,396,29
Public Abstract Class,"com.github.ladicek.oaken_ocean.core.circuit.breaker.AbstractRollingWindowTest",2,0,0,2,20,0
Protected Abstract Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.AbstractRollingWindowTest.createRollingWindow",,,,0,1,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.AbstractRollingWindowTest.specScenario1",,,,1,8,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.AbstractRollingWindowTest.specScenario2",,,,1,9,0
Final Class,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow",2,52,19,6,34,0
Constructor,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow.BitsetRollingWindow",,,,1,5,0
Private Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow.failureThresholdReached",,,,2,6,0
Private Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow.nextIndex",,,,1,6,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow.recordFailure",,,,1,5,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindow.recordSuccess",,,,1,5,0
Public Class,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindowTest",3,0,0,1,6,0
Protected Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.BitsetRollingWindowTest.createRollingWindow",,,,1,4,0
Public Generic Class,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker",21,70,49,21,183,8
Public Constructor,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.CircuitBreaker",,,,2,15,0
Public Interface,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder",0,0,0,0,32,0
Anonymous Class,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1)",1,0,0,7,22,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerClosedTime",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerClosedToOpen",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerFailed",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerHalfOpenTime",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerOpenTime",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerRejected",,,,1,3,0
Public Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.(Anon_1).circuitBreakerSucceeded",,,,1,3,0
Abstract Method,"com.github.ladicek.oaken_ocean.core.circuit.breaker.CircuitBreaker.MetricsRecorder.circuitBreakerClosedTime",,,,0,1,0
