Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,47,5
File,"AbstractDriver.java",,,,3,20,0
File,"AbstractServlet.java",,,,3,20,0
File,"BTCDRPCBitcoinConnection.java",,,,52,157,10
File,"BitcoinConnection.java",,,,5,18,0
File,"BitcoindRPCBitcoinConnection.java",,,,21,72,4
File,"BitcoinjSPVBitcoinConnection.java",,,,4,20,0
File,"BlockcypherAPIBitcoinConnection.java",,,,21,82,7
File,"ClientUniRegistrar.java",,,,62,228,22
File,"DIDDocContinuation.java",,,,0,8,0
File,"DIDDocFileNameStrategy.java",,,,0,5,0
File,"DidBtcrDriver.java",,,,89,354,28
File,"DidERC725Driver.java",,,,18,74,3
File,"DidSovDriver.java",,,,89,302,24
File,"DidV1Driver.java",,,,40,146,7
File,"Driver.java",,,,0,16,0
File,"HttpDriver.java",,,,61,227,18
File,"InitServlet.java",,,,9,36,0
File,"LocalFileDIDDocContinuation.java",,,,17,68,3
File,"LocalUniRegistrar.java",,,,31,110,18
File,"PropertiesServlet.java",,,,8,41,4
File,"PropertiesServlet.java",,,,7,39,4
File,"RandomDIDDocFileNameStrategy.java",,,,1,9,0
File,"RegisterRequest.java",,,,13,68,9
File,"RegisterServlet.java",,,,9,45,4
File,"RegisterServlet.java",,,,10,52,4
File,"RegisterState.java",,,,19,90,9
File,"RegisterStateAction.java",,,,5,17,3
File,"RegisterStateActionDidBtcrFund.java",,,,9,22,3
File,"RegisterStateActionDidSovTrustAnchor.java",,,,13,29,3
File,"RegisterStateActionDidV1TrustAnchor.java",,,,13,29,3
File,"RegisterStateFailed.java",,,,5,17,3
File,"RegisterStateFinished.java",,,,9,27,3
File,"RegisterStateWait.java",,,,9,26,3
File,"RegisterStateWaitDidBtcrConfirm.java",,,,1,8,0
File,"RegistrationException.java",,,,5,19,0
File,"RevokeRequest.java",,,,13,68,9
File,"RevokeServlet.java",,,,10,52,4
File,"RevokeServlet.java",,,,9,45,4
File,"RevokeState.java",,,,18,86,9
File,"UniRegistrar.java",,,,0,15,0
File,"UpdateRequest.java",,,,13,68,9
File,"UpdateServlet.java",,,,10,52,4
File,"UpdateServlet.java",,,,9,45,4
File,"UpdateState.java",,,,19,90,9
File,"WebUniRegistrar.java",,,,21,71,6
File,"applicationContext.xml.java",,,,0,47,5
Package,"uniregistrar",,,,5,34,0
Public Class,"uniregistrar.RegistrationException",1,0,0,5,18,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Interface,"uniregistrar.UniRegistrar",9,0,0,0,7,0
Public Abstract Method,"uniregistrar.UniRegistrar.properties",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.register",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.revoke",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.update",,,,0,1,0
Package,"uniregistrar.client",,,,62,228,22
Public Class,"uniregistrar.client.ClientUniRegistrar",32,85,78,62,200,22
Public Constructor,"uniregistrar.client.ClientUniRegistrar.ClientUniRegistrar",,,,1,2,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getHttpClient",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getRevokeUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.properties",,,,9,27,3
Public Method,"uniregistrar.client.ClientUniRegistrar.register",,,,12,36,3
Public Method,"uniregistrar.client.ClientUniRegistrar.revoke",,,,12,36,3
Public Method,"uniregistrar.client.ClientUniRegistrar.setHttpClient",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRevokeUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRevokeUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.update",,,,12,36,3
Private Static Method,"uniregistrar.client.ClientUniRegistrar.urlEncode",,,,2,7,0
Package,"uniregistrar.driver",,,,3,36,0
Public Abstract Class,"uniregistrar.driver.AbstractDriver",5,0,0,3,16,0
Protected Interface,"uniregistrar.driver.AbstractDriver.Job",0,0,0,0,2,0
Protected Method,"uniregistrar.driver.AbstractDriver.continueJob",,,,1,3,0
Protected Method,"uniregistrar.driver.AbstractDriver.finishJob",,,,1,3,0
Protected Method,"uniregistrar.driver.AbstractDriver.newJob",,,,1,5,0
Public Interface,"uniregistrar.driver.Driver",9,0,0,0,7,0
Public Abstract Method,"uniregistrar.driver.Driver.properties",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.register",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.revoke",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.update",,,,0,1,0
Package,"uniregistrar.driver.did",,,,0,0,0
Package,"uniregistrar.driver.did.btcr",,,,89,354,28
Public Class,"uniregistrar.driver.did.btcr.DidBtcrDriver",57,88,71,80,299,28
Public Constructor,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrDriver",,,,1,3,0
Public Constructor,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrDriver",,,,1,3,0
Private Static Class,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob",2,66,66,6,29,0
Private Constructor,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob.DidBtcrJob",,,,1,7,0
Private Method,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob.getChain",,,,1,3,0
Private Method,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob.getDidContinuationUri",,,,1,3,0
Private Method,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob.getPrivateKeyAsHex",,,,1,3,0
Private Method,"uniregistrar.driver.did.btcr.DidBtcrDriver.DidBtcrJob.getPrivateKeyAsWif",,,,1,3,0
