Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,50,5
File,"AbstractDriver.java",,,,0,3,0
File,"AbstractServlet.java",,,,3,20,0
File,"ClientUniRegistrar.java",,,,75,276,26
File,"CreateRequest.java",,,,15,80,9
File,"CreateServlet.java",,,,9,44,4
File,"CreateServlet.java",,,,10,49,4
File,"CreateState.java",,,,16,90,12
File,"DeactivateRequest.java",,,,15,78,9
File,"DeactivateServlet.java",,,,10,49,4
File,"DeactivateServlet.java",,,,9,44,4
File,"DeactivateState.java",,,,18,99,15
File,"Driver.java",,,,1,19,0
File,"DummyExtension.java",,,,2,18,0
File,"Extension.java",,,,6,31,0
File,"ExtensionStatus.java",,,,7,33,0
File,"HttpDriver.java",,,,63,232,18
File,"InitServlet.java",,,,9,36,0
File,"LocalUniRegistrar.java",,,,67,205,28
File,"MethodsServlet.java",,,,7,38,4
File,"PropertiesServlet.java",,,,9,41,4
File,"PropertiesServlet.java",,,,7,37,4
File,"RegistrationException.java",,,,5,19,0
File,"ServletUtil.java",,,,7,32,0
File,"SetCreateState.java",,,,3,11,0
File,"SetCreateStateAction.java",,,,5,16,0
File,"SetCreateStateActionSignPayload.java",,,,9,26,0
File,"SetCreateStateFailed.java",,,,5,16,0
File,"SetCreateStateFinished.java",,,,7,23,0
File,"SetCreateStateWait.java",,,,7,21,0
File,"UniRegistrar.java",,,,0,18,0
File,"UpdateRequest.java",,,,17,90,9
File,"UpdateServlet.java",,,,9,44,4
File,"UpdateServlet.java",,,,10,49,4
File,"UpdateState.java",,,,18,99,15
File,"WebUniRegistrar.java",,,,20,63,3
File,"applicationContext.xml.java",,,,0,50,5
Package,"uniregistrar",,,,5,37,0
Public Class,"uniregistrar.RegistrationException",1,0,0,5,18,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
