Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,0,47,5
File,"AbstractDriver.java",,,,3,20,0
File,"AbstractServlet.java",,,,3,20,0
File,"ClientUniRegistrar.java",,,,62,228,22
File,"DeactivateRequest.java",,,,13,68,9
File,"DeactivateServlet.java",,,,10,51,4
File,"DeactivateServlet.java",,,,9,44,4
File,"DeactivateState.java",,,,18,99,15
File,"Driver.java",,,,0,16,0
File,"DummyExtension.java",,,,2,17,0
File,"Extension.java",,,,6,43,0
File,"ExtensionStatus.java",,,,7,33,0
File,"HttpDriver.java",,,,63,232,18
File,"InitServlet.java",,,,9,36,0
File,"LocalUniRegistrar.java",,,,70,219,25
File,"PropertiesServlet.java",,,,9,41,4
File,"PropertiesServlet.java",,,,7,38,4
File,"RegisterRequest.java",,,,19,105,9
File,"RegisterServlet.java",,,,9,44,4
File,"RegisterServlet.java",,,,10,51,4
File,"RegisterState.java",,,,16,90,12
File,"RegistrationException.java",,,,5,19,0
File,"SetRegisterState.java",,,,3,11,0
File,"SetRegisterStateAction.java",,,,5,16,0
File,"SetRegisterStateFailed.java",,,,5,16,0
File,"SetRegisterStateFinished.java",,,,7,23,0
File,"SetRegisterStateWait.java",,,,7,21,0
File,"UniRegistrar.java",,,,0,15,0
File,"UpdateRequest.java",,,,13,68,9
File,"UpdateServlet.java",,,,10,51,4
File,"UpdateServlet.java",,,,9,44,4
File,"UpdateState.java",,,,18,99,15
File,"WebUniRegistrar.java",,,,22,82,6
File,"applicationContext.xml.java",,,,0,47,5
Package,"uniregistrar",,,,5,34,0
Public Class,"uniregistrar.RegistrationException",1,0,0,5,18,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Constructor,"uniregistrar.RegistrationException.RegistrationException",,,,1,3,0
Public Interface,"uniregistrar.UniRegistrar",9,0,0,0,7,0
Public Abstract Method,"uniregistrar.UniRegistrar.deactivate",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.properties",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.register",,,,0,1,0
Public Abstract Method,"uniregistrar.UniRegistrar.update",,,,0,1,0
Package,"uniregistrar.client",,,,62,228,22
Public Class,"uniregistrar.client.ClientUniRegistrar",32,85,78,62,200,22
Public Constructor,"uniregistrar.client.ClientUniRegistrar.ClientUniRegistrar",,,,1,2,0
Public Method,"uniregistrar.client.ClientUniRegistrar.deactivate",,,,12,36,3
Public Method,"uniregistrar.client.ClientUniRegistrar.getDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getHttpClient",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.getUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.properties",,,,9,27,3
Public Method,"uniregistrar.client.ClientUniRegistrar.register",,,,12,36,3
Public Method,"uniregistrar.client.ClientUniRegistrar.setDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setHttpClient",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.client.ClientUniRegistrar.update",,,,12,36,3
Private Static Method,"uniregistrar.client.ClientUniRegistrar.urlEncode",,,,2,7,0
Package,"uniregistrar.driver",,,,3,36,0
Public Abstract Class,"uniregistrar.driver.AbstractDriver",5,0,0,3,16,0
Protected Interface,"uniregistrar.driver.AbstractDriver.Job",0,0,0,0,2,0
Protected Method,"uniregistrar.driver.AbstractDriver.continueJob",,,,1,3,0
Protected Method,"uniregistrar.driver.AbstractDriver.finishJob",,,,1,3,0
Protected Method,"uniregistrar.driver.AbstractDriver.newJob",,,,1,5,0
Public Interface,"uniregistrar.driver.Driver",9,0,0,0,7,0
Public Abstract Method,"uniregistrar.driver.Driver.deactivate",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.properties",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.register",,,,0,1,0
Public Abstract Method,"uniregistrar.driver.Driver.update",,,,0,1,0
Package,"uniregistrar.driver.http",,,,63,232,18
Public Class,"uniregistrar.driver.http.HttpDriver",30,84,73,63,205,18
Public Constructor,"uniregistrar.driver.http.HttpDriver.HttpDriver",,,,1,2,0
Public Method,"uniregistrar.driver.http.HttpDriver.deactivate",,,,10,34,3
Public Method,"uniregistrar.driver.http.HttpDriver.getDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.getHttpClient",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.getPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.getRegisterUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.getUpdateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.properties",,,,8,18,3
Public Method,"uniregistrar.driver.http.HttpDriver.register",,,,10,34,3
Public Method,"uniregistrar.driver.http.HttpDriver.remoteProperties",,,,10,27,3
Public Method,"uniregistrar.driver.http.HttpDriver.setDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setDeactivateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setHttpClient",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setPropertiesUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setRegisterUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.setUpdateUri",,,,1,3,0
Public Method,"uniregistrar.driver.http.HttpDriver.update",,,,10,34,3
Package,"uniregistrar.driver.servlet",,,,48,229,16
Public Abstract Class,"uniregistrar.driver.servlet.AbstractServlet",4,0,0,3,14,0
