Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Clear.java",,,,1,9,15
File,"Client.java",,,,11,56,15
File,"CollectorPrinter.java",,,,14,62,0
File,"Command.java",,,,0,12,0
File,"CommandException.java",,,,2,9,0
File,"CommandExecutor.java",,,,8,39,0
File,"Date.java",,,,1,14,15
File,"Dir.java",,,,32,112,19
File,"Echo.java",,,,1,12,16
File,"Exec.java",,,,6,31,15
File,"Exit.java",,,,1,8,15
File,"FileAutocomplete.java",,,,49,170,54
File,"Files.java",,,,25,145,24
File,"GuiPrinter.java",,,,22,97,0
File,"HeadlessPrinter.java",,,,19,63,2
File,"Help.java",,,,2,14,15
File,"InputHandler.java",,,,55,218,39
File,"InputHandlerTest.java",,,,2,17,0
File,"JTerm.java",,,,33,165,22
File,"Keys.java",,,,12,64,0
File,"Pause.java",,,,5,28,16
File,"Ping.java",,,,5,33,15
File,"Printer.java",,,,0,13,0
File,"ProtectedDocument.java",,,,38,147,81
File,"ProtectedTextComponent.java",,,,5,32,32
File,"Ps.java",,,,1,19,15
File,"RawConsoleInput.java",,,,51,273,62
File,"Regex.java",,,,9,53,0
File,"Server.java",,,,16,82,15
File,"Set.java",,,,6,31,22
File,"Terminal.java",,,,18,81,20
File,"TextColor.java",,,,3,24,6
File,"Time.java",,,,1,14,15
File,"Util.java",,,,8,32,9
File,"UtilTest.java",,,,12,109,0
File,"Window.java",,,,18,77,65
Public Implicit Method,"clone",,,,0,,
Package,"jterm",,,,60,303,52
Public Class,"jterm.Client",14,0,0,11,51,0
Public Static Method,"jterm.Client.connect",,,,7,36,0
Public Method,"jterm.Client.run",,,,4,12,0
Public Class,"jterm.JTerm",37,83,78,28,145,6
Public Static Method,"jterm.JTerm.executeCommand",,,,5,17,0
Public Static Method,"jterm.JTerm.getCommands",,,,1,3,0
Public Static Method,"jterm.JTerm.getTerminal",,,,1,3,0
Private Static Method,"jterm.JTerm.initCommands",,,,9,53,3
Lambda Method,"jterm.JTerm.initCommands.(lambda_expr_1)",,,,4,11,0
Lambda Method,"jterm.JTerm.initCommands.(lambda_expr_1).(lambda_expr_2)",,,,2,5,0
Lambda Method,"jterm.JTerm.initCommands.(lambda_expr_3)",,,,2,19,0
Lambda Method,"jterm.JTerm.initCommands.(lambda_expr_3).(lambda_expr_4)",,,,3,15,0
Lambda Method,"jterm.JTerm.initCommands.(lambda_expr_3).(lambda_expr_4).(lambda_expr_5)",,,,2,8,0
