Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"ArrangeUserForReservation.java",,,,1,16,10
File,"Article.java",,,,15,64,28
File,"ArticleAdminController.java",,,,9,106,37
File,"ArticleController.java",,,,7,96,25
File,"ArticleMapper.java",,,,0,15,61
File,"ArticleService.java",,,,0,15,61
File,"ArticleServiceImpl.java",,,,9,49,7
File,"ArticleType.java",,,,9,40,19
File,"ArticleTypeAdminController.java",,,,9,92,33
File,"ArticleTypeMapper.java",,,,0,13,49
File,"ArticleTypeService.java",,,,0,13,49
File,"ArticleTypeServiceImpl.java",,,,7,41,7
File,"Assay.java",,,,13,57,25
File,"AssayAdminController.java",,,,11,101,27
File,"AssayController.java",,,,3,63,20
File,"AssayMapper.java",,,,0,12,43
File,"AssayService.java",,,,0,12,43
File,"AssayServiceImpl.java",,,,6,37,7
File,"AutomaticReceiptConfirmation.java",,,,1,16,10
File,"CancelOrderOverOneDay.java",,,,1,16,10
File,"Carousel.java",,,,11,47,22
File,"CarouselAdminController.java",,,,9,93,28
File,"CarouselMapper.java",,,,0,12,43
File,"CarouselService.java",,,,0,12,43
File,"CarouselServiceImpl.java",,,,6,37,7
File,"Comment.java",,,,25,105,43
File,"CommentAdminController.java",,,,3,63,6
File,"CommentController.java",,,,11,140,37
File,"CommentMapper.java",,,,0,11,37
File,"CommentService.java",,,,0,11,37
File,"CommentServiceImpl.java",,,,5,33,7
File,"CreateReservationForTomorrow.java",,,,1,16,10
File,"CustomDateSerializer.java",,,,1,14,7
File,"CustomDateTimeSerializer.java",,,,1,14,7
File,"Customer.java",,,,21,85,37
File,"CustomerAdminController.java",,,,16,134,29
File,"CustomerController.java",,,,24,231,67
File,"CustomerMapper.java",,,,0,16,67
File,"CustomerReturnList.java",,,,25,107,43
File,"CustomerReturnListAdminController.java",,,,12,147,60
File,"CustomerReturnListGoods.java",,,,27,112,46
File,"CustomerReturnListGoodsMapper.java",,,,0,11,37
File,"CustomerReturnListGoodsService.java",,,,0,11,37
File,"CustomerReturnListGoodsServiceImpl.java",,,,5,33,7
File,"CustomerReturnListMapper.java",,,,0,13,48
File,"CustomerReturnListService.java",,,,0,13,48
File,"CustomerReturnListServiceImpl.java",,,,7,41,7
File,"CustomerService.java",,,,0,16,67
File,"CustomerServiceImpl.java",,,,10,53,7
File,"DamageList.java",,,,15,65,28
File,"DamageListAdminController.java",,,,8,106,40
File,"DamageListGoods.java",,,,25,104,43
File,"DamageListGoodsMapper.java",,,,0,9,25
File,"DamageListGoodsService.java",,,,0,8,25
File,"DamageListGoodsServiceImpl.java",,,,3,24,7
File,"DamageListMapper.java",,,,0,12,42
File,"DamageListService.java",,,,0,12,42
File,"DamageListServiceImpl.java",,,,6,37,7
File,"DateUtil.java",,,,11,63,45
File,"DeleteExpiredReservation.java",,,,1,16,7
File,"DrawImageController.java",,,,7,70,58
File,"Equipment.java",,,,13,56,25
File,"EquipmentAdminController.java",,,,11,118,49
File,"EquipmentMapper.java",,,,0,17,61
File,"EquipmentService.java",,,,0,15,61
File,"EquipmentServiceImpl.java",,,,9,49,7
File,"EquipmentType.java",,,,9,40,19
File,"EquipmentTypeAdminController.java",,,,12,113,34
File,"EquipmentTypeMapper.java",,,,0,14,49
File,"EquipmentTypeService.java",,,,0,13,49
File,"EquipmentTypeServiceImpl.java",,,,7,41,7
File,"Favorite.java",,,,9,41,19
File,"FavoriteMapper.java",,,,0,10,32
File,"FavoriteService.java",,,,0,10,32
File,"FavoriteServiceImpl.java",,,,4,29,7
File,"FosterCare.java",,,,21,89,37
File,"FosterCareAdminController.java",,,,20,152,28
File,"FosterCareController.java",,,,2,56,20
File,"FosterCareMapper.java",,,,0,12,43
File,"FosterCareService.java",,,,0,12,43
File,"FosterCareServiceImpl.java",,,,6,37,7
File,"Goods.java",,,,47,180,74
File,"GoodsAdminController.java",,,,25,227,81
File,"GoodsController.java",,,,22,198,57
File,"GoodsMapper.java",,,,0,24,112
File,"GoodsRemoveNew.java",,,,1,16,10
File,"GoodsService.java",,,,0,24,112
File,"GoodsServiceImpl.java",,,,19,89,7
File,"GoodsType.java",,,,13,56,25
File,"GoodsTypeAdminController.java",,,,11,101,38
File,"GoodsTypeMapper.java",,,,0,10,37
File,"GoodsTypeService.java",,,,0,10,37
File,"GoodsTypeServiceImpl.java",,,,5,32,7
File,"GoodsUnit.java",,,,5,24,13
File,"GoodsUnitAdminController.java",,,,4,51,29
File,"GoodsUnitMapper.java",,,,0,10,36
File,"GoodsUnitService.java",,,,0,10,36
File,"GoodsUnitServiceImpl.java",,,,5,32,7
File,"IndexController.java",,,,11,110,38
File,"Information.java",,,,13,57,25
File,"InformationAdminController.java",,,,8,81,27
File,"InformationController.java",,,,2,51,20
File,"InformationMapper.java",,,,0,12,43
File,"InformationService.java",,,,0,12,43
File,"InformationServiceImpl.java",,,,6,37,7
File,"Inquiry.java",,,,23,97,40
File,"InquiryAdminController.java",,,,21,162,48
File,"InquiryController.java",,,,10,127,38
File,"InquiryMapper.java",,,,0,12,43
File,"InquiryService.java",,,,0,12,43
File,"InquiryServiceImpl.java",,,,6,37,7
File,"Log.java",,,,17,79,28
File,"LogAdminController.java",,,,5,62,16
File,"LogMapper.java",,,,0,9,25
File,"LogService.java",,,,0,9,25
File,"LogServiceImpl.java",,,,3,30,7
File,"MathUtil.java",,,,1,6,13
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MedicalRecord.java",,,,13,57,25
