Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,20,193,2
File,"AESCtr.java",,,,11,79,122
File,"AESDemo.java",,,,21,166,27
File,"AdapterDemo.java",,,,10,65,11
File,"AopTest.java",,,,6,40,4
File,"AspectJProxyDemo.java",,,,4,34,11
File,"AsynchronousSocketChannelExample.java",,,,9,64,15
File,"AuthSample.java",,,,1,13,1
File,"AuthSample_Delete.java",,,,2,27,1
File,"AuthSample_Get.java",,,,1,14,1
File,"AuthSample_Get2.java",,,,1,19,2
File,"BankTellerSimulation.java",,,,36,177,20
File,"BasePool.java",,,,12,46,4
File,"BeanUtilsDemo.java",,,,1,33,8
File,"BeforeAdviceDemo.java",,,,4,33,9
File,"BinarySearchDemo.java",,,,10,47,4
File,"Bootstrap.java",,,,2,17,4
File,"Bootstrap.java",,,,3,51,13
File,"Bootstrap.java",,,,1,8,0
File,"Bootstrap.java",,,,2,51,6
File,"Bootstrap.java",,,,2,43,4
File,"Bootstrap.java",,,,2,43,15
File,"Bootstrap1.java",,,,2,28,5
File,"Bootstrap2.java",,,,2,42,4
File,"ByteBufferDemo.java",,,,5,36,16
File,"ByteBufferOOMDemo.java",,,,1,7,6
File,"ByteFIFO.java",,,,25,110,28
File,"ByteFIFOTest.java",,,,20,126,7
File,"CalcClient.java",,,,3,31,6
File,"CalcServer.java",,,,15,79,8
File,"CalcWorker.java",,,,11,69,9
File,"CalculatePressDemo.java",,,,14,77,7
File,"CarBuilder.java",,,,44,218,29
File,"CgLibProxyDemo.java",,,,8,57,10
File,"Client.java",,,,7,45,3
File,"ClientIPLoggerValve.java",,,,4,30,1
File,"ComparatorDemo.java",,,,14,68,36
File,"CompareAndSwapDemo.java",,,,16,115,34
File,"ConcurrentModificationExceptionDemo.java",,,,4,24,14
File,"Constants.java",,,,0,10,0
File,"Constants.java",,,,0,6,0
File,"ConstructorDemo.java",,,,0,3,11
File,"CountDownLatchDemo.java",,,,12,65,10
File,"Create_Node_Sample.java",,,,1,9,1
